500
0 421,83 421,83 0,26 Country 0 (Country) 1,00 0
1 44,41 44,41 0,80 Country 0 (Country) 1,00 39
2 4,19 4,19 0,80 Country 0 (Country) 1,00 40
3 4,19 4,19 0,80 Country 0 (Country) 1,00 40
4 4,19 4,19 0,80 Country 0 (Country) 1,00 40
5 4,19 4,19 0,80 Country 0 (Country) 1,00 40
6 4,19 4,19 0,80 Country 0 (Country) 1,00 40
7 4,19 4,19 0,80 Country 0 (Country) 1,00 40
8 4,19 4,19 0,80 Country 0 (Country) 1,00 40
9 4,19 4,19 0,80 Country 0 (Country) 1,00 40
10 4,19 4,19 0,80 Country 0 (Country) 1,00 40
11 4,19 4,19 0,80 Country 0 (Country) 1,00 40
12 4,19 4,19 0,80 Country 0 (Country) 1,00 40
13 4,19 4,19 0,80 Country 0 (Country) 1,00 40
14 4,19 4,19 0,80 Country 0 (Country) 1,00 40
15 4,19 4,19 0,80 Country 0 (Country) 1,00 40
16 4,19 4,19 0,80 Country 0 (Country) 1,00 40
17 4,19 4,19 0,80 Country 0 (Country) 1,00 40
18 4,19 4,19 0,80 Country 0 (Country) 1,00 40
19 4,19 4,19 0,80 Country 0 (Country) 1,00 40
20 4,19 4,19 0,80 Country 0 (Country) 1,00 40
21 4,19 4,19 0,80 Country 0 (Country) 1,00 40
22 4,19 4,19 0,80 Country 0 (Country) 1,00 40
23 4,19 4,19 0,80 Country 0 (Country) 1,00 40
24 4,19 4,19 0,80 Country 0 (Country) 1,00 40
25 4,19 4,19 0,80 Country 0 (Country) 1,00 40
26 4,19 4,19 0,80 Country 0 (Country) 1,00 40
27 4,19 4,19 0,80 Country 0 (Country) 1,00 40
28 4,19 4,19 0,80 Country 0 (Country) 1,00 40
29 4,19 4,19 0,80 Country 0 (Country) 1,00 40
30 4,19 4,19 0,80 Country 0 (Country) 1,00 40
31 4,19 4,19 0,80 Country 0 (Country) 1,00 40
32 0,02 0,02 0,80 Country 0 (Country) 1,00 41
33 0,02 0,02 0,80 Country 0 (Country) 1,00 41
34 0,02 0,02 0,80 Country 0 (Country) 1,00 41
35 0,02 0,02 0,80 Country 0 (Country) 1,00 41
36 0,02 0,02 0,80 Country 0 (Country) 1,00 41
37 0,02 0,02 0,80 Country 0 (Country) 1,00 41
38 0,02 0,02 0,80 Country 0 (Country) 1,00 41
39 0,02 0,02 0,80 Country 0 (Country) 1,00 41
40 0,02 0,02 0,80 Country 0 (Country) 1,00 41
41 0,02 0,02 0,80 Country 0 (Country) 1,00 41
42 0,02 0,02 0,80 Country 0 (Country) 1,00 41
43 0,02 0,02 0,80 Country 0 (Country) 1,00 41
44 0,02 0,02 0,80 Country 0 (Country) 1,00 41
45 0,02 0,02 0,80 Country 0 (Country) 1,00 41
46 0,02 0,02 0,80 Country 0 (Country) 1,00 41
47 0,02 0,02 0,80 Country 0 (Country) 1,00 41
48 0,02 0,02 0,80 Country 0 (Country) 1,00 41
49 0,02 0,02 0,80 Country 0 (Country) 1,00 41
50 0,02 0,02 0,80 Country 0 (Country) 1,00 41
51 0,02 0,02 0,80 Country 0 (Country) 1,00 41
52 0,02 0,02 0,80 Country 0 (Country) 1,00 41
53 0,02 0,02 0,80 Country 0 (Country) 1,00 41
54 0,02 0,02 0,80 Country 0 (Country) 1,00 41
55 0,02 0,02 0,80 Country 0 (Country) 1,00 41
56 0,02 0,02 0,80 Country 0 (Country) 1,00 41
57 0,02 0,02 0,80 Country 0 (Country) 1,00 41
58 0,02 0,02 0,80 Country 0 (Country) 1,00 41
59 0,02 0,02 0,80 Country 0 (Country) 1,00 41
60 0,02 0,02 0,80 Country 0 (Country) 1,00 41
61 0,02 0,02 0,80 Country 0 (Country) 1,00 41
62 0,02 0,02 0,80 Country 0 (Country) 1,00 41
63 0,02 0,02 0,80 Country 0 (Country) 1,00 41
64 0,02 0,02 0,80 Country 0 (Country) 1,00 41
65 0,02 0,02 0,80 Country 0 (Country) 1,00 41
66 0,02 0,02 0,80 Country 0 (Country) 1,00 41
67 0,02 0,02 0,80 Country 0 (Country) 1,00 41
68 0,02 0,02 0,80 Country 0 (Country) 1,00 41
69 0,02 0,02 0,80 Country 0 (Country) 1,00 41
70 0,02 0,02 0,80 Country 0 (Country) 1,00 41
71 0,02 0,02 0,80 Country 0 (Country) 1,00 41
72 0,02 0,02 0,80 Country 0 (Country) 1,00 41
73 0,02 0,02 0,80 Country 0 (Country) 1,00 41
74 0,02 0,02 0,80 Country 0 (Country) 1,00 41
75 0,02 0,02 0,80 Country 0 (Country) 1,00 41
76 0,02 0,02 0,80 Country 0 (Country) 1,00 41
77 0,02 0,02 0,80 Country 0 (Country) 1,00 41
78 0,02 0,02 0,80 Country 0 (Country) 1,00 41
79 0,02 0,02 0,80 Country 0 (Country) 1,00 41
80 0,02 0,02 0,80 Country 0 (Country) 1,00 41
81 0,02 0,02 0,80 Country 0 (Country) 1,00 41
82 0,02 0,02 0,80 Country 0 (Country) 1,00 41
83 0,02 0,02 0,80 Country 0 (Country) 1,00 41
84 0,02 0,02 0,80 Country 0 (Country) 1,00 41
85 0,02 0,02 0,80 Country 0 (Country) 1,00 41
86 0,02 0,02 0,80 Country 0 (Country) 1,00 41
87 0,02 0,02 0,80 Country 0 (Country) 1,00 41
88 0,02 0,02 0,80 Country 0 (Country) 1,00 41
89 0,02 0,02 0,80 Country 0 (Country) 1,00 41
90 0,02 0,02 0,80 Country 0 (Country) 1,00 41
91 0,02 0,02 0,80 Country 0 (Country) 1,00 41
92 0,02 0,02 0,80 Country 0 (Country) 1,00 41
93 0,02 0,02 0,80 Country 0 (Country) 1,00 41
94 0,02 0,02 0,80 Country 0 (Country) 1,00 41
95 0,02 0,02 0,80 Country 0 (Country) 1,00 41
96 0,02 0,02 0,80 Country 0 (Country) 1,00 41
97 0,02 0,02 0,80 Country 0 (Country) 1,00 41
98 0,02 0,02 0,80 Country 0 (Country) 1,00 41
99 0,02 0,02 0,80 Country 0 (Country) 1,00 41
100 0,02 0,02 0,80 Country 0 (Country) 1,00 41
101 0,02 0,02 0,80 Country 0 (Country) 1,00 41
102 0,02 0,02 0,80 Country 0 (Country) 1,00 41
103 0,02 0,02 0,80 Country 0 (Country) 1,00 41
104 0,02 0,02 0,80 Country 0 (Country) 1,00 41
105 0,02 0,02 0,80 Country 0 (Country) 1,00 41
106 0,02 0,02 0,80 Country 0 (Country) 1,00 41
107 0,02 0,02 0,80 Country 0 (Country) 1,00 41
108 0,02 0,02 0,80 Country 0 (Country) 1,00 41
109 0,02 0,02 0,80 Country 0 (Country) 1,00 41
