1000
0 99,46 99,46 0,23 Country 5 (Country) 2,00 0
1 513,13 513,13 0,04 Country 5 (Country) 2,00 17
2 46,29 34,27 0,04 Country 5 (Country) 2,00 75
3 41,87 32,39 0,04 Country 5 (Country) 2,00 78
4 16,14 12,62 0,04 Country 5 (Country) 2,00 79
5 16,14 12,69 0,04 Country 5 (Country) 2,00 79
6 16,14 12,80 0,04 Country 5 (Country) 2,00 79
7 16,14 12,86 0,04 Country 5 (Country) 2,00 79
8 16,14 12,86 0,04 Country 5 (Country) 2,00 79
9 16,14 12,86 0,04 Country 5 (Country) 2,00 79
10 16,14 12,86 0,04 Country 5 (Country) 2,00 79
11 16,14 12,86 0,04 Country 5 (Country) 2,00 79
12 16,14 12,86 0,04 Country 5 (Country) 2,00 79
13 16,14 12,86 0,04 Country 5 (Country) 2,00 79
14 16,14 12,86 0,04 Country 5 (Country) 2,00 79
15 16,14 12,86 0,04 Country 5 (Country) 2,00 79
16 16,14 12,86 0,04 Country 5 (Country) 2,00 79
17 16,14 12,86 0,04 Country 5 (Country) 2,00 79
18 16,14 12,86 0,04 Country 5 (Country) 2,00 79
19 16,14 12,86 0,04 Country 5 (Country) 2,00 79
20 16,14 12,86 0,04 Country 5 (Country) 2,00 79
21 16,14 12,86 0,04 Country 5 (Country) 2,00 79
22 16,14 12,86 0,04 Country 5 (Country) 2,00 79
23 16,14 12,86 0,04 Country 5 (Country) 2,00 79
24 16,14 12,86 0,04 Country 5 (Country) 2,00 79
25 16,14 12,86 0,04 Country 5 (Country) 2,00 79
26 16,14 12,86 0,04 Country 5 (Country) 2,00 79
27 16,14 12,86 0,04 Country 5 (Country) 2,00 79
28 16,14 12,86 0,04 Country 5 (Country) 2,00 79
29 16,14 12,86 0,04 Country 5 (Country) 2,00 79
30 16,14 12,86 0,04 Country 5 (Country) 2,00 79
31 1.097,63 874,18 0,04 Country 5 (Country) 2,00 85
32 728,39 644,00 0,04 Country 5 (Country) 2,00 94
33 599,25 548,59 0,04 Country 5 (Country) 2,00 99
34 117,57 118,77 0,04 Country 5 (Country) 2,00 104
35 114,81 123,33 0,04 Country 5 (Country) 2,00 107
36 0,02 0,02 0,04 Country 5 (Country) 2,00 109
37 0,01 0,02 0,04 Country 5 (Country) 2,00 112
38 109,52 117,27 0,04 Country 5 (Country) 2,00 112
39 0,11 0,12 0,04 Country 5 (Country) 2,00 115
