1000
0 155,06 155,06 0,52 Country 5 (Country) 2,00 0
1 334,56 334,56 0,52 Country 5 (Country) 2,00 2
2 400,17 296,29 0,52 Country 5 (Country) 2,00 2
3 465,78 360,34 0,52 Country 5 (Country) 2,00 2
4 531,38 415,46 0,52 Country 5 (Country) 2,00 2
5 596,99 469,13 0,52 Country 5 (Country) 2,00 2
6 662,60 525,21 0,52 Country 5 (Country) 2,00 2
7 662,60 527,71 0,52 Country 5 (Country) 2,00 2
8 662,60 527,71 0,52 Country 5 (Country) 2,00 2
9 662,60 527,71 0,52 Country 5 (Country) 2,00 2
10 662,60 527,71 0,52 Country 5 (Country) 2,00 2
11 662,60 527,71 0,52 Country 5 (Country) 2,00 2
12 662,60 527,71 0,52 Country 5 (Country) 2,00 2
13 662,60 527,71 0,52 Country 5 (Country) 2,00 2
14 662,60 527,71 0,52 Country 5 (Country) 2,00 2
15 662,60 527,71 0,52 Country 5 (Country) 2,00 2
16 662,60 527,71 0,52 Country 5 (Country) 2,00 2
17 662,60 527,71 0,52 Country 5 (Country) 2,00 2
18 662,60 527,71 0,52 Country 5 (Country) 2,00 2
19 662,60 527,71 0,52 Country 5 (Country) 2,00 2
20 662,60 527,71 0,52 Country 5 (Country) 2,00 2
21 662,60 527,71 0,52 Country 5 (Country) 2,00 2
22 662,60 527,71 0,52 Country 5 (Country) 2,00 2
23 662,60 527,71 0,52 Country 5 (Country) 2,00 2
24 662,60 527,71 0,52 Country 5 (Country) 2,00 2
25 662,60 527,71 0,52 Country 5 (Country) 2,00 2
26 662,60 527,71 0,52 Country 5 (Country) 2,00 2
27 662,60 527,71 0,52 Country 5 (Country) 2,00 2
28 662,60 527,71 0,52 Country 5 (Country) 2,00 2
29 662,60 527,71 0,52 Country 5 (Country) 2,00 2
30 662,60 527,71 0,52 Country 5 (Country) 2,00 2
31 1.789,98 1.425,58 0,52 Country 5 (Country) 2,00 25
32 584,63 516,90 0,52 Country 5 (Country) 2,00 47
33 468,80 429,17 0,52 Country 5 (Country) 2,00 54
34 211,94 214,11 0,52 Country 5 (Country) 2,00 58
35 399,55 429,17 0,52 Country 5 (Country) 2,00 63
36 0,90 0,94 0,52 Country 5 (Country) 2,00 67
37 0,02 0,02 0,52 Country 5 (Country) 2,00 71
38 0,66 0,71 0,80 Country 5 (Country) 2,00 76
39 1,53 1,62 0,80 Country 5 (Country) 2,00 78
40 1,53 1,62 0,80 Country 5 (Country) 2,00 78
41 1,53 1,64 0,80 Country 5 (Country) 2,00 78
42 1,53 1,66 0,80 Country 5 (Country) 2,00 78
43 1,53 1,62 0,80 Country 5 (Country) 2,00 78
44 0,00 0,00 0,80 Country 5 (Country) 2,00 79
45 0,00 0,00 0,80 Country 5 (Country) 2,00 79
46 0,00 0,00 0,80 Country 5 (Country) 2,00 79
47 0,00 0,00 0,80 Country 5 (Country) 2,00 79
48 0,00 0,00 0,80 Country 5 (Country) 2,00 79
49 0,00 0,00 0,80 Country 5 (Country) 2,00 79
50 0,00 0,00 0,80 Country 5 (Country) 2,00 79
51 0,00 0,00 0,80 Country 5 (Country) 2,00 79
52 0,00 0,00 0,80 Country 5 (Country) 2,00 79
53 0,00 0,00 0,80 Country 5 (Country) 2,00 79
54 0,00 0,00 0,80 Country 5 (Country) 2,00 79
55 0,00 0,00 0,80 Country 5 (Country) 2,00 79
56 0,00 0,00 0,80 Country 5 (Country) 2,00 79
57 0,00 0,00 0,80 Country 5 (Country) 2,00 79
58 0,00 0,00 0,80 Country 5 (Country) 2,00 79
59 0,00 0,00 0,80 Country 5 (Country) 2,00 79
60 0,00 0,00 0,80 Country 5 (Country) 2,00 79
61 0,00 0,00 0,80 Country 5 (Country) 2,00 79
62 0,00 0,00 0,80 Country 5 (Country) 2,00 79
63 0,00 0,00 0,80 Country 5 (Country) 2,00 79
64 0,00 0,00 0,80 Country 5 (Country) 2,00 79
65 0,00 0,00 0,80 Country 5 (Country) 2,00 79
66 0,00 0,00 0,80 Country 5 (Country) 2,00 79
67 0,00 0,00 0,80 Country 5 (Country) 2,00 79
68 0,00 0,00 0,80 Country 5 (Country) 2,00 79
69 0,00 0,00 0,80 Country 5 (Country) 2,00 79
70 0,00 0,00 0,80 Country 5 (Country) 2,00 79
71 0,00 0,00 0,80 Country 5 (Country) 2,00 79
72 0,00 0,00 0,80 Country 5 (Country) 2,00 79
73 0,00 0,00 0,80 Country 5 (Country) 2,00 79
74 0,00 0,00 0,80 Country 5 (Country) 2,00 79
75 0,00 0,00 0,80 Country 5 (Country) 2,00 79
76 0,00 0,00 0,80 Country 5 (Country) 2,00 79
77 0,00 0,00 0,80 Country 5 (Country) 2,00 79
78 0,00 0,00 0,80 Country 5 (Country) 2,00 79
79 0,00 0,00 0,80 Country 5 (Country) 2,00 79
80 0,00 0,00 0,80 Country 5 (Country) 2,00 79
81 0,00 0,00 0,80 Country 5 (Country) 2,00 79
82 0,00 0,00 0,80 Country 5 (Country) 2,00 79
83 0,00 0,00 0,80 Country 5 (Country) 2,00 79
84 0,00 0,00 0,80 Country 5 (Country) 2,00 79
85 0,00 0,00 0,80 Country 5 (Country) 2,00 79
86 0,00 0,00 0,80 Country 5 (Country) 2,00 79
87 0,00 0,00 0,80 Country 5 (Country) 2,00 79
88 0,00 0,00 0,80 Country 5 (Country) 2,00 79
89 0,00 0,00 0,80 Country 5 (Country) 2,00 79
90 0,00 0,00 0,80 Country 5 (Country) 2,00 79
91 0,04 0,04 0,80 Country 5 (Country) 2,00 81
92 0,04 0,04 0,80 Country 5 (Country) 2,00 81
93 0,04 0,04 0,80 Country 5 (Country) 2,00 81
94 0,04 0,04 0,80 Country 5 (Country) 2,00 81
95 0,04 0,04 0,80 Country 5 (Country) 2,00 81
96 0,04 0,04 0,80 Country 5 (Country) 2,00 81
97 0,04 0,04 0,80 Country 5 (Country) 2,00 81
98 0,04 0,04 0,80 Country 5 (Country) 2,00 81
99 0,04 0,04 0,80 Country 5 (Country) 2,00 81
100 0,04 0,04 0,80 Country 5 (Country) 2,00 81
101 0,04 0,04 0,80 Country 5 (Country) 2,00 81
102 0,04 0,04 0,80 Country 5 (Country) 2,00 81
103 0,04 0,04 0,80 Country 5 (Country) 2,00 81
104 0,04 0,04 0,80 Country 5 (Country) 2,00 81
105 0,04 0,04 0,80 Country 5 (Country) 2,00 81
106 0,04 0,04 0,80 Country 5 (Country) 2,00 81
107 0,04 0,04 0,80 Country 5 (Country) 2,00 81
108 0,04 0,04 0,80 Country 5 (Country) 2,00 81
109 0,04 0,04 0,80 Country 5 (Country) 2,00 81
110 0,04 0,04 0,80 Country 5 (Country) 2,00 81
111 0,04 0,04 0,80 Country 5 (Country) 2,00 81
112 0,04 0,04 0,80 Country 5 (Country) 2,00 81
113 0,04 0,04 0,80 Country 5 (Country) 2,00 81
114 0,04 0,04 0,80 Country 5 (Country) 2,00 81
115 0,04 0,04 0,80 Country 5 (Country) 2,00 81
116 0,04 0,04 0,80 Country 5 (Country) 2,00 81
117 0,04 0,04 0,80 Country 5 (Country) 2,00 81
118 0,04 0,04 0,80 Country 5 (Country) 2,00 81
119 0,04 0,04 0,80 Country 5 (Country) 2,00 81
120 0,04 0,04 0,80 Country 5 (Country) 2,00 81
121 0,04 0,04 0,80 Country 5 (Country) 2,00 81
122 0,04 0,04 0,80 Country 5 (Country) 2,00 81
123 0,04 0,04 0,80 Country 5 (Country) 2,00 81
124 0,04 0,04 0,80 Country 5 (Country) 2,00 81
125 0,04 0,04 0,80 Country 5 (Country) 2,00 81
126 0,04 0,04 0,80 Country 5 (Country) 2,00 81
127 0,04 0,04 0,80 Country 5 (Country) 2,00 81
128 0,04 0,04 0,80 Country 5 (Country) 2,00 81
129 0,04 0,04 0,80 Country 5 (Country) 2,00 81
130 0,04 0,04 0,80 Country 5 (Country) 2,00 81
131 0,04 0,04 0,80 Country 5 (Country) 2,00 81
132 0,04 0,04 0,80 Country 5 (Country) 2,00 81
133 0,04 0,04 0,80 Country 5 (Country) 2,00 81
134 0,04 0,04 0,80 Country 5 (Country) 2,00 81
135 0,04 0,04 0,80 Country 5 (Country) 2,00 81
136 0,04 0,04 0,80 Country 5 (Country) 2,00 81
137 0,04 0,04 0,80 Country 5 (Country) 2,00 81
138 0,04 0,04 0,80 Country 5 (Country) 2,00 81
139 0,04 0,04 0,80 Country 5 (Country) 2,00 81
140 0,04 0,04 0,80 Country 5 (Country) 2,00 81
141 0,04 0,04 0,80 Country 5 (Country) 2,00 81
142 0,04 0,04 0,80 Country 5 (Country) 2,00 81
