500
0 60,49 60,49 0,69 Country 4 (Country) 0,00 0
1 991,96 991,96 0,69 Country 4 (Country) 0,00 0
2 649,18 94,70 0,69 Country 4 (Country) 0,00 21
3 387,24 61,68 0,69 Country 4 (Country) 0,00 45
4 301,12 45,50 0,69 Country 4 (Country) 0,00 52
5 49,34 8,48 0,69 Country 4 (Country) 0,00 65
6 56,02 10,20 0,18 Country 4 (Country) 0,00 71
7 0,72 0,14 0,18 Country 4 (Country) 0,00 77
8 0,72 0,17 0,18 Country 4 (Country) 0,00 77
9 0,72 0,22 0,18 Country 4 (Country) 0,00 77
10 0,25 0,07 0,18 Country 4 (Country) 0,00 78
11 0,25 0,09 0,18 Country 4 (Country) 0,00 78
12 135,15 51,87 0,18 Country 4 (Country) 0,00 78
13 30,66 13,27 0,18 Country 4 (Country) 0,00 86
14 56,23 33,86 0,18 Country 4 (Country) 0,00 87
15 56,57 17,96 0,18 Country 4 (Country) 0,00 92
16 56,51 40,28 0,18 Country 4 (Country) 0,00 97
17 0,13 0,10 0,18 Country 4 (Country) 0,00 104
18 0,13 0,09 0,18 Country 4 (Country) 0,00 104
19 188,71 126,42 0,18 Country 4 (Country) 0,00 104
20 635,25 451,25 0,18 Country 4 (Country) 0,00 107
21 95,88 69,75 0,18 Country 4 (Country) 0,00 124
22 72,62 50,82 0,18 Country 4 (Country) 0,00 139
23 370,51 289,77 0,18 Country 4 (Country) 0,00 144
24 370,69 318,08 0,18 Country 4 (Country) 0,00 147
25 188,79 165,73 0,18 Country 4 (Country) 0,00 165
26 800,24 752,82 0,18 Country 4 (Country) 0,00 171
27 611,49 525,57 0,18 Country 4 (Country) 0,00 190
28 0,10 0,07 0,18 Country 4 (Country) 0,00 224
29 188,67 187,42 0,18 Country 4 (Country) 0,00 224
30 0,26 0,29 0,18 Country 4 (Country) 0,00 230
31 203,91 219,41 0,18 Country 4 (Country) 0,00 231
32 182,89 169,49 0,18 Country 4 (Country) 0,00 248
