500
0 1.425,20 1.425,20 0,34 Country 5 (Country) 3,00 0
1 0,49 0,49 0,34 Country 5 (Country) 3,00 13
2 1.710,84 122,29 0,34 Country 5 (Country) 3,00 24
3 1,95 0,19 0,34 Country 5 (Country) 3,00 35
4 341,88 43,22 0,34 Country 5 (Country) 3,00 49
5 0,95 0,13 0,34 Country 5 (Country) 3,00 54
6 0,38 0,07 0,34 Country 5 (Country) 3,00 55
7 0,38 0,10 0,34 Country 5 (Country) 3,00 55
8 0,38 0,12 0,34 Country 5 (Country) 3,00 55
9 0,38 0,15 0,34 Country 5 (Country) 3,00 55
10 0,38 0,15 0,34 Country 5 (Country) 3,00 55
11 341,23 155,81 0,34 Country 5 (Country) 3,00 55
12 63,84 27,99 0,28 Country 5 (Country) 3,00 64
13 103,27 53,26 0,28 Country 5 (Country) 3,00 72
14 50,81 35,23 0,28 Country 5 (Country) 3,00 76
15 22,00 8,02 0,28 Country 5 (Country) 3,00 82
16 0,16 0,13 0,28 Country 5 (Country) 3,00 87
17 5,25 4,27 0,28 Country 5 (Country) 3,00 95
18 4,55 3,62 0,28 Country 5 (Country) 3,00 100
19 0,45 0,33 0,28 Country 5 (Country) 3,00 103
20 13,48 10,92 0,28 Country 5 (Country) 3,00 109
21 0,21 0,17 0,28 Country 5 (Country) 3,00 115
22 1,95 1,38 0,28 Country 5 (Country) 3,00 122
23 0,63 0,57 0,28 Country 5 (Country) 3,00 128
24 0,28 0,26 0,28 Country 5 (Country) 3,00 129
25 0,28 0,28 0,28 Country 5 (Country) 3,00 129
26 0,28 0,27 0,28 Country 5 (Country) 3,00 129
27 0,23 0,18 0,28 Country 5 (Country) 3,00 130
28 0,23 0,17 0,28 Country 5 (Country) 3,00 130
29 0,23 0,20 0,28 Country 5 (Country) 3,00 130
30 0,23 0,23 0,28 Country 5 (Country) 3,00 130
31 0,08 0,08 0,28 Country 5 (Country) 3,00 131
32 0,08 0,07 0,28 Country 5 (Country) 3,00 131
33 0,08 0,07 0,28 Country 5 (Country) 3,00 131
34 0,08 0,07 0,28 Country 5 (Country) 3,00 131
35 0,07 0,07 0,28 Country 5 (Country) 3,00 132
36 0,07 0,07 0,28 Country 5 (Country) 3,00 132
37 0,07 0,07 0,28 Country 5 (Country) 3,00 132
38 0,07 0,07 0,28 Country 5 (Country) 3,00 132
39 0,07 0,07 0,28 Country 5 (Country) 3,00 132
40 0,07 0,07 0,28 Country 5 (Country) 3,00 132
41 0,07 0,05 0,28 Country 5 (Country) 3,00 132
42 79,80 78,79 0,28 Country 5 (Country) 3,00 150
43 50,84 47,58 0,28 Country 5 (Country) 3,00 166
44 51,05 47,60 0,28 Country 5 (Country) 3,00 173
45 0,07 0,06 0,28 Country 5 (Country) 3,00 182
46 0,07 0,06 0,28 Country 5 (Country) 3,00 182
47 0,07 0,06 0,28 Country 5 (Country) 3,00 182
48 0,02 0,02 0,28 Country 5 (Country) 3,00 183
49 0,02 0,02 0,28 Country 5 (Country) 3,00 183
50 0,02 0,02 0,28 Country 5 (Country) 3,00 183
51 0,02 0,02 0,28 Country 5 (Country) 3,00 183
52 0,02 0,02 0,28 Country 5 (Country) 3,00 183
53 0,02 0,02 0,28 Country 5 (Country) 3,00 183
54 0,00 0,00 0,28 Country 5 (Country) 3,00 184
55 0,00 0,00 0,28 Country 5 (Country) 3,00 184
56 0,00 0,00 0,28 Country 5 (Country) 3,00 184
57 0,00 0,00 0,28 Country 5 (Country) 3,00 184
58 0,00 0,00 0,28 Country 5 (Country) 3,00 184
59 0,00 0,00 0,28 Country 5 (Country) 3,00 184
60 326,43 379,00 0,28 Country 5 (Country) 3,00 185
61 0,44 0,51 0,28 Country 5 (Country) 3,00 218
62 0,13 0,15 0,28 Country 5 (Country) 3,00 220
63 0,09 0,11 0,28 Country 5 (Country) 3,00 221
64 0,05 0,05 0,28 Country 5 (Country) 3,00 222
65 0,05 0,05 0,28 Country 5 (Country) 3,00 222
66 0,05 0,05 0,28 Country 5 (Country) 3,00 222
67 0,05 0,05 0,28 Country 5 (Country) 3,00 222
68 0,01 0,01 0,28 Country 5 (Country) 3,00 223
69 0,01 0,01 0,28 Country 5 (Country) 3,00 223
70 0,01 0,01 0,28 Country 5 (Country) 3,00 223
71 0,01 0,01 0,28 Country 5 (Country) 3,00 223
72 0,01 0,01 0,28 Country 5 (Country) 3,00 223
73 0,01 0,01 0,28 Country 5 (Country) 3,00 223
74 0,01 0,01 0,28 Country 5 (Country) 3,00 223
75 0,01 0,01 0,28 Country 5 (Country) 3,00 223
76 0,01 0,01 0,28 Country 5 (Country) 3,00 223
77 0,01 0,01 0,28 Country 5 (Country) 3,00 223
78 0,01 0,01 0,28 Country 5 (Country) 3,00 223
79 0,01 0,01 0,28 Country 5 (Country) 3,00 223
80 0,01 0,01 0,28 Country 5 (Country) 3,00 223
81 0,01 0,01 0,28 Country 5 (Country) 3,00 223
82 0,01 0,01 0,28 Country 5 (Country) 3,00 223
83 0,01 0,01 0,28 Country 5 (Country) 3,00 223
84 0,01 0,01 0,28 Country 5 (Country) 3,00 223
85 0,01 0,01 0,28 Country 5 (Country) 3,00 223
86 0,01 0,01 0,28 Country 5 (Country) 3,00 223
87 0,01 0,01 0,28 Country 5 (Country) 3,00 223
88 0,01 0,01 0,28 Country 5 (Country) 3,00 223
89 0,01 0,01 0,28 Country 5 (Country) 3,00 223
90 0,01 0,01 0,28 Country 5 (Country) 3,00 223
91 0,01 0,01 0,28 Country 5 (Country) 3,00 223
92 0,01 0,01 0,28 Country 5 (Country) 3,00 223
93 0,01 0,01 0,28 Country 5 (Country) 3,00 223
94 0,01 0,01 0,28 Country 5 (Country) 3,00 223
95 0,01 0,01 0,28 Country 5 (Country) 3,00 223
96 0,01 0,01 0,28 Country 5 (Country) 3,00 223
97 0,01 0,01 0,28 Country 5 (Country) 3,00 223
98 0,01 0,01 0,28 Country 5 (Country) 3,00 223
99 0,01 0,01 0,28 Country 5 (Country) 3,00 223
100 0,01 0,01 0,28 Country 5 (Country) 3,00 223
101 0,01 0,01 0,28 Country 5 (Country) 3,00 223
102 0,01 0,01 0,28 Country 5 (Country) 3,00 223
103 0,01 0,01 0,28 Country 5 (Country) 3,00 223
104 0,01 0,01 0,28 Country 5 (Country) 3,00 223
105 0,01 0,01 0,28 Country 5 (Country) 3,00 223
106 0,01 0,01 0,28 Country 5 (Country) 3,00 223
107 0,01 0,01 0,28 Country 5 (Country) 3,00 223
108 0,01 0,01 0,28 Country 5 (Country) 3,00 223
109 0,01 0,01 0,28 Country 5 (Country) 3,00 223
110 0,01 0,01 0,28 Country 5 (Country) 3,00 223
111 0,01 0,01 0,28 Country 5 (Country) 3,00 223
112 0,01 0,01 0,28 Country 5 (Country) 3,00 223
113 0,01 0,01 0,28 Country 5 (Country) 3,00 223
114 0,01 0,01 0,28 Country 5 (Country) 3,00 223
115 0,01 0,01 0,28 Country 5 (Country) 3,00 223
116 0,01 0,01 0,28 Country 5 (Country) 3,00 223
117 0,01 0,01 0,28 Country 5 (Country) 3,00 223
118 0,01 0,01 0,28 Country 5 (Country) 3,00 223
119 0,01 0,01 0,28 Country 5 (Country) 3,00 223
120 0,01 0,01 0,28 Country 5 (Country) 3,00 223
121 0,01 0,01 0,28 Country 5 (Country) 3,00 223
122 0,01 0,01 0,28 Country 5 (Country) 3,00 223
123 0,01 0,01 0,28 Country 5 (Country) 3,00 223
124 0,01 0,01 0,28 Country 5 (Country) 3,00 223
125 0,01 0,01 0,28 Country 5 (Country) 3,00 223
126 0,01 0,01 0,28 Country 5 (Country) 3,00 223
127 0,01 0,01 0,28 Country 5 (Country) 3,00 223
128 0,01 0,01 0,28 Country 5 (Country) 3,00 223
129 0,01 0,01 0,28 Country 5 (Country) 3,00 223
130 0,01 0,01 0,28 Country 5 (Country) 3,00 223
131 0,01 0,01 0,28 Country 5 (Country) 3,00 223
132 0,01 0,01 0,28 Country 5 (Country) 3,00 223
133 0,01 0,01 0,28 Country 5 (Country) 3,00 223
134 0,01 0,01 0,28 Country 5 (Country) 3,00 223
135 0,01 0,01 0,28 Country 5 (Country) 3,00 223
