1000
0 1.781,49 1.781,49 0,09 Country 6 (Country) 3,00 0
1 22,59 22,59 0,09 Country 6 (Country) 3,00 21
2 5,43 2,24 0,09 Country 6 (Country) 3,00 28
3 20,78 8,76 0,80 Country 6 (Country) 3,00 29
4 20,78 8,80 0,80 Country 6 (Country) 3,00 29
5 20,78 8,80 0,80 Country 6 (Country) 3,00 29
6 20,78 8,83 0,80 Country 6 (Country) 3,00 29
7 20,78 8,84 0,80 Country 6 (Country) 3,00 29
8 20,78 8,84 0,80 Country 6 (Country) 3,00 29
9 20,78 8,84 0,80 Country 6 (Country) 3,00 29
10 20,78 8,84 0,80 Country 6 (Country) 3,00 29
11 20,78 8,84 0,80 Country 6 (Country) 3,00 29
12 20,78 8,84 0,80 Country 6 (Country) 3,00 29
13 20,78 8,84 0,80 Country 6 (Country) 3,00 29
14 20,78 8,84 0,80 Country 6 (Country) 3,00 29
15 20,78 8,84 0,80 Country 6 (Country) 3,00 29
16 20,78 8,84 0,80 Country 6 (Country) 3,00 29
17 20,78 8,84 0,80 Country 6 (Country) 3,00 29
18 20,78 8,84 0,80 Country 6 (Country) 3,00 29
19 20,78 8,84 0,80 Country 6 (Country) 3,00 29
20 20,78 8,84 0,80 Country 6 (Country) 3,00 29
21 20,78 8,84 0,80 Country 6 (Country) 3,00 29
22 20,78 8,84 0,80 Country 6 (Country) 3,00 29
23 20,78 8,84 0,80 Country 6 (Country) 3,00 29
24 20,78 8,84 0,80 Country 6 (Country) 3,00 29
25 20,78 8,84 0,80 Country 6 (Country) 3,00 29
26 20,78 8,84 0,80 Country 6 (Country) 3,00 29
27 20,78 8,84 0,80 Country 6 (Country) 3,00 29
28 20,78 8,84 0,80 Country 6 (Country) 3,00 29
29 20,78 8,84 0,80 Country 6 (Country) 3,00 29
30 20,78 8,84 0,80 Country 6 (Country) 3,00 29
31 11,35 4,83 0,80 Country 6 (Country) 3,00 31
32 24,80 9,67 0,80 Country 6 (Country) 3,00 33
33 11,89 4,68 0,80 Country 6 (Country) 3,00 34
34 6,04 2,48 0,80 Country 6 (Country) 3,00 37
35 14,20 6,16 0,80 Country 6 (Country) 3,00 38
36 2,06 0,86 0,80 Country 6 (Country) 3,00 40
37 0,34 0,14 0,80 Country 6 (Country) 3,00 41
38 3,42 1,47 0,80 Country 6 (Country) 3,00 42
39 8,27 3,50 0,80 Country 6 (Country) 3,00 42
40 5,47 2,30 0,80 Country 6 (Country) 3,00 43
41 0,72 0,31 0,80 Country 6 (Country) 3,00 44
42 3,42 1,47 0,80 Country 6 (Country) 3,00 45
43 1,75 0,73 0,41 Country 6 (Country) 3,00 46
44 1,75 0,75 0,41 Country 6 (Country) 3,00 46
45 0,23 0,10 0,41 Country 6 (Country) 3,00 47
46 0,23 0,10 0,41 Country 6 (Country) 3,00 47
47 4,31 1,85 0,41 Country 6 (Country) 3,00 48
48 0,40 0,17 0,41 Country 6 (Country) 3,00 49
49 0,72 0,31 0,74 Country 6 (Country) 3,00 50
50 0,72 0,31 0,74 Country 6 (Country) 3,00 50
51 2,70 1,15 0,74 Country 6 (Country) 3,00 51
52 1,32 0,56 0,74 Country 6 (Country) 3,00 52
53 1,32 0,56 0,74 Country 6 (Country) 3,00 52
54 3,43 1,46 0,74 Country 6 (Country) 3,00 53
55 0,19 0,08 0,74 Country 6 (Country) 3,00 54
56 0,19 0,08 0,74 Country 6 (Country) 3,00 54
57 0,19 0,08 0,74 Country 6 (Country) 3,00 54
58 0,65 0,28 0,74 Country 6 (Country) 3,00 55
59 0,87 0,37 0,74 Country 6 (Country) 3,00 56
60 1,02 0,43 0,74 Country 6 (Country) 3,00 57
61 1,02 0,43 0,74 Country 6 (Country) 3,00 57
62 1,02 0,43 0,74 Country 6 (Country) 3,00 57
63 1,02 0,43 0,74 Country 6 (Country) 3,00 57
64 1,02 0,43 0,74 Country 6 (Country) 3,00 57
65 1,02 0,43 0,74 Country 6 (Country) 3,00 57
66 1,02 0,43 0,74 Country 6 (Country) 3,00 57
67 1,02 0,43 0,74 Country 6 (Country) 3,00 57
68 1,02 0,43 0,74 Country 6 (Country) 3,00 57
69 1,02 0,43 0,74 Country 6 (Country) 3,00 57
70 1,02 0,43 0,74 Country 6 (Country) 3,00 57
71 1,02 0,43 0,74 Country 6 (Country) 3,00 57
72 1,02 0,43 0,74 Country 6 (Country) 3,00 57
73 1,02 0,43 0,74 Country 6 (Country) 3,00 57
74 1,02 0,43 0,74 Country 6 (Country) 3,00 57
75 1,02 0,43 0,74 Country 6 (Country) 3,00 57
76 1,02 0,43 0,74 Country 6 (Country) 3,00 57
77 1,02 0,43 0,74 Country 6 (Country) 3,00 57
78 1,02 0,43 0,74 Country 6 (Country) 3,00 57
79 1,02 0,43 0,74 Country 6 (Country) 3,00 57
80 1,02 0,43 0,74 Country 6 (Country) 3,00 57
81 1,02 0,43 0,74 Country 6 (Country) 3,00 57
82 1,02 0,43 0,74 Country 6 (Country) 3,00 57
83 1,02 0,43 0,74 Country 6 (Country) 3,00 57
84 1,02 0,43 0,74 Country 6 (Country) 3,00 57
85 1,02 0,43 0,74 Country 6 (Country) 3,00 57
86 1,02 0,43 0,74 Country 6 (Country) 3,00 57
87 1,02 0,43 0,74 Country 6 (Country) 3,00 57
88 1,02 0,43 0,74 Country 6 (Country) 3,00 57
89 1,02 0,42 0,74 Country 6 (Country) 3,00 57
90 1,02 0,42 0,74 Country 6 (Country) 3,00 57
91 2,22 0,92 0,74 Country 6 (Country) 3,00 58
92 7,75 3,20 0,74 Country 6 (Country) 3,00 60
93 0,12 0,05 0,74 Country 6 (Country) 3,00 62
94 0,36 0,15 0,74 Country 6 (Country) 3,00 63
95 0,36 0,15 0,74 Country 6 (Country) 3,00 63
96 3,04 1,25 0,74 Country 6 (Country) 3,00 64
97 2,08 0,86 0,74 Country 6 (Country) 3,00 66
98 1,04 0,43 0,74 Country 6 (Country) 3,00 67
99 0,11 0,04 0,08 Country 6 (Country) 3,00 69
100 0,87 0,36 0,08 Country 6 (Country) 3,00 70
101 0,94 0,38 0,08 Country 6 (Country) 3,00 71
102 0,94 0,38 0,08 Country 6 (Country) 3,00 71
103 1,01 0,41 0,08 Country 6 (Country) 3,00 72
104 1,01 0,41 0,08 Country 6 (Country) 3,00 72
105 1,01 0,41 0,08 Country 6 (Country) 3,00 72
106 1,01 0,41 0,08 Country 6 (Country) 3,00 72
107 1,01 0,41 0,08 Country 6 (Country) 3,00 72
108 1,01 0,41 0,08 Country 6 (Country) 3,00 72
109 1,01 0,41 0,08 Country 6 (Country) 3,00 72
110 1,01 0,41 0,08 Country 6 (Country) 3,00 72
111 1,01 0,41 0,08 Country 6 (Country) 3,00 72
112 1,01 0,41 0,08 Country 6 (Country) 3,00 72
113 0,13 0,05 0,08 Country 6 (Country) 3,00 73
114 0,18 0,07 0,08 Country 6 (Country) 3,00 74
115 0,18 0,07 0,08 Country 6 (Country) 3,00 74
116 0,18 0,07 0,08 Country 6 (Country) 3,00 74
117 0,18 0,07 0,08 Country 6 (Country) 3,00 74
118 0,18 0,07 0,08 Country 6 (Country) 3,00 74
119 0,18 0,07 0,08 Country 6 (Country) 3,00 74
120 0,18 0,07 0,08 Country 6 (Country) 3,00 74
121 0,18 0,07 0,08 Country 6 (Country) 3,00 74
122 0,18 0,07 0,08 Country 6 (Country) 3,00 74
123 0,18 0,07 0,08 Country 6 (Country) 3,00 74
124 0,18 0,07 0,08 Country 6 (Country) 3,00 74
125 0,18 0,07 0,08 Country 6 (Country) 3,00 74
126 0,18 0,07 0,08 Country 6 (Country) 3,00 74
127 0,18 0,07 0,08 Country 6 (Country) 3,00 74
128 0,18 0,07 0,08 Country 6 (Country) 3,00 74
129 0,18 0,07 0,08 Country 6 (Country) 3,00 74
130 0,18 0,07 0,08 Country 6 (Country) 3,00 74
131 0,18 0,07 0,08 Country 6 (Country) 3,00 74
132 0,18 0,07 0,08 Country 6 (Country) 3,00 74
133 0,18 0,07 0,08 Country 6 (Country) 3,00 74
134 0,18 0,07 0,08 Country 6 (Country) 3,00 74
135 0,18 0,07 0,08 Country 6 (Country) 3,00 74
136 0,18 0,07 0,08 Country 6 (Country) 3,00 74
137 0,18 0,07 0,08 Country 6 (Country) 3,00 74
