1000
0 379,97 379,97 0,49 Country 8 (Country) 0,00 0
1 436,29 436,29 0,49 Country 8 (Country) 0,00 2
2 508,18 247,19 0,49 Country 8 (Country) 0,00 2
3 515,46 265,20 0,57 Country 8 (Country) 0,00 2
4 516,60 267,33 0,57 Country 8 (Country) 0,00 2
5 516,60 267,24 0,57 Country 8 (Country) 0,00 2
6 516,60 267,96 0,57 Country 8 (Country) 0,00 2
7 516,60 268,32 0,57 Country 8 (Country) 0,00 2
8 516,60 268,32 0,57 Country 8 (Country) 0,00 2
9 516,60 268,32 0,57 Country 8 (Country) 0,00 2
10 516,60 268,32 0,57 Country 8 (Country) 0,00 2
11 516,60 268,32 0,57 Country 8 (Country) 0,00 2
12 516,60 268,32 0,57 Country 8 (Country) 0,00 2
13 516,60 268,32 0,57 Country 8 (Country) 0,00 2
14 516,60 268,32 0,57 Country 8 (Country) 0,00 2
15 516,60 268,32 0,57 Country 8 (Country) 0,00 2
16 516,60 268,32 0,57 Country 8 (Country) 0,00 2
17 516,60 268,32 0,57 Country 8 (Country) 0,00 2
18 516,60 268,32 0,57 Country 8 (Country) 0,00 2
19 516,60 268,32 0,57 Country 8 (Country) 0,00 2
20 516,60 268,32 0,57 Country 8 (Country) 0,00 2
21 516,60 268,32 0,57 Country 8 (Country) 0,00 2
22 516,60 268,32 0,57 Country 8 (Country) 0,00 2
23 516,60 268,32 0,57 Country 8 (Country) 0,00 2
24 516,60 268,32 0,57 Country 8 (Country) 0,00 2
25 516,60 268,32 0,57 Country 8 (Country) 0,00 2
26 516,60 268,32 0,57 Country 8 (Country) 0,00 2
27 516,60 268,32 0,57 Country 8 (Country) 0,00 2
28 516,60 268,32 0,57 Country 8 (Country) 0,00 2
29 516,60 268,32 0,57 Country 8 (Country) 0,00 2
30 516,60 268,32 0,57 Country 8 (Country) 0,00 2
31 457,19 237,46 0,57 Country 8 (Country) 0,00 181
32 393,43 187,37 0,57 Country 8 (Country) 0,00 187
33 159,65 77,95 0,57 Country 8 (Country) 0,00 192
34 170,34 86,25 0,57 Country 8 (Country) 0,00 196
