1000
0 95,17 95,17 0,29 Country 7 (Country) 0,00 0
1 48,80 48,80 0,29 Country 7 (Country) 0,00 16
2 48,80 26,12 0,29 Country 7 (Country) 0,00 16
3 48,80 27,20 0,29 Country 7 (Country) 0,00 16
4 48,80 27,30 0,29 Country 7 (Country) 0,00 16
5 48,80 27,25 0,29 Country 7 (Country) 0,00 16
6 48,80 27,31 0,29 Country 7 (Country) 0,00 16
7 48,80 27,35 0,29 Country 7 (Country) 0,00 16
8 48,80 27,35 0,29 Country 7 (Country) 0,00 16
9 48,80 27,35 0,29 Country 7 (Country) 0,00 16
10 48,80 27,35 0,29 Country 7 (Country) 0,00 16
11 48,80 27,35 0,29 Country 7 (Country) 0,00 16
12 48,80 27,35 0,29 Country 7 (Country) 0,00 16
13 48,80 27,35 0,29 Country 7 (Country) 0,00 16
14 48,80 27,35 0,29 Country 7 (Country) 0,00 16
15 48,80 27,35 0,29 Country 7 (Country) 0,00 16
16 48,80 27,35 0,29 Country 7 (Country) 0,00 16
17 48,80 27,35 0,29 Country 7 (Country) 0,00 16
18 48,80 27,35 0,29 Country 7 (Country) 0,00 16
19 48,80 27,35 0,29 Country 7 (Country) 0,00 16
20 48,80 27,35 0,29 Country 7 (Country) 0,00 16
21 48,80 27,35 0,29 Country 7 (Country) 0,00 16
22 48,80 27,35 0,29 Country 7 (Country) 0,00 16
23 48,80 27,35 0,29 Country 7 (Country) 0,00 16
24 48,80 27,35 0,29 Country 7 (Country) 0,00 16
25 48,80 27,35 0,29 Country 7 (Country) 0,00 16
26 48,80 27,35 0,29 Country 7 (Country) 0,00 16
27 48,80 27,35 0,29 Country 7 (Country) 0,00 16
28 48,80 27,35 0,29 Country 7 (Country) 0,00 16
29 48,80 27,35 0,29 Country 7 (Country) 0,00 16
30 48,80 27,35 0,29 Country 7 (Country) 0,00 16
31 2,13 1,19 0,29 Country 7 (Country) 0,00 18
32 0,02 0,01 0,00 Country 7 (Country) 0,00 19
33 0,02 0,01 0,00 Country 7 (Country) 0,00 19
34 0,02 0,01 0,00 Country 7 (Country) 0,00 19
35 0,02 0,01 0,00 Country 7 (Country) 0,00 19
36 0,02 0,01 0,00 Country 7 (Country) 0,00 19
37 0,02 0,01 0,00 Country 7 (Country) 0,00 19
38 0,02 0,01 0,00 Country 7 (Country) 0,00 19
39 0,02 0,01 0,00 Country 7 (Country) 0,00 19
40 0,02 0,01 0,00 Country 7 (Country) 0,00 19
41 0,02 0,01 0,00 Country 7 (Country) 0,00 19
42 0,02 0,01 0,00 Country 7 (Country) 0,00 19
43 0,02 0,01 0,00 Country 7 (Country) 0,00 19
44 0,02 0,01 0,00 Country 7 (Country) 0,00 19
45 0,02 0,01 0,00 Country 7 (Country) 0,00 19
46 0,02 0,01 0,00 Country 7 (Country) 0,00 19
47 0,02 0,01 0,00 Country 7 (Country) 0,00 19
48 0,02 0,01 0,00 Country 7 (Country) 0,00 19
49 0,02 0,01 0,00 Country 7 (Country) 0,00 19
50 0,02 0,01 0,00 Country 7 (Country) 0,00 19
51 0,02 0,01 0,00 Country 7 (Country) 0,00 19
52 0,02 0,01 0,00 Country 7 (Country) 0,00 19
53 0,02 0,01 0,00 Country 7 (Country) 0,00 19
54 0,02 0,01 0,00 Country 7 (Country) 0,00 19
55 0,02 0,01 0,00 Country 7 (Country) 0,00 19
56 0,02 0,01 0,00 Country 7 (Country) 0,00 19
57 0,02 0,01 0,00 Country 7 (Country) 0,00 19
58 0,02 0,01 0,00 Country 7 (Country) 0,00 19
59 0,02 0,01 0,00 Country 7 (Country) 0,00 19
60 0,02 0,01 0,00 Country 7 (Country) 0,00 19
61 0,02 0,01 0,00 Country 7 (Country) 0,00 19
62 0,02 0,01 0,00 Country 7 (Country) 0,00 19
63 0,02 0,01 0,00 Country 7 (Country) 0,00 19
64 0,02 0,01 0,00 Country 7 (Country) 0,00 19
65 0,02 0,01 0,00 Country 7 (Country) 0,00 19
66 0,02 0,01 0,00 Country 7 (Country) 0,00 19
67 0,02 0,01 0,00 Country 7 (Country) 0,00 19
68 0,02 0,01 0,00 Country 7 (Country) 0,00 19
69 0,02 0,01 0,00 Country 7 (Country) 0,00 19
70 0,02 0,01 0,00 Country 7 (Country) 0,00 19
71 0,02 0,01 0,00 Country 7 (Country) 0,00 19
72 0,02 0,01 0,00 Country 7 (Country) 0,00 19
73 0,02 0,01 0,00 Country 7 (Country) 0,00 19
74 0,02 0,01 0,00 Country 7 (Country) 0,00 19
75 0,02 0,01 0,00 Country 7 (Country) 0,00 19
76 0,02 0,01 0,00 Country 7 (Country) 0,00 19
77 0,02 0,01 0,00 Country 7 (Country) 0,00 19
78 0,02 0,01 0,00 Country 7 (Country) 0,00 19
79 0,02 0,01 0,00 Country 7 (Country) 0,00 19
80 0,02 0,01 0,00 Country 7 (Country) 0,00 19
81 0,02 0,01 0,00 Country 7 (Country) 0,00 19
82 0,02 0,01 0,00 Country 7 (Country) 0,00 19
83 0,02 0,01 0,00 Country 7 (Country) 0,00 19
84 0,02 0,01 0,00 Country 7 (Country) 0,00 19
85 0,02 0,01 0,00 Country 7 (Country) 0,00 19
86 0,02 0,01 0,00 Country 7 (Country) 0,00 19
87 0,02 0,01 0,00 Country 7 (Country) 0,00 19
88 0,02 0,01 0,00 Country 7 (Country) 0,00 19
89 0,02 0,01 0,00 Country 7 (Country) 0,00 19
90 0,02 0,01 0,00 Country 7 (Country) 0,00 19
91 0,02 0,01 0,00 Country 7 (Country) 0,00 19
92 0,02 0,01 0,00 Country 7 (Country) 0,00 19
93 0,02 0,01 0,00 Country 7 (Country) 0,00 19
94 0,02 0,01 0,00 Country 7 (Country) 0,00 19
95 0,02 0,01 0,00 Country 7 (Country) 0,00 19
96 0,02 0,01 0,00 Country 7 (Country) 0,00 19
97 0,02 0,01 0,00 Country 7 (Country) 0,00 19
98 0,02 0,01 0,00 Country 7 (Country) 0,00 19
99 0,02 0,01 0,00 Country 7 (Country) 0,00 19
100 0,02 0,01 0,00 Country 7 (Country) 0,00 19
101 0,02 0,01 0,00 Country 7 (Country) 0,00 19
102 0,02 0,01 0,00 Country 7 (Country) 0,00 19
103 0,02 0,01 0,00 Country 7 (Country) 0,00 19
104 0,02 0,01 0,00 Country 7 (Country) 0,00 19
105 0,02 0,01 0,00 Country 7 (Country) 0,00 19
106 0,02 0,01 0,00 Country 7 (Country) 0,00 19
107 0,02 0,01 0,00 Country 7 (Country) 0,00 19
108 0,02 0,01 0,00 Country 7 (Country) 0,00 19
109 0,02 0,01 0,00 Country 7 (Country) 0,00 19
110 0,02 0,01 0,00 Country 7 (Country) 0,00 19
111 0,02 0,01 0,00 Country 7 (Country) 0,00 19
112 0,02 0,01 0,00 Country 7 (Country) 0,00 19
113 0,02 0,01 0,00 Country 7 (Country) 0,00 19
114 0,02 0,01 0,00 Country 7 (Country) 0,00 19
115 0,02 0,01 0,00 Country 7 (Country) 0,00 19
116 0,02 0,01 0,00 Country 7 (Country) 0,00 19
117 0,02 0,01 0,00 Country 7 (Country) 0,00 19
118 0,02 0,01 0,00 Country 7 (Country) 0,00 19
119 0,02 0,01 0,00 Country 7 (Country) 0,00 19
120 0,02 0,01 0,00 Country 7 (Country) 0,00 19
121 0,02 0,01 0,00 Country 7 (Country) 0,00 19
122 0,02 0,01 0,00 Country 7 (Country) 0,00 19
123 0,02 0,01 0,00 Country 7 (Country) 0,00 19
124 0,02 0,01 0,00 Country 7 (Country) 0,00 19
125 0,02 0,01 0,00 Country 7 (Country) 0,00 19
126 0,02 0,01 0,00 Country 7 (Country) 0,00 19
127 0,02 0,01 0,00 Country 7 (Country) 0,00 19
128 0,02 0,01 0,00 Country 7 (Country) 0,00 19
129 0,02 0,01 0,00 Country 7 (Country) 0,00 19
130 0,02 0,01 0,00 Country 7 (Country) 0,00 19
131 0,02 0,01 0,00 Country 7 (Country) 0,00 19
132 0,02 0,01 0,00 Country 7 (Country) 0,00 19
133 0,02 0,01 0,00 Country 7 (Country) 0,00 19
134 0,02 0,01 0,00 Country 7 (Country) 0,00 19
135 0,02 0,01 0,00 Country 7 (Country) 0,00 19
136 0,02 0,01 0,00 Country 7 (Country) 0,00 19
137 0,02 0,01 0,00 Country 7 (Country) 0,00 19
138 0,02 0,01 0,00 Country 7 (Country) 0,00 19
139 0,02 0,01 0,00 Country 7 (Country) 0,00 19
140 0,02 0,01 0,00 Country 7 (Country) 0,00 19
141 0,02 0,01 0,00 Country 7 (Country) 0,00 19
142 0,02 0,01 0,00 Country 7 (Country) 0,00 19
143 0,02 0,01 0,00 Country 7 (Country) 0,00 19
144 0,02 0,01 0,00 Country 7 (Country) 0,00 19
145 0,02 0,01 0,00 Country 7 (Country) 0,00 19
146 0,02 0,01 0,00 Country 7 (Country) 0,00 19
147 0,02 0,01 0,00 Country 7 (Country) 0,00 19
148 0,02 0,01 0,00 Country 7 (Country) 0,00 19
149 0,02 0,01 0,00 Country 7 (Country) 0,00 19
