500
0 267,66 267,66 0,08 Country 6 (Country) 2,00 0
1 486,85 486,85 0,80 Country 6 (Country) 2,00 77
2 8,04 11,83 0,80 Country 6 (Country) 2,00 78
3 8,04 8,63 0,80 Country 6 (Country) 2,00 78
4 8,04 9,26 0,80 Country 6 (Country) 2,00 78
5 8,04 9,27 0,80 Country 6 (Country) 2,00 78
6 0,71 1,32 0,80 Country 6 (Country) 2,00 79
7 0,71 0,86 0,80 Country 6 (Country) 2,00 79
8 0,71 1,09 0,80 Country 6 (Country) 2,00 79
9 0,71 0,84 0,80 Country 6 (Country) 2,00 79
10 0,71 0,90 0,80 Country 6 (Country) 2,00 79
11 0,71 0,92 0,80 Country 6 (Country) 2,00 79
12 0,71 0,96 0,80 Country 6 (Country) 2,00 79
13 67,66 87,08 0,80 Country 6 (Country) 2,00 79
14 1,40 1,81 0,80 Country 6 (Country) 2,00 82
15 1,40 1,80 0,80 Country 6 (Country) 2,00 82
16 1,40 1,79 0,80 Country 6 (Country) 2,00 82
17 1,40 1,80 0,80 Country 6 (Country) 2,00 82
18 1,40 1,79 0,80 Country 6 (Country) 2,00 82
19 1,40 1,78 0,80 Country 6 (Country) 2,00 82
20 1,40 1,78 0,80 Country 6 (Country) 2,00 82
21 68,35 86,87 0,80 Country 6 (Country) 2,00 82
22 6,23 7,96 0,80 Country 6 (Country) 2,00 84
23 6,23 7,88 0,80 Country 6 (Country) 2,00 84
24 6,23 7,84 0,80 Country 6 (Country) 2,00 84
25 6,23 7,85 0,80 Country 6 (Country) 2,00 84
26 2,08 2,60 0,80 Country 6 (Country) 2,00 85
27 2,08 2,60 0,80 Country 6 (Country) 2,00 85
28 2,08 2,58 0,80 Country 6 (Country) 2,00 85
29 2,08 2,57 0,80 Country 6 (Country) 2,00 85
30 2,08 2,56 0,80 Country 6 (Country) 2,00 85
31 2,08 2,55 0,80 Country 6 (Country) 2,00 85
32 2,08 2,53 0,80 Country 6 (Country) 2,00 85
33 2,08 2,53 0,80 Country 6 (Country) 2,00 85
34 2,08 2,51 0,80 Country 6 (Country) 2,00 85
35 2,08 2,50 0,80 Country 6 (Country) 2,00 85
36 2,08 2,48 0,80 Country 6 (Country) 2,00 85
37 2,08 2,47 0,80 Country 6 (Country) 2,00 85
38 2,08 2,46 0,80 Country 6 (Country) 2,00 85
39 2,08 2,44 0,80 Country 6 (Country) 2,00 85
40 2,08 2,43 0,80 Country 6 (Country) 2,00 85
41 2,08 2,42 0,80 Country 6 (Country) 2,00 85
42 2,08 2,40 0,80 Country 6 (Country) 2,00 85
43 2,08 2,39 0,80 Country 6 (Country) 2,00 85
44 2,08 2,37 0,80 Country 6 (Country) 2,00 85
45 2,08 2,36 0,80 Country 6 (Country) 2,00 85
46 2,08 2,34 0,80 Country 6 (Country) 2,00 85
47 2,08 2,33 0,80 Country 6 (Country) 2,00 85
48 2,08 2,31 0,80 Country 6 (Country) 2,00 85
