500
0 1.757,37 1.757,37 0,38 Country 4 (Country) 3,00 0
1 784,89 784,89 0,38 Country 4 (Country) 3,00 9
2 195,84 28,57 0,38 Country 4 (Country) 3,00 20
3 0,37 0,06 0,38 Country 4 (Country) 3,00 25
4 1,69 0,26 0,38 Country 4 (Country) 3,00 43
5 0,68 0,12 0,38 Country 4 (Country) 3,00 50
6 0,15 0,03 0,38 Country 4 (Country) 3,00 51
7 1,17 0,22 0,38 Country 4 (Country) 3,00 63
8 255,85 61,37 0,38 Country 4 (Country) 3,00 67
9 216,76 66,91 0,38 Country 4 (Country) 3,00 81
10 216,87 60,44 0,38 Country 4 (Country) 3,00 86
11 238,69 81,28 0,38 Country 4 (Country) 3,00 96
12 260,03 99,79 0,38 Country 4 (Country) 3,00 102
13 259,90 112,47 0,38 Country 4 (Country) 3,00 110
14 260,24 156,69 0,38 Country 4 (Country) 3,00 115
15 260,11 82,58 0,38 Country 4 (Country) 3,00 133
16 238,48 169,99 0,38 Country 4 (Country) 3,00 152
17 259,88 196,98 0,38 Country 4 (Country) 3,00 165
18 260,09 178,29 0,38 Country 4 (Country) 3,00 174
19 238,27 159,63 0,38 Country 4 (Country) 3,00 183
20 259,96 184,67 0,59 Country 4 (Country) 3,00 190
21 260,45 189,49 0,59 Country 4 (Country) 3,00 204
22 260,48 182,29 0,59 Country 4 (Country) 3,00 218
23 260,04 203,38 0,59 Country 4 (Country) 3,00 226
24 0,09 0,08 0,31 Country 4 (Country) 3,00 231
25 0,09 0,08 0,31 Country 4 (Country) 3,00 231
26 0,09 0,09 0,31 Country 4 (Country) 3,00 231
27 0,09 0,08 0,31 Country 4 (Country) 3,00 231
28 84,28 65,33 0,31 Country 4 (Country) 3,00 237
29 86,41 85,84 0,31 Country 4 (Country) 3,00 248
30 93,84 103,59 0,31 Country 4 (Country) 3,00 258
31 0,02 0,02 0,31 Country 4 (Country) 3,00 263
32 0,02 0,02 0,31 Country 4 (Country) 3,00 263
33 0,02 0,02 0,31 Country 4 (Country) 3,00 263
34 0,02 0,02 0,31 Country 4 (Country) 3,00 263
35 0,01 0,01 0,31 Country 4 (Country) 3,00 264
