500
0 587,91 587,91 0,30 Country 9 (Country) 2,00 0
1 4,00 4,00 0,30 Country 9 (Country) 2,00 6
2 0,06 0,04 0,30 Country 9 (Country) 2,00 10
3 0,06 0,05 0,30 Country 9 (Country) 2,00 10
4 0,01 0,01 0,30 Country 9 (Country) 2,00 11
5 0,01 0,01 0,30 Country 9 (Country) 2,00 11
6 0,01 0,02 0,30 Country 9 (Country) 2,00 11
7 249,78 482,90 0,30 Country 9 (Country) 2,00 13
8 118,77 270,28 0,30 Country 9 (Country) 2,00 29
9 23,34 64,07 0,30 Country 9 (Country) 2,00 53
10 1,31 3,49 0,30 Country 9 (Country) 2,00 62
11 7,45 21,21 0,30 Country 9 (Country) 2,00 69
12 0,00 0,00 0,30 Country 9 (Country) 2,00 75
13 0,00 0,00 0,30 Country 9 (Country) 2,00 75
14 0,00 0,00 0,30 Country 9 (Country) 2,00 75
15 0,00 0,00 0,30 Country 9 (Country) 2,00 75
16 0,00 0,00 0,30 Country 9 (Country) 2,00 75
17 0,00 0,00 0,30 Country 9 (Country) 2,00 75
18 0,00 0,00 0,30 Country 9 (Country) 2,00 75
19 0,00 0,00 0,30 Country 9 (Country) 2,00 75
20 0,00 0,00 0,30 Country 9 (Country) 2,00 75
21 0,00 0,00 0,30 Country 9 (Country) 2,00 75
22 316,18 435,80 0,30 Country 9 (Country) 2,00 75
23 6,65 10,02 0,80 Country 9 (Country) 2,00 84
24 6,73 9,54 0,80 Country 9 (Country) 2,00 90
25 6,94 8,78 0,80 Country 9 (Country) 2,00 93
26 6,81 7,34 0,80 Country 9 (Country) 2,00 95
27 6,67 6,04 0,80 Country 9 (Country) 2,00 102
28 6,97 5,69 0,80 Country 9 (Country) 2,00 104
29 6,78 7,06 0,80 Country 9 (Country) 2,00 107
30 6,65 8,13 0,80 Country 9 (Country) 2,00 113
31 6,73 7,61 0,80 Country 9 (Country) 2,00 116
32 6,69 6,48 0,80 Country 9 (Country) 2,00 121
33 7,14 6,95 0,80 Country 9 (Country) 2,00 125
34 6,65 6,82 0,80 Country 9 (Country) 2,00 131
35 7,29 7,85 0,80 Country 9 (Country) 2,00 137
36 7,01 7,56 0,80 Country 9 (Country) 2,00 141
37 6,71 7,14 0,80 Country 9 (Country) 2,00 144
38 77,80 83,66 0,80 Country 9 (Country) 2,00 147
39 6,91 7,26 0,80 Country 9 (Country) 2,00 162
40 0,08 0,08 0,80 Country 9 (Country) 2,00 166
41 283,81 222,29 0,80 Country 9 (Country) 2,00 167
42 0,49 0,50 0,80 Country 9 (Country) 2,00 190
43 0,19 0,18 0,80 Country 9 (Country) 2,00 192
44 0,00 0,00 0,80 Country 9 (Country) 2,00 194
45 0,00 0,00 0,80 Country 9 (Country) 2,00 194
46 0,00 0,00 0,80 Country 9 (Country) 2,00 194
47 0,00 0,00 0,80 Country 9 (Country) 2,00 194
48 0,00 0,00 0,80 Country 9 (Country) 2,00 194
49 0,00 0,00 0,80 Country 9 (Country) 2,00 194
50 0,00 0,00 0,80 Country 9 (Country) 2,00 194
51 0,00 0,00 0,80 Country 9 (Country) 2,00 194
52 0,00 0,00 0,80 Country 9 (Country) 2,00 194
53 0,00 0,00 0,80 Country 9 (Country) 2,00 194
54 0,00 0,00 0,80 Country 9 (Country) 2,00 194
55 0,00 0,00 0,80 Country 9 (Country) 2,00 194
56 0,00 0,00 0,80 Country 9 (Country) 2,00 194
57 0,00 0,00 0,80 Country 9 (Country) 2,00 194
58 0,00 0,00 0,80 Country 9 (Country) 2,00 194
59 0,00 0,00 0,80 Country 9 (Country) 2,00 194
60 0,00 0,00 0,80 Country 9 (Country) 2,00 194
61 0,00 0,00 0,80 Country 9 (Country) 2,00 194
62 0,00 0,00 0,80 Country 9 (Country) 2,00 194
63 0,00 0,00 0,80 Country 9 (Country) 2,00 194
64 0,00 0,00 0,80 Country 9 (Country) 2,00 194
65 0,00 0,00 0,80 Country 9 (Country) 2,00 194
66 0,00 0,00 0,80 Country 9 (Country) 2,00 194
67 0,00 0,00 0,80 Country 9 (Country) 2,00 194
68 0,00 0,00 0,80 Country 9 (Country) 2,00 194
69 0,00 0,00 0,80 Country 9 (Country) 2,00 194
70 0,00 0,00 0,80 Country 9 (Country) 2,00 194
71 0,00 0,00 0,80 Country 9 (Country) 2,00 194
72 0,00 0,00 0,80 Country 9 (Country) 2,00 194
73 0,00 0,00 0,80 Country 9 (Country) 2,00 194
74 0,00 0,00 0,80 Country 9 (Country) 2,00 194
75 0,00 0,00 0,80 Country 9 (Country) 2,00 194
76 0,00 0,00 0,80 Country 9 (Country) 2,00 194
77 0,00 0,00 0,80 Country 9 (Country) 2,00 194
78 0,00 0,00 0,80 Country 9 (Country) 2,00 194
79 0,00 0,00 0,80 Country 9 (Country) 2,00 194
80 0,00 0,00 0,80 Country 9 (Country) 2,00 194
81 0,00 0,00 0,80 Country 9 (Country) 2,00 194
82 0,00 0,00 0,80 Country 9 (Country) 2,00 194
83 0,00 0,00 0,80 Country 9 (Country) 2,00 194
84 0,00 0,00 0,80 Country 9 (Country) 2,00 194
85 0,00 0,00 0,80 Country 9 (Country) 2,00 194
86 0,00 0,00 0,80 Country 9 (Country) 2,00 194
87 0,00 0,00 0,80 Country 9 (Country) 2,00 194
88 0,00 0,00 0,80 Country 9 (Country) 2,00 194
89 0,00 0,00 0,80 Country 9 (Country) 2,00 194
90 0,00 0,00 0,80 Country 9 (Country) 2,00 194
91 0,00 0,00 0,80 Country 9 (Country) 2,00 194
92 0,00 0,00 0,80 Country 9 (Country) 2,00 194
93 0,00 0,00 0,80 Country 9 (Country) 2,00 194
94 0,00 0,00 0,80 Country 9 (Country) 2,00 194
95 0,00 0,00 0,80 Country 9 (Country) 2,00 194
96 0,00 0,00 0,80 Country 9 (Country) 2,00 194
97 0,00 0,00 0,80 Country 9 (Country) 2,00 194
98 0,00 0,00 0,80 Country 9 (Country) 2,00 194
99 0,00 0,00 0,80 Country 9 (Country) 2,00 194
100 0,00 0,00 0,80 Country 9 (Country) 2,00 194
101 0,00 0,00 0,80 Country 9 (Country) 2,00 194
102 0,00 0,00 0,80 Country 9 (Country) 2,00 194
103 0,00 0,00 0,80 Country 9 (Country) 2,00 194
