1000
0 358,41 358,41 0,10 Country 1 (Country) 2,00 0
1 432,93 432,93 0,10 Country 1 (Country) 2,00 44
2 99,89 108,46 0,10 Country 1 (Country) 2,00 84
3 73,91 83,03 0,10 Country 1 (Country) 2,00 86
4 64,11 72,19 0,10 Country 1 (Country) 2,00 87
5 44,44 49,96 0,10 Country 1 (Country) 2,00 88
6 44,44 50,03 0,10 Country 1 (Country) 2,00 88
7 44,44 50,09 0,10 Country 1 (Country) 2,00 88
8 44,44 50,09 0,10 Country 1 (Country) 2,00 88
9 44,44 50,09 0,10 Country 1 (Country) 2,00 88
10 44,44 50,09 0,10 Country 1 (Country) 2,00 88
11 44,44 50,09 0,10 Country 1 (Country) 2,00 88
12 44,44 50,09 0,10 Country 1 (Country) 2,00 88
13 44,44 50,09 0,10 Country 1 (Country) 2,00 88
14 44,44 50,09 0,10 Country 1 (Country) 2,00 88
15 44,44 50,09 0,10 Country 1 (Country) 2,00 88
16 44,44 50,09 0,10 Country 1 (Country) 2,00 88
17 44,44 50,09 0,10 Country 1 (Country) 2,00 88
18 44,44 50,09 0,10 Country 1 (Country) 2,00 88
19 44,44 50,09 0,10 Country 1 (Country) 2,00 88
20 44,44 50,09 0,10 Country 1 (Country) 2,00 88
21 44,44 50,09 0,10 Country 1 (Country) 2,00 88
22 44,44 50,09 0,10 Country 1 (Country) 2,00 88
23 44,44 50,09 0,10 Country 1 (Country) 2,00 88
24 44,44 50,09 0,10 Country 1 (Country) 2,00 88
25 44,44 50,09 0,10 Country 1 (Country) 2,00 88
26 44,44 50,09 0,10 Country 1 (Country) 2,00 88
27 44,44 50,09 0,10 Country 1 (Country) 2,00 88
28 44,44 50,09 0,10 Country 1 (Country) 2,00 88
29 44,44 50,09 0,10 Country 1 (Country) 2,00 88
30 44,44 50,09 0,10 Country 1 (Country) 2,00 88
31 333,34 375,74 0,10 Country 1 (Country) 2,00 94
32 338,43 353,19 0,10 Country 1 (Country) 2,00 106
33 0,91 1,23 0,10 Country 1 (Country) 2,00 115
