500
0 745,64 745,64 0,07 Country 7 (Country) 0,00 0
1 2,04 2,04 0,07 Country 7 (Country) 0,00 4
2 2,04 0,15 0,07 Country 7 (Country) 0,00 4
3 2,04 0,17 0,07 Country 7 (Country) 0,00 4
4 2,04 0,17 0,07 Country 7 (Country) 0,00 4
5 0,31 0,02 0,07 Country 7 (Country) 0,00 5
6 0,31 0,03 0,07 Country 7 (Country) 0,00 5
7 0,31 0,03 0,07 Country 7 (Country) 0,00 5
8 0,31 0,04 0,07 Country 7 (Country) 0,00 5
9 0,31 0,06 0,07 Country 7 (Country) 0,00 5
10 0,31 0,06 0,07 Country 7 (Country) 0,00 5
11 0,31 0,07 0,07 Country 7 (Country) 0,00 5
12 0,31 0,07 0,07 Country 7 (Country) 0,00 5
13 0,31 0,08 0,07 Country 7 (Country) 0,00 5
14 0,31 0,12 0,07 Country 7 (Country) 0,00 5
15 0,31 0,07 0,07 Country 7 (Country) 0,00 5
16 0,31 0,13 0,07 Country 7 (Country) 0,00 5
17 0,31 0,14 0,07 Country 7 (Country) 0,00 5
18 0,04 0,02 0,07 Country 7 (Country) 0,00 6
19 0,04 0,01 0,07 Country 7 (Country) 0,00 6
20 0,04 0,02 0,07 Country 7 (Country) 0,00 6
21 0,04 0,02 0,07 Country 7 (Country) 0,00 6
22 0,04 0,02 0,07 Country 7 (Country) 0,00 6
23 0,04 0,02 0,07 Country 7 (Country) 0,00 6
24 0,04 0,02 0,07 Country 7 (Country) 0,00 6
25 0,04 0,02 0,07 Country 7 (Country) 0,00 6
26 0,04 0,02 0,07 Country 7 (Country) 0,00 6
27 0,04 0,02 0,07 Country 7 (Country) 0,00 6
28 0,04 0,02 0,07 Country 7 (Country) 0,00 6
29 0,04 0,02 0,07 Country 7 (Country) 0,00 6
30 0,04 0,02 0,07 Country 7 (Country) 0,00 6
31 0,04 0,03 0,07 Country 7 (Country) 0,00 6
32 0,04 0,02 0,07 Country 7 (Country) 0,00 6
33 0,04 0,02 0,07 Country 7 (Country) 0,00 6
34 0,04 0,02 0,07 Country 7 (Country) 0,00 6
35 0,04 0,02 0,07 Country 7 (Country) 0,00 6
36 0,04 0,02 0,07 Country 7 (Country) 0,00 6
37 0,04 0,03 0,07 Country 7 (Country) 0,00 6
38 0,04 0,02 0,07 Country 7 (Country) 0,00 6
39 0,01 0,01 0,07 Country 7 (Country) 0,00 7
40 0,01 0,01 0,07 Country 7 (Country) 0,00 7
41 0,01 0,01 0,07 Country 7 (Country) 0,00 7
42 0,01 0,01 0,07 Country 7 (Country) 0,00 7
43 0,01 0,01 0,07 Country 7 (Country) 0,00 7
44 0,01 0,01 0,07 Country 7 (Country) 0,00 7
45 0,01 0,01 0,07 Country 7 (Country) 0,00 7
46 0,01 0,01 0,07 Country 7 (Country) 0,00 7
47 0,01 0,01 0,07 Country 7 (Country) 0,00 7
48 0,01 0,01 0,07 Country 7 (Country) 0,00 7
49 0,01 0,01 0,07 Country 7 (Country) 0,00 7
50 0,01 0,01 0,07 Country 7 (Country) 0,00 7
51 0,01 0,01 0,07 Country 7 (Country) 0,00 7
52 0,01 0,01 0,07 Country 7 (Country) 0,00 7
53 0,01 0,01 0,07 Country 7 (Country) 0,00 7
54 0,01 0,01 0,07 Country 7 (Country) 0,00 7
55 0,01 0,01 0,07 Country 7 (Country) 0,00 7
56 0,01 0,01 0,07 Country 7 (Country) 0,00 7
57 0,01 0,01 0,07 Country 7 (Country) 0,00 7
58 0,01 0,01 0,07 Country 7 (Country) 0,00 7
59 0,01 0,01 0,07 Country 7 (Country) 0,00 7
60 0,01 0,01 0,07 Country 7 (Country) 0,00 7
61 0,01 0,01 0,07 Country 7 (Country) 0,00 7
62 0,01 0,01 0,07 Country 7 (Country) 0,00 7
63 0,01 0,01 0,07 Country 7 (Country) 0,00 7
64 0,01 0,01 0,07 Country 7 (Country) 0,00 7
65 0,01 0,01 0,07 Country 7 (Country) 0,00 7
66 0,01 0,01 0,07 Country 7 (Country) 0,00 7
67 0,01 0,01 0,07 Country 7 (Country) 0,00 7
68 0,01 0,01 0,07 Country 7 (Country) 0,00 7
69 0,01 0,01 0,07 Country 7 (Country) 0,00 7
70 0,01 0,01 0,07 Country 7 (Country) 0,00 7
71 0,01 0,01 0,07 Country 7 (Country) 0,00 7
72 0,01 0,01 0,07 Country 7 (Country) 0,00 7
73 0,01 0,01 0,07 Country 7 (Country) 0,00 7
74 0,01 0,01 0,07 Country 7 (Country) 0,00 7
75 0,01 0,01 0,07 Country 7 (Country) 0,00 7
76 0,01 0,01 0,07 Country 7 (Country) 0,00 7
77 0,01 0,01 0,07 Country 7 (Country) 0,00 7
78 0,01 0,01 0,07 Country 7 (Country) 0,00 7
79 0,01 0,01 0,07 Country 7 (Country) 0,00 7
80 0,01 0,01 0,07 Country 7 (Country) 0,00 7
81 0,01 0,01 0,07 Country 7 (Country) 0,00 7
82 0,01 0,01 0,07 Country 7 (Country) 0,00 7
83 0,01 0,01 0,07 Country 7 (Country) 0,00 7
84 0,01 0,01 0,07 Country 7 (Country) 0,00 7
85 0,01 0,01 0,07 Country 7 (Country) 0,00 7
86 0,01 0,01 0,07 Country 7 (Country) 0,00 7
87 0,01 0,01 0,07 Country 7 (Country) 0,00 7
88 0,01 0,01 0,07 Country 7 (Country) 0,00 7
89 0,01 0,01 0,07 Country 7 (Country) 0,00 7
