500
0 1.089,16 1.089,16 0,41 Country 8 (Country) 2,00 0
1 3.128,95 3.128,95 0,41 Country 8 (Country) 2,00 13
2 0,48 0,05 0,41 Country 8 (Country) 2,00 26
3 1.778,11 260,27 0,41 Country 8 (Country) 2,00 42
4 0,38 0,07 0,41 Country 8 (Country) 2,00 57
5 1.975,11 359,87 0,41 Country 8 (Country) 2,00 67
6 1,00 0,28 0,00 Country 8 (Country) 2,00 87
7 1,00 0,33 0,00 Country 8 (Country) 2,00 87
8 1.536,12 534,30 0,00 Country 8 (Country) 2,00 110
9 0,38 0,18 0,00 Country 8 (Country) 2,00 122
10 0,38 0,18 0,00 Country 8 (Country) 2,00 122
11 0,38 0,22 0,00 Country 8 (Country) 2,00 122
12 0,00 0,00 0,00 Country 8 (Country) 2,00 123
13 0,00 0,00 0,00 Country 8 (Country) 2,00 123
14 0,00 0,00 0,00 Country 8 (Country) 2,00 123
15 0,00 0,00 0,00 Country 8 (Country) 2,00 123
16 1.536,08 1.852,50 0,00 Country 8 (Country) 2,00 123
17 0,50 0,55 0,00 Country 8 (Country) 2,00 143
18 0,04 0,03 0,00 Country 8 (Country) 2,00 145
19 0,04 0,03 0,00 Country 8 (Country) 2,00 145
20 1.720,30 1.676,58 0,00 Country 8 (Country) 2,00 155
21 0,86 0,85 0,00 Country 8 (Country) 2,00 165
22 0,86 0,74 0,00 Country 8 (Country) 2,00 165
23 1.569,10 1.717,47 0,00 Country 8 (Country) 2,00 195
24 110,22 127,79 0,00 Country 8 (Country) 2,00 212
25 1,41 1,59 0,00 Country 8 (Country) 2,00 228
26 0,04 0,05 0,00 Country 8 (Country) 2,00 230
27 1.295,82 1.220,09 0,00 Country 8 (Country) 2,00 239
28 0,51 0,45 0,00 Country 8 (Country) 2,00 254
29 0,51 0,54 0,00 Country 8 (Country) 2,00 254
30 1.097,36 1.323,69 0,00 Country 8 (Country) 2,00 256
31 219,53 253,20 0,00 Country 8 (Country) 2,00 298
32 0,03 0,03 0,00 Country 8 (Country) 2,00 310
33 0,03 0,03 0,00 Country 8 (Country) 2,00 310
34 0,03 0,03 0,00 Country 8 (Country) 2,00 310
35 0,03 0,03 0,00 Country 8 (Country) 2,00 310
36 0,03 0,03 0,00 Country 8 (Country) 2,00 310
37 0,03 0,03 0,00 Country 8 (Country) 2,00 310
38 0,03 0,03 0,00 Country 8 (Country) 2,00 310
39 0,02 0,02 0,00 Country 8 (Country) 2,00 311
40 0,01 0,01 0,00 Country 8 (Country) 2,00 312
41 0,01 0,00 0,00 Country 8 (Country) 2,00 312
42 0,01 0,01 0,00 Country 8 (Country) 2,00 312
43 0,01 0,01 0,00 Country 8 (Country) 2,00 312
44 0,01 0,01 0,00 Country 8 (Country) 2,00 312
45 0,01 0,01 0,00 Country 8 (Country) 2,00 312
46 0,01 0,01 0,00 Country 8 (Country) 2,00 312
47 0,01 0,01 0,00 Country 8 (Country) 2,00 312
48 0,01 0,01 0,00 Country 8 (Country) 2,00 312
49 0,01 0,01 0,00 Country 8 (Country) 2,00 312
50 0,01 0,01 0,00 Country 8 (Country) 2,00 312
51 0,01 0,01 0,00 Country 8 (Country) 2,00 312
52 0,01 0,01 0,00 Country 8 (Country) 2,00 312
53 0,01 0,01 0,00 Country 8 (Country) 2,00 312
54 0,01 0,01 0,00 Country 8 (Country) 2,00 312
55 0,01 0,01 0,00 Country 8 (Country) 2,00 312
56 0,01 0,01 0,00 Country 8 (Country) 2,00 312
57 0,01 0,01 0,00 Country 8 (Country) 2,00 312
58 0,01 0,01 0,00 Country 8 (Country) 2,00 312
59 0,01 0,01 0,00 Country 8 (Country) 2,00 312
60 0,01 0,01 0,00 Country 8 (Country) 2,00 312
61 0,01 0,01 0,00 Country 8 (Country) 2,00 312
62 0,01 0,01 0,00 Country 8 (Country) 2,00 312
63 0,01 0,01 0,00 Country 8 (Country) 2,00 312
64 0,01 0,01 0,00 Country 8 (Country) 2,00 312
65 0,01 0,01 0,00 Country 8 (Country) 2,00 312
66 0,01 0,01 0,00 Country 8 (Country) 2,00 312
67 0,01 0,01 0,00 Country 8 (Country) 2,00 312
68 0,01 0,01 0,00 Country 8 (Country) 2,00 312
69 0,01 0,01 0,00 Country 8 (Country) 2,00 312
70 0,01 0,01 0,00 Country 8 (Country) 2,00 312
71 0,01 0,01 0,00 Country 8 (Country) 2,00 312
72 0,01 0,01 0,00 Country 8 (Country) 2,00 312
73 0,01 0,01 0,00 Country 8 (Country) 2,00 312
74 0,01 0,01 0,00 Country 8 (Country) 2,00 312
75 0,01 0,01 0,00 Country 8 (Country) 2,00 312
76 0,01 0,01 0,00 Country 8 (Country) 2,00 312
77 0,01 0,01 0,00 Country 8 (Country) 2,00 312
78 0,01 0,01 0,00 Country 8 (Country) 2,00 312
79 0,01 0,01 0,00 Country 8 (Country) 2,00 312
80 0,01 0,01 0,00 Country 8 (Country) 2,00 312
81 0,01 0,01 0,00 Country 8 (Country) 2,00 312
82 0,01 0,01 0,00 Country 8 (Country) 2,00 312
83 0,01 0,01 0,00 Country 8 (Country) 2,00 312
84 0,01 0,01 0,00 Country 8 (Country) 2,00 312
85 0,01 0,01 0,00 Country 8 (Country) 2,00 312
86 0,01 0,01 0,00 Country 8 (Country) 2,00 312
87 0,01 0,01 0,00 Country 8 (Country) 2,00 312
88 0,01 0,01 0,00 Country 8 (Country) 2,00 312
89 0,01 0,01 0,00 Country 8 (Country) 2,00 312
90 0,01 0,01 0,00 Country 8 (Country) 2,00 312
91 0,01 0,01 0,00 Country 8 (Country) 2,00 312
92 0,01 0,01 0,00 Country 8 (Country) 2,00 312
93 0,01 0,01 0,00 Country 8 (Country) 2,00 312
94 0,01 0,01 0,00 Country 8 (Country) 2,00 312
95 0,01 0,01 0,00 Country 8 (Country) 2,00 312
96 0,01 0,01 0,00 Country 8 (Country) 2,00 312
97 0,01 0,01 0,00 Country 8 (Country) 2,00 312
98 0,01 0,01 0,00 Country 8 (Country) 2,00 312
99 0,01 0,01 0,00 Country 8 (Country) 2,00 312
100 0,01 0,01 0,00 Country 8 (Country) 2,00 312
101 0,01 0,01 0,00 Country 8 (Country) 2,00 312
102 0,01 0,01 0,00 Country 8 (Country) 2,00 312
103 0,01 0,01 0,00 Country 8 (Country) 2,00 312
104 0,01 0,01 0,00 Country 8 (Country) 2,00 312
105 0,01 0,01 0,00 Country 8 (Country) 2,00 312
