500
0 106,88 106,88 0,22 Country 7 (Country) 1,00 0
1 0,01 0,01 0,80 Country 7 (Country) 1,00 15
2 0,01 0,02 0,80 Country 7 (Country) 1,00 20
3 0,01 0,01 0,80 Country 7 (Country) 1,00 20
4 0,01 0,02 0,80 Country 7 (Country) 1,00 26
5 0,01 0,01 0,80 Country 7 (Country) 1,00 26
6 0,01 0,02 0,80 Country 7 (Country) 1,00 33
7 0,01 0,01 0,80 Country 7 (Country) 1,00 33
8 0,01 0,02 0,80 Country 7 (Country) 1,00 43
9 0,01 0,01 0,80 Country 7 (Country) 1,00 44
10 0,01 0,02 0,80 Country 7 (Country) 1,00 50
11 0,01 0,01 0,80 Country 7 (Country) 1,00 60
12 0,01 0,02 0,80 Country 7 (Country) 1,00 64
13 0,01 0,02 0,80 Country 7 (Country) 1,00 77
14 0,01 0,02 0,80 Country 7 (Country) 1,00 83
15 0,01 0,02 0,80 Country 7 (Country) 1,00 86
16 0,01 0,02 0,80 Country 7 (Country) 1,00 93
17 0,01 0,02 0,80 Country 7 (Country) 1,00 103
18 0,01 0,02 0,80 Country 7 (Country) 1,00 108
19 0,01 0,02 0,80 Country 7 (Country) 1,00 116
20 0,01 0,02 0,80 Country 7 (Country) 1,00 122
21 0,01 0,02 0,80 Country 7 (Country) 1,00 127
22 0,01 0,02 0,80 Country 7 (Country) 1,00 138
23 0,01 0,02 0,80 Country 7 (Country) 1,00 148
24 0,01 0,02 0,80 Country 7 (Country) 1,00 152
25 0,01 0,02 0,80 Country 7 (Country) 1,00 160
26 0,01 0,02 0,80 Country 7 (Country) 1,00 168
27 0,01 0,02 0,80 Country 7 (Country) 1,00 173
28 0,01 0,02 0,80 Country 7 (Country) 1,00 184
29 0,01 0,02 0,80 Country 7 (Country) 1,00 187
30 0,01 0,02 0,80 Country 7 (Country) 1,00 197
31 0,01 0,02 0,80 Country 7 (Country) 1,00 206
32 0,01 0,02 0,80 Country 7 (Country) 1,00 212
33 0,01 0,02 0,80 Country 7 (Country) 1,00 221
34 0,01 0,02 0,80 Country 7 (Country) 1,00 235
35 0,01 0,02 0,80 Country 7 (Country) 1,00 247
36 0,01 0,02 0,80 Country 7 (Country) 1,00 253
37 0,01 0,02 0,80 Country 7 (Country) 1,00 264
38 0,01 0,02 0,80 Country 7 (Country) 1,00 266
39 0,01 0,02 0,80 Country 7 (Country) 1,00 271
40 0,01 0,02 0,80 Country 7 (Country) 1,00 281
41 0,01 0,02 0,80 Country 7 (Country) 1,00 290
42 0,01 0,02 0,80 Country 7 (Country) 1,00 298
43 0,01 0,02 0,80 Country 7 (Country) 1,00 307
44 0,01 0,02 0,80 Country 7 (Country) 1,00 317
45 0,01 0,02 0,80 Country 7 (Country) 1,00 327
46 0,01 0,02 0,80 Country 7 (Country) 1,00 340
47 0,01 0,02 0,80 Country 7 (Country) 1,00 349
48 0,01 0,02 0,80 Country 7 (Country) 1,00 362
49 0,01 0,02 0,80 Country 7 (Country) 1,00 375
50 0,01 0,02 0,80 Country 7 (Country) 1,00 382
51 0,01 0,02 0,80 Country 7 (Country) 1,00 389
52 0,01 0,02 0,80 Country 7 (Country) 1,00 398
53 0,01 0,02 0,80 Country 7 (Country) 1,00 409
54 0,01 0,02 0,80 Country 7 (Country) 1,00 418
55 0,01 0,02 0,80 Country 7 (Country) 1,00 427
56 0,01 0,02 0,80 Country 7 (Country) 1,00 437
57 0,01 0,02 0,80 Country 7 (Country) 1,00 444
58 0,01 0,02 0,80 Country 7 (Country) 1,00 458
59 0,01 0,02 0,80 Country 7 (Country) 1,00 467
60 0,01 0,02 0,80 Country 7 (Country) 1,00 476
61 0,01 0,02 0,80 Country 7 (Country) 1,00 483
62 0,01 0,02 0,80 Country 7 (Country) 1,00 494
63 0,01 0,02 0,80 Country 7 (Country) 1,00 502
64 0,01 0,02 0,80 Country 7 (Country) 1,00 516
65 0,01 0,02 0,80 Country 7 (Country) 1,00 525
66 0,01 0,02 0,80 Country 7 (Country) 1,00 533
67 0,01 0,02 0,80 Country 7 (Country) 1,00 549
68 0,01 0,02 0,80 Country 7 (Country) 1,00 554
69 0,01 0,02 0,80 Country 7 (Country) 1,00 566
70 0,01 0,02 0,80 Country 7 (Country) 1,00 573
71 0,01 0,02 0,80 Country 7 (Country) 1,00 589
72 0,01 0,02 0,80 Country 7 (Country) 1,00 598
73 0,01 0,02 0,80 Country 7 (Country) 1,00 609
74 0,01 0,02 0,80 Country 7 (Country) 1,00 614
75 0,01 0,02 0,80 Country 7 (Country) 1,00 616
76 0,01 0,02 0,80 Country 7 (Country) 1,00 629
77 0,01 0,02 0,80 Country 7 (Country) 1,00 637
78 0,01 0,02 0,80 Country 7 (Country) 1,00 651
79 0,01 0,02 0,80 Country 7 (Country) 1,00 658
80 0,01 0,02 0,80 Country 7 (Country) 1,00 667
81 0,01 0,02 0,80 Country 7 (Country) 1,00 675
82 0,01 0,02 0,80 Country 7 (Country) 1,00 686
83 0,01 0,02 0,80 Country 7 (Country) 1,00 693
84 0,01 0,02 0,80 Country 7 (Country) 1,00 700
85 0,01 0,02 0,80 Country 7 (Country) 1,00 713
86 0,01 0,02 0,80 Country 7 (Country) 1,00 718
87 0,01 0,02 0,80 Country 7 (Country) 1,00 724
88 0,01 0,02 0,80 Country 7 (Country) 1,00 732
89 0,01 0,02 0,80 Country 7 (Country) 1,00 748
90 0,01 0,02 0,80 Country 7 (Country) 1,00 760
91 0,01 0,02 0,80 Country 7 (Country) 1,00 775
92 0,01 0,02 0,80 Country 7 (Country) 1,00 784
93 0,01 0,02 0,80 Country 7 (Country) 1,00 788
94 0,01 0,02 0,80 Country 7 (Country) 1,00 796
95 0,01 0,02 0,80 Country 7 (Country) 1,00 806
96 0,01 0,02 0,80 Country 7 (Country) 1,00 814
97 0,01 0,02 0,80 Country 7 (Country) 1,00 823
98 0,01 0,02 0,80 Country 7 (Country) 1,00 840
99 0,01 0,02 0,80 Country 7 (Country) 1,00 846
100 0,01 0,02 0,80 Country 7 (Country) 1,00 866
101 0,01 0,02 0,80 Country 7 (Country) 1,00 871
102 0,01 0,02 0,80 Country 7 (Country) 1,00 879
103 0,01 0,02 0,80 Country 7 (Country) 1,00 888
104 0,01 0,02 0,80 Country 7 (Country) 1,00 894
105 0,01 0,02 0,80 Country 7 (Country) 1,00 902
106 0,01 0,02 0,80 Country 7 (Country) 1,00 908
107 0,01 0,02 0,80 Country 7 (Country) 1,00 922
108 0,01 0,02 0,80 Country 7 (Country) 1,00 928
109 0,01 0,02 0,80 Country 7 (Country) 1,00 947
110 0,01 0,02 0,80 Country 7 (Country) 1,00 955
111 0,01 0,02 0,80 Country 7 (Country) 1,00 967
112 0,01 0,02 0,80 Country 7 (Country) 1,00 984
113 0,01 0,02 0,80 Country 7 (Country) 1,00 993
114 0,01 0,02 0,80 Country 7 (Country) 1,00 1005
115 0,01 0,02 0,80 Country 7 (Country) 1,00 1014
116 0,01 0,02 0,80 Country 7 (Country) 1,00 1021
117 0,01 0,02 0,80 Country 7 (Country) 1,00 1024
118 0,01 0,02 0,80 Country 7 (Country) 1,00 1041
119 0,01 0,02 0,80 Country 7 (Country) 1,00 1049
120 0,01 0,02 0,80 Country 7 (Country) 1,00 1058
121 0,01 0,02 0,80 Country 7 (Country) 1,00 1067
122 0,01 0,02 0,80 Country 7 (Country) 1,00 1073
123 0,01 0,02 0,80 Country 7 (Country) 1,00 1085
124 0,01 0,02 0,80 Country 7 (Country) 1,00 1089
125 0,01 0,02 0,80 Country 7 (Country) 1,00 1106
126 0,01 0,02 0,80 Country 7 (Country) 1,00 1111
127 0,01 0,02 0,80 Country 7 (Country) 1,00 1118
128 0,01 0,02 0,80 Country 7 (Country) 1,00 1126
129 0,01 0,02 0,80 Country 7 (Country) 1,00 1129
130 0,01 0,02 0,80 Country 7 (Country) 1,00 1144
131 0,01 0,02 0,80 Country 7 (Country) 1,00 1153
132 0,01 0,02 0,80 Country 7 (Country) 1,00 1171
133 0,01 0,02 0,80 Country 7 (Country) 1,00 1182
134 0,01 0,02 0,80 Country 7 (Country) 1,00 1191
135 0,01 0,02 0,80 Country 7 (Country) 1,00 1201
136 0,01 0,02 0,80 Country 7 (Country) 1,00 1213
137 0,01 0,02 0,80 Country 7 (Country) 1,00 1222
138 0,01 0,02 0,80 Country 7 (Country) 1,00 1227
139 0,01 0,02 0,80 Country 7 (Country) 1,00 1239
140 0,01 0,02 0,80 Country 7 (Country) 1,00 1245
141 0,01 0,02 0,80 Country 7 (Country) 1,00 1253
142 0,01 0,02 0,80 Country 7 (Country) 1,00 1260
143 0,01 0,02 0,80 Country 7 (Country) 1,00 1268
144 0,01 0,02 0,80 Country 7 (Country) 1,00 1277
145 0,01 0,02 0,80 Country 7 (Country) 1,00 1289
146 0,01 0,02 0,80 Country 7 (Country) 1,00 1300
147 0,01 0,02 0,80 Country 7 (Country) 1,00 1309
148 0,01 0,02 0,80 Country 7 (Country) 1,00 1322
149 0,01 0,02 0,80 Country 7 (Country) 1,00 1332
150 0,01 0,02 0,80 Country 7 (Country) 1,00 1340
151 0,01 0,02 0,80 Country 7 (Country) 1,00 1347
152 0,01 0,02 0,80 Country 7 (Country) 1,00 1357
153 0,01 0,02 0,80 Country 7 (Country) 1,00 1365
154 0,01 0,02 0,80 Country 7 (Country) 1,00 1380
155 0,01 0,02 0,80 Country 7 (Country) 1,00 1395
156 0,01 0,02 0,80 Country 7 (Country) 1,00 1401
157 0,01 0,02 0,80 Country 7 (Country) 1,00 1416
158 0,01 0,02 0,80 Country 7 (Country) 1,00 1426
159 0,01 0,02 0,80 Country 7 (Country) 1,00 1436
160 0,01 0,02 0,80 Country 7 (Country) 1,00 1446
161 0,01 0,02 0,80 Country 7 (Country) 1,00 1457
162 0,01 0,02 0,80 Country 7 (Country) 1,00 1465
163 0,01 0,02 0,80 Country 7 (Country) 1,00 1474
164 0,01 0,02 0,80 Country 7 (Country) 1,00 1481
165 0,01 0,02 0,80 Country 7 (Country) 1,00 1486
166 0,01 0,02 0,80 Country 7 (Country) 1,00 1505
167 0,01 0,02 0,80 Country 7 (Country) 1,00 1515
168 0,01 0,02 0,80 Country 7 (Country) 1,00 1526
169 0,01 0,02 0,80 Country 7 (Country) 1,00 1540
170 0,01 0,02 0,80 Country 7 (Country) 1,00 1550
171 0,01 0,02 0,80 Country 7 (Country) 1,00 1552
172 0,01 0,02 0,80 Country 7 (Country) 1,00 1565
173 0,01 0,02 0,80 Country 7 (Country) 1,00 1567
174 0,01 0,02 0,80 Country 7 (Country) 1,00 1578
175 0,01 0,02 0,80 Country 7 (Country) 1,00 1586
176 0,01 0,02 0,80 Country 7 (Country) 1,00 1591
177 0,01 0,02 0,80 Country 7 (Country) 1,00 1601
178 0,01 0,02 0,80 Country 7 (Country) 1,00 1608
179 0,01 0,02 0,80 Country 7 (Country) 1,00 1624
180 0,01 0,02 0,80 Country 7 (Country) 1,00 1629
181 0,01 0,02 0,80 Country 7 (Country) 1,00 1648
182 0,01 0,02 0,80 Country 7 (Country) 1,00 1651
183 0,01 0,02 0,80 Country 7 (Country) 1,00 1662
184 0,01 0,02 0,80 Country 7 (Country) 1,00 1672
185 0,01 0,02 0,80 Country 7 (Country) 1,00 1680
186 0,01 0,02 0,80 Country 7 (Country) 1,00 1691
187 0,01 0,02 0,80 Country 7 (Country) 1,00 1697
