500
0 1.311,24 1.311,24 0,53 Country 4 (Country) 1,00 0
1 334,55 334,55 0,80 Country 4 (Country) 1,00 4
2 12,79 11,42 0,80 Country 4 (Country) 1,00 7
3 984,66 742,34 0,80 Country 4 (Country) 1,00 12
4 3,74 3,09 0,80 Country 4 (Country) 1,00 15
5 776,60 547,09 0,80 Country 4 (Country) 1,00 19
6 7,01 6,11 0,80 Country 4 (Country) 1,00 22
7 7,01 5,19 0,80 Country 4 (Country) 1,00 22
8 7,01 5,84 0,80 Country 4 (Country) 1,00 22
9 7,01 5,33 0,80 Country 4 (Country) 1,00 22
10 7,01 5,94 0,80 Country 4 (Country) 1,00 22
11 7,01 5,44 0,80 Country 4 (Country) 1,00 22
12 7,01 5,81 0,80 Country 4 (Country) 1,00 22
13 7,01 5,71 0,80 Country 4 (Country) 1,00 22
14 7,01 5,74 0,80 Country 4 (Country) 1,00 22
15 7,01 5,70 0,80 Country 4 (Country) 1,00 22
16 7,01 5,68 0,80 Country 4 (Country) 1,00 22
17 7,01 5,71 0,80 Country 4 (Country) 1,00 22
18 7,01 5,68 0,80 Country 4 (Country) 1,00 22
19 7,01 5,69 0,80 Country 4 (Country) 1,00 22
20 7,01 5,69 0,80 Country 4 (Country) 1,00 22
21 7,01 5,67 0,80 Country 4 (Country) 1,00 22
22 7,01 5,68 0,80 Country 4 (Country) 1,00 22
23 7,01 5,67 0,80 Country 4 (Country) 1,00 22
24 7,01 5,67 0,80 Country 4 (Country) 1,00 22
25 7,01 5,68 0,80 Country 4 (Country) 1,00 22
26 0,71 0,57 0,80 Country 4 (Country) 1,00 23
27 0,71 0,57 0,80 Country 4 (Country) 1,00 23
28 0,71 0,57 0,80 Country 4 (Country) 1,00 23
29 0,71 0,57 0,80 Country 4 (Country) 1,00 23
30 0,71 0,57 0,80 Country 4 (Country) 1,00 23
31 0,71 0,57 0,80 Country 4 (Country) 1,00 23
32 0,71 0,57 0,80 Country 4 (Country) 1,00 23
33 0,71 0,57 0,80 Country 4 (Country) 1,00 23
34 0,71 0,57 0,80 Country 4 (Country) 1,00 23
35 0,71 0,57 0,80 Country 4 (Country) 1,00 23
36 0,71 0,57 0,80 Country 4 (Country) 1,00 23
37 0,71 0,57 0,80 Country 4 (Country) 1,00 23
38 0,71 0,57 0,80 Country 4 (Country) 1,00 23
39 0,71 0,57 0,80 Country 4 (Country) 1,00 23
40 0,71 0,57 0,80 Country 4 (Country) 1,00 23
41 0,71 0,58 0,80 Country 4 (Country) 1,00 23
42 0,71 0,58 0,80 Country 4 (Country) 1,00 23
43 0,71 0,58 0,80 Country 4 (Country) 1,00 23
44 0,71 0,58 0,80 Country 4 (Country) 1,00 23
45 0,71 0,58 0,80 Country 4 (Country) 1,00 23
46 0,71 0,58 0,80 Country 4 (Country) 1,00 23
47 0,71 0,58 0,80 Country 4 (Country) 1,00 23
48 0,71 0,58 0,80 Country 4 (Country) 1,00 23
49 0,71 0,58 0,80 Country 4 (Country) 1,00 23
50 0,71 0,58 0,80 Country 4 (Country) 1,00 23
51 0,71 0,58 0,80 Country 4 (Country) 1,00 23
52 0,71 0,58 0,80 Country 4 (Country) 1,00 23
53 0,71 0,58 0,80 Country 4 (Country) 1,00 23
54 0,71 0,58 0,80 Country 4 (Country) 1,00 23
55 0,71 0,58 0,80 Country 4 (Country) 1,00 23
56 0,71 0,58 0,80 Country 4 (Country) 1,00 23
57 0,71 0,58 0,80 Country 4 (Country) 1,00 23
58 0,71 0,58 0,80 Country 4 (Country) 1,00 23
59 0,71 0,58 0,80 Country 4 (Country) 1,00 23
60 0,71 0,58 0,80 Country 4 (Country) 1,00 23
61 0,71 0,58 0,80 Country 4 (Country) 1,00 23
62 0,71 0,58 0,80 Country 4 (Country) 1,00 23
63 0,71 0,58 0,80 Country 4 (Country) 1,00 23
64 0,71 0,58 0,80 Country 4 (Country) 1,00 23
65 0,71 0,58 0,80 Country 4 (Country) 1,00 23
66 0,71 0,58 0,80 Country 4 (Country) 1,00 23
67 0,71 0,58 0,80 Country 4 (Country) 1,00 23
68 0,71 0,58 0,80 Country 4 (Country) 1,00 23
69 0,71 0,58 0,80 Country 4 (Country) 1,00 23
70 0,71 0,58 0,80 Country 4 (Country) 1,00 23
71 0,71 0,58 0,80 Country 4 (Country) 1,00 23
72 0,71 0,58 0,80 Country 4 (Country) 1,00 23
73 0,71 0,58 0,80 Country 4 (Country) 1,00 23
74 0,71 0,58 0,80 Country 4 (Country) 1,00 23
75 0,71 0,58 0,80 Country 4 (Country) 1,00 23
76 0,71 0,58 0,80 Country 4 (Country) 1,00 23
77 0,71 0,58 0,80 Country 4 (Country) 1,00 23
78 0,71 0,58 0,80 Country 4 (Country) 1,00 23
79 0,71 0,58 0,80 Country 4 (Country) 1,00 23
80 0,71 0,58 0,80 Country 4 (Country) 1,00 23
81 0,71 0,59 0,80 Country 4 (Country) 1,00 23
82 0,71 0,59 0,80 Country 4 (Country) 1,00 23
83 0,71 0,59 0,80 Country 4 (Country) 1,00 23
84 0,71 0,59 0,80 Country 4 (Country) 1,00 23
85 0,71 0,59 0,80 Country 4 (Country) 1,00 23
86 0,71 0,59 0,80 Country 4 (Country) 1,00 23
87 0,71 0,59 0,80 Country 4 (Country) 1,00 23
88 0,71 0,59 0,80 Country 4 (Country) 1,00 23
89 0,71 0,59 0,80 Country 4 (Country) 1,00 23
90 0,71 0,59 0,80 Country 4 (Country) 1,00 23
91 0,71 0,59 0,80 Country 4 (Country) 1,00 23
92 0,71 0,59 0,80 Country 4 (Country) 1,00 23
93 0,71 0,59 0,80 Country 4 (Country) 1,00 23
94 0,71 0,59 0,80 Country 4 (Country) 1,00 23
95 0,71 0,59 0,80 Country 4 (Country) 1,00 23
96 0,71 0,59 0,80 Country 4 (Country) 1,00 23
97 0,71 0,59 0,80 Country 4 (Country) 1,00 23
98 0,71 0,59 0,80 Country 4 (Country) 1,00 23
99 0,71 0,59 0,80 Country 4 (Country) 1,00 23
100 0,71 0,59 0,80 Country 4 (Country) 1,00 23
101 0,71 0,59 0,80 Country 4 (Country) 1,00 23
102 0,71 0,59 0,80 Country 4 (Country) 1,00 23
103 0,71 0,60 0,80 Country 4 (Country) 1,00 23
104 0,71 0,60 0,80 Country 4 (Country) 1,00 23
105 0,71 0,60 0,80 Country 4 (Country) 1,00 23
106 0,71 0,60 0,80 Country 4 (Country) 1,00 23
107 0,71 0,60 0,80 Country 4 (Country) 1,00 23
108 0,71 0,60 0,80 Country 4 (Country) 1,00 23
109 0,71 0,60 0,80 Country 4 (Country) 1,00 23
110 0,71 0,60 0,80 Country 4 (Country) 1,00 23
111 0,71 0,60 0,80 Country 4 (Country) 1,00 23
112 0,71 0,60 0,80 Country 4 (Country) 1,00 23
113 0,71 0,60 0,80 Country 4 (Country) 1,00 23
114 0,71 0,60 0,80 Country 4 (Country) 1,00 23
115 0,71 0,60 0,80 Country 4 (Country) 1,00 23
116 0,71 0,60 0,80 Country 4 (Country) 1,00 23
117 0,71 0,60 0,80 Country 4 (Country) 1,00 23
118 0,71 0,60 0,80 Country 4 (Country) 1,00 23
119 0,71 0,60 0,80 Country 4 (Country) 1,00 23
120 0,71 0,60 0,80 Country 4 (Country) 1,00 23
121 0,71 0,60 0,80 Country 4 (Country) 1,00 23
122 0,71 0,60 0,80 Country 4 (Country) 1,00 23
123 0,71 0,61 0,80 Country 4 (Country) 1,00 23
124 0,71 0,61 0,80 Country 4 (Country) 1,00 23
125 0,71 0,61 0,80 Country 4 (Country) 1,00 23
126 0,71 0,61 0,80 Country 4 (Country) 1,00 23
127 0,71 0,61 0,80 Country 4 (Country) 1,00 23
128 0,71 0,61 0,80 Country 4 (Country) 1,00 23
129 0,71 0,61 0,80 Country 4 (Country) 1,00 23
