1000
0 346,57 346,57 0,66 Country 3 (Country) 1,00 0
1 525,81 525,81 0,66 Country 3 (Country) 1,00 0
2 525,81 612,90 0,66 Country 3 (Country) 1,00 0
3 525,81 650,69 0,66 Country 3 (Country) 1,00 0
4 525,81 654,33 0,66 Country 3 (Country) 1,00 0
5 525,81 654,33 0,66 Country 3 (Country) 1,00 0
6 525,81 656,08 0,66 Country 3 (Country) 1,00 0
7 525,81 656,96 0,66 Country 3 (Country) 1,00 0
8 525,81 656,96 0,66 Country 3 (Country) 1,00 0
9 525,81 656,96 0,66 Country 3 (Country) 1,00 0
10 525,81 656,96 0,66 Country 3 (Country) 1,00 0
11 525,81 656,96 0,66 Country 3 (Country) 1,00 0
12 525,81 656,96 0,66 Country 3 (Country) 1,00 0
13 525,81 656,96 0,66 Country 3 (Country) 1,00 0
14 525,81 656,96 0,66 Country 3 (Country) 1,00 0
15 525,81 656,96 0,66 Country 3 (Country) 1,00 0
16 525,81 656,96 0,66 Country 3 (Country) 1,00 0
17 525,81 656,96 0,66 Country 3 (Country) 1,00 0
18 525,81 656,96 0,66 Country 3 (Country) 1,00 0
19 525,81 656,96 0,66 Country 3 (Country) 1,00 0
20 525,81 656,96 0,66 Country 3 (Country) 1,00 0
21 525,81 656,96 0,66 Country 3 (Country) 1,00 0
22 525,81 656,96 0,66 Country 3 (Country) 1,00 0
23 525,81 656,96 0,66 Country 3 (Country) 1,00 0
24 525,81 656,96 0,66 Country 3 (Country) 1,00 0
25 525,81 656,96 0,66 Country 3 (Country) 1,00 0
26 525,81 656,96 0,66 Country 3 (Country) 1,00 0
27 525,81 656,96 0,66 Country 3 (Country) 1,00 0
28 525,81 656,96 0,66 Country 3 (Country) 1,00 0
29 525,81 656,96 0,66 Country 3 (Country) 1,00 0
30 525,81 656,96 0,66 Country 3 (Country) 1,00 0
31 0,56 0,69 0,66 Country 3 (Country) 1,00 5
32 1,29 1,22 0,66 Country 3 (Country) 1,00 6
33 2,40 2,47 0,66 Country 3 (Country) 1,00 6
34 0,65 0,67 0,66 Country 3 (Country) 1,00 7
35 0,65 0,72 0,66 Country 3 (Country) 1,00 7
36 0,65 0,69 0,66 Country 3 (Country) 1,00 7
37 0,65 0,70 0,66 Country 3 (Country) 1,00 7
38 0,65 0,71 0,66 Country 3 (Country) 1,00 7
39 1,19 1,27 0,66 Country 3 (Country) 1,00 7
40 0,04 0,04 0,66 Country 3 (Country) 1,00 8
41 0,04 0,04 0,66 Country 3 (Country) 1,00 8
42 0,04 0,04 0,66 Country 3 (Country) 1,00 8
43 0,04 0,04 0,66 Country 3 (Country) 1,00 8
44 0,04 0,04 0,66 Country 3 (Country) 1,00 8
45 0,04 0,04 0,66 Country 3 (Country) 1,00 8
46 0,04 0,04 0,66 Country 3 (Country) 1,00 8
47 0,04 0,04 0,66 Country 3 (Country) 1,00 8
48 0,04 0,04 0,66 Country 3 (Country) 1,00 8
49 0,04 0,04 0,66 Country 3 (Country) 1,00 8
50 0,04 0,04 0,66 Country 3 (Country) 1,00 8
51 0,04 0,04 0,66 Country 3 (Country) 1,00 8
52 0,04 0,04 0,66 Country 3 (Country) 1,00 8
53 0,04 0,04 0,66 Country 3 (Country) 1,00 8
54 0,04 0,04 0,66 Country 3 (Country) 1,00 8
55 0,04 0,04 0,66 Country 3 (Country) 1,00 8
56 0,04 0,04 0,66 Country 3 (Country) 1,00 8
