500
0 39,61 39,61 39,61 4,00 31,00 0 0
1 39,61 39,61 39,61 3,00 15,00 2034 0
2 39,61 39,61 2,95 1,00 19,00 5373 0
3 39,61 39,61 3,20 3,00 1,00 8224 0
4 39,61 39,61 3,25 1,00 19,00 10634 0
5 39,61 39,61 3,12 1,00 7,00 12916 0
6 39,61 39,61 4,11 3,00 1,00 15418 0
7 39,61 39,61 4,11 1,00 19,00 17536 0
8 39,61 39,61 4,63 1,00 4,00 19639 0
9 39,61 39,61 7,93 1,00 1,00 21808 0
10 39,61 39,61 6,96 1,00 1,00 23907 0
11 39,61 39,61 8,29 1,00 1,00 25930 0
12 39,61 39,61 8,38 1,00 1,00 27892 0
13 39,61 39,61 10,47 1,00 1,00 29850 0
14 39,61 39,61 14,92 2,00 1,00 31599 0
15 39,61 39,61 8,23 2,00 19,00 33497 0
16 39,61 39,61 16,12 1,00 19,00 35789 0
17 39,61 39,61 17,15 1,00 1,00 37955 0
18 39,61 39,61 16,84 2,00 1,00 39952 0
19 39,61 39,61 15,19 2,00 19,00 41766 0
20 39,61 39,61 20,12 1,00 19,00 43660 0
21 39,61 39,61 20,99 2,00 1,00 45373 0
22 39,61 39,61 17,44 2,00 19,00 47124 0
23 39,61 39,61 20,22 1,00 2,00 48807 0
24 39,61 39,61 24,13 2,00 1,00 50463 0
25 39,61 39,61 26,09 2,00 19,00 52047 0
26 39,61 39,61 23,96 1,00 6,00 53795 0
27 39,61 39,61 21,38 1,00 1,00 55520 0
28 39,61 39,61 20,81 2,00 1,00 57190 0
29 39,61 39,61 23,61 2,00 19,00 58778 0
30 39,61 39,61 26,18 1,00 12,00 60394 0
31 39,61 39,61 29,05 2,00 1,00 62105 0
32 39,61 39,61 26,09 2,00 19,00 63934 0
33 39,61 39,61 23,55 1,00 19,00 65556 0
34 39,61 39,61 25,43 2,00 1,00 67081 0
35 39,61 39,61 25,80 1,00 19,00 68549 0
36 39,61 39,61 25,21 1,00 14,00 69881 0
37 39,61 39,61 27,87 1,00 1,00 71145 0
38 39,61 39,61 27,00 1,00 1,00 72579 0
39 39,61 39,61 26,07 1,00 1,00 74208 0
40 39,61 39,61 24,93 1,00 1,00 75718 0
41 39,61 39,61 19,33 1,00 1,00 77166 0
42 39,61 39,61 25,69 1,00 1,00 78878 0
43 39,61 39,61 24,66 1,00 1,00 80555 0
44 39,61 39,61 24,63 1,00 1,00 81773 0
45 39,61 39,61 24,65 1,00 1,00 83109 0
46 39,61 39,61 25,23 1,00 1,00 84434 0
47 39,61 39,61 24,86 1,00 1,00 85600 0
48 39,61 39,61 24,85 1,00 1,00 87143 0
49 39,61 39,61 24,70 1,00 1,00 88485 0
50 39,61 39,61 25,12 1,00 1,00 89667 0
51 39,61 39,61 29,83 1,00 1,00 91101 0
52 39,61 39,61 31,48 1,00 1,00 92490 0
53 39,61 39,61 31,87 1,00 1,00 93718 0
54 39,61 39,61 30,98 1,00 1,00 94913 0
55 39,61 39,61 31,03 1,00 1,00 96246 0
56 39,61 39,61 31,72 1,00 1,00 97603 0
57 39,61 39,61 30,88 1,00 1,00 98885 0
58 39,61 39,61 31,88 1,00 1,00 100402 0
59 39,61 39,61 31,37 1,00 1,00 101741 0
60 39,61 39,61 31,40 1,00 1,00 103074 0
61 39,61 39,61 30,92 1,00 1,00 104418 0
62 39,61 39,61 30,46 1,00 1,00 105536 0
63 39,61 39,61 30,97 1,00 1,00 106810 0
64 39,61 39,61 30,31 1,00 1,00 108412 0
