1000
0 66,11 66,11 66,11 1,00 20,00 0
1 66,11 3,48 3,48 1,00 25,00 1235
2 66,11 2,75 2,99 1,00 30,00 1774
3 66,11 2,75 3,09 1,00 36,00 1865
4 66,11 2,75 3,10 1,00 42,00 1875
5 66,11 2,75 3,10 1,00 48,00 1879
6 66,11 2,75 3,10 1,00 54,00 1881
7 66,11 2,75 3,10 1,00 60,00 1881
8 66,11 2,75 3,10 1,00 66,00 1881
9 66,11 2,75 3,10 1,00 72,00 1881
10 66,11 2,75 3,10 1,00 78,00 1881
11 66,11 2,75 3,10 1,00 84,00 1881
12 66,11 2,75 3,10 1,00 90,00 1881
13 66,11 2,75 3,10 1,00 96,00 1881
14 66,11 2,75 3,10 1,00 102,00 1881
15 66,11 2,75 3,10 1,00 108,00 1881
16 66,11 2,75 3,10 1,00 114,00 1881
17 66,11 2,75 3,10 1,00 120,00 1881
18 66,11 2,75 3,10 1,00 126,00 1881
19 66,11 2,75 3,10 1,00 132,00 1881
20 66,11 2,75 3,10 1,00 138,00 1881
21 66,11 2,75 3,10 1,00 144,00 1881
22 66,11 2,75 3,10 1,00 150,00 1881
23 66,11 2,75 3,10 1,00 156,00 1881
24 66,11 2,75 3,10 1,00 162,00 1881
25 66,11 2,75 3,10 1,00 168,00 1881
26 66,11 2,75 3,10 1,00 174,00 1881
27 66,11 2,75 3,10 1,00 180,00 1881
28 66,11 2,75 3,10 1,00 186,00 1881
29 66,11 2,75 3,10 1,00 192,00 1881
30 66,11 2,75 3,10 75,00 198,00 1881
31 66,11 25,17 28,37 75,00 203,00 2704
32 66,11 24,54 25,62 75,00 208,00 3431
33 66,11 24,54 33,18 75,00 214,00 3821
34 66,11 24,54 32,90 75,00 220,00 4072
35 66,11 24,54 35,64 75,00 226,00 4286
36 66,11 24,54 33,76 75,00 232,00 4405
37 66,11 20,83 28,54 75,00 238,00 4558
38 66,11 20,83 30,01 75,00 244,00 4625
39 66,11 20,83 29,19 75,00 250,00 4666
40 66,11 20,83 29,64 75,00 256,00 4711
41 66,11 20,83 29,69 75,00 262,00 4762
42 66,11 20,83 30,49 75,00 268,00 4795
43 66,11 20,83 29,35 75,00 274,00 4831
44 66,11 17,71 25,57 75,00 280,00 4863
45 66,11 17,71 25,57 75,00 286,00 4893
46 66,11 17,71 25,57 75,00 292,00 4918
47 66,11 17,71 25,57 75,00 298,00 4938
48 66,11 17,71 25,57 75,00 304,00 4953
49 66,11 17,71 25,57 75,00 310,00 4969
50 66,11 17,71 25,57 75,00 316,00 4978
51 66,11 17,71 25,57 75,00 322,00 4991
52 66,11 17,71 25,57 75,00 328,00 5006
53 66,11 17,71 25,57 75,00 334,00 5016
54 66,11 17,71 25,57 75,00 340,00 5027
55 66,11 17,71 25,57 75,00 346,00 5033
56 66,11 17,71 25,57 75,00 352,00 5043
57 66,11 17,71 25,57 75,00 358,00 5047
58 66,11 17,71 25,57 75,00 364,00 5055
59 66,11 17,71 25,57 75,00 370,00 5061
60 66,11 17,71 25,57 1,00 376,00 5068
61 66,11 17,71 25,57 1,00 382,00 5076
62 66,11 17,71 25,57 1,00 388,00 5097
63 66,11 17,71 25,57 1,00 394,00 5110
64 66,11 17,71 25,57 1,00 400,00 5114
65 66,11 17,71 25,58 1,00 406,00 5115
66 66,11 17,71 25,57 1,00 412,00 5118
67 66,11 17,71 25,57 1,00 418,00 5123
68 66,11 17,71 25,58 1,00 424,00 5124
69 66,11 17,71 25,58 1,00 430,00 5125
70 66,11 0,15 0,22 1,00 436,00 5125
71 66,11 0,15 0,22 1,00 442,00 5125
72 66,11 0,15 0,22 1,00 448,00 5125
73 66,11 0,15 0,22 1,00 454,00 5125
74 66,11 0,15 0,22 1,00 460,00 5126
75 66,11 0,15 0,22 1,00 466,00 5126
76 66,11 0,15 0,22 1,00 472,00 5126
77 66,11 0,15 0,22 1,00 478,00 5126
78 66,11 0,15 0,22 1,00 484,00 5127
79 66,11 0,15 0,22 1,00 490,00 5128
80 66,11 0,15 0,22 1,00 496,00 5128
81 66,11 0,13 0,19 1,00 502,00 5128
82 66,11 0,13 0,19 1,00 508,00 5128
83 66,11 0,13 0,19 1,00 514,00 5128
84 66,11 0,13 0,19 1,00 520,00 5128
85 66,11 0,13 0,19 1,00 526,00 5128
86 66,11 0,13 0,19 1,00 532,00 5128
87 66,11 0,13 0,19 1,00 538,00 5128
88 66,11 0,13 0,19 1,00 544,00 5129
89 66,11 0,13 0,19 1,00 550,00 5133
90 66,11 0,12 0,17 99,00 556,00 5133
91 66,11 11,79 17,03 99,00 561,00 5240
92 66,11 11,79 17,03 99,00 567,00 5280
93 66,11 11,79 17,03 99,00 573,00 5298
94 66,11 11,79 17,03 99,00 579,00 5308
95 66,11 11,79 17,03 99,00 585,00 5318
96 66,11 11,79 17,03 99,00 591,00 5327
97 66,11 11,79 17,03 99,00 597,00 5336
98 66,11 11,79 17,03 99,00 603,00 5340
99 66,11 11,79 17,03 99,00 609,00 5347
100 66,11 11,79 17,03 99,00 615,00 5351
101 66,11 11,79 17,03 99,00 621,00 5353
102 66,11 11,79 17,03 99,00 627,00 5354
103 66,11 10,34 14,93 99,00 633,00 5357
104 66,11 10,34 14,93 99,00 639,00 5357
105 66,11 10,34 14,93 99,00 645,00 5357
106 66,11 10,34 14,93 99,00 651,00 5357
107 66,11 10,34 14,93 99,00 657,00 5357
108 66,11 10,34 14,93 99,00 663,00 5357
109 66,11 10,34 14,93 99,00 669,00 5359
110 66,11 10,34 14,93 99,00 675,00 5359
111 66,11 10,34 14,93 99,00 681,00 5360
112 66,11 10,34 14,93 99,00 687,00 5362
113 66,11 10,34 14,93 99,00 693,00 5364
114 66,11 10,34 14,93 99,00 699,00 5366
115 66,11 10,34 14,93 99,00 705,00 5366
116 66,11 9,20 13,29 99,00 711,00 5366
117 66,11 9,20 13,29 99,00 717,00 5366
118 66,11 9,20 13,29 99,00 723,00 5367
119 66,11 9,20 13,29 99,00 729,00 5368
120 66,11 9,20 13,29 2,00 735,00 5368
121 66,11 9,20 13,29 2,00 741,00 5378
122 66,11 9,20 13,29 2,00 747,00 5387
123 66,11 9,20 13,29 2,00 753,00 5391
124 66,11 0,17 0,25 2,00 759,00 5392
125 66,11 0,17 0,25 2,00 765,00 5392
126 66,11 0,17 0,25 2,00 771,00 5392
127 66,11 0,17 0,25 2,00 777,00 5392
128 66,11 0,17 0,24 2,00 783,00 5392
129 66,11 0,17 0,24 2,00 789,00 5392
130 66,11 0,17 0,24 2,00 795,00 5392
131 66,11 0,17 0,24 2,00 801,00 5392
132 66,11 0,17 0,24 2,00 807,00 5392
133 66,11 0,17 0,24 2,00 813,00 5392
134 66,11 0,17 0,24 2,00 819,00 5392
135 66,11 0,17 0,24 2,00 825,00 5392
136 66,11 0,17 0,24 2,00 831,00 5392
137 66,11 0,17 0,24 2,00 837,00 5392
138 66,11 0,17 0,24 2,00 843,00 5392
139 66,11 0,16 0,22 2,00 849,00 5392
140 66,11 0,16 0,22 2,00 855,00 5397
141 66,11 0,16 0,22 2,00 861,00 5398
142 66,11 0,16 0,22 2,00 867,00 5398
143 66,11 0,16 0,22 2,00 873,00 5398
