1000
0 57,53 57,53 57,53 1,00 48,00 0
1 57,53 1,55 1,55 1,00 50,00 1235
2 57,53 1,17 1,27 1,00 62,00 1774
3 57,53 1,17 1,32 1,00 75,00 1865
4 57,53 1,17 1,32 1,00 88,00 1875
5 57,53 1,17 1,32 1,00 101,00 1879
6 57,53 1,17 1,32 1,00 114,00 1881
7 57,53 1,17 1,32 1,00 127,00 1881
8 57,53 1,17 1,32 1,00 140,00 1881
9 57,53 1,17 1,32 1,00 153,00 1881
10 57,53 1,17 1,32 1,00 166,00 1881
11 57,53 1,17 1,32 1,00 179,00 1881
12 57,53 1,17 1,32 1,00 192,00 1881
13 57,53 1,17 1,32 1,00 205,00 1881
14 57,53 1,17 1,32 1,00 218,00 1881
15 57,53 1,17 1,32 1,00 231,00 1881
16 57,53 0,24 0,27 1,00 244,00 1881
17 57,53 0,24 0,27 1,00 257,00 1881
18 57,53 0,24 0,27 1,00 270,00 1881
19 57,53 0,24 0,27 1,00 283,00 1881
20 57,53 0,24 0,27 1,00 296,00 1881
21 57,53 0,24 0,27 1,00 309,00 1881
22 57,53 0,24 0,27 1,00 322,00 1881
23 57,53 0,24 0,27 1,00 335,00 1881
24 57,53 0,24 0,27 1,00 348,00 1881
25 57,53 0,24 0,27 1,00 361,00 1881
26 57,53 0,24 0,27 1,00 374,00 1881
27 57,53 0,24 0,27 1,00 387,00 1881
28 57,53 0,24 0,27 1,00 400,00 1881
29 57,53 0,24 0,27 1,00 413,00 1881
30 57,53 0,14 0,15 99,00 426,00 1881
31 57,53 13,40 15,11 99,00 438,00 2704
32 57,53 13,03 13,60 99,00 450,00 3431
33 57,53 12,30 16,63 99,00 463,00 3821
34 57,53 12,30 16,49 99,00 476,00 4072
35 57,53 11,65 16,91 99,00 489,00 4286
36 57,53 11,65 16,02 99,00 502,00 4405
37 57,53 11,65 15,96 99,00 515,00 4558
38 57,53 11,65 16,78 99,00 528,00 4625
39 57,53 11,65 16,32 99,00 541,00 4666
40 57,53 11,65 16,57 99,00 554,00 4711
41 57,53 11,65 16,60 99,00 567,00 4762
42 57,53 11,65 17,04 99,00 580,00 4795
43 57,53 11,65 16,41 99,00 593,00 4831
44 57,53 9,40 13,57 99,00 606,00 4863
45 57,53 9,40 13,57 99,00 619,00 4893
46 57,53 9,01 13,01 99,00 632,00 4918
47 57,53 8,83 12,75 99,00 645,00 4938
48 57,53 8,83 12,75 99,00 658,00 4953
49 57,53 8,83 12,75 99,00 671,00 4969
50 57,53 8,83 12,75 99,00 684,00 4978
51 57,53 8,83 12,75 99,00 697,00 4991
52 57,53 8,83 12,75 99,00 710,00 5006
53 57,53 7,88 11,38 99,00 723,00 5016
54 57,53 7,88 11,38 99,00 736,00 5027
55 57,53 7,88 11,38 99,00 749,00 5033
56 57,53 7,88 11,38 99,00 762,00 5043
57 57,53 7,88 11,38 99,00 775,00 5047
58 57,53 7,88 11,38 99,00 788,00 5055
59 57,53 7,88 11,38 99,00 801,00 5061
60 57,53 7,88 11,38 36,00 814,00 5068
61 57,53 7,88 11,38 36,00 827,00 5076
62 57,53 7,88 11,38 36,00 840,00 5097
63 57,53 7,88 11,38 36,00 853,00 5110
64 57,53 7,88 11,38 36,00 866,00 5114
65 57,53 7,88 11,38 36,00 879,00 5115
66 57,53 7,88 11,38 36,00 892,00 5118
67 57,53 7,88 11,38 36,00 905,00 5123
68 57,53 7,88 11,38 36,00 918,00 5124
69 57,53 7,88 11,38 36,00 931,00 5125
70 57,53 2,19 3,17 36,00 944,00 5125
71 57,53 2,19 3,17 36,00 957,00 5125
72 57,53 2,19 3,17 36,00 970,00 5125
73 57,53 2,19 3,17 36,00 983,00 5125
74 57,53 2,19 3,17 36,00 996,00 5126
75 57,53 2,19 3,17 36,00 1.009,00 5126
76 57,53 2,03 2,93 36,00 1.022,00 5126
77 57,53 2,00 2,89 36,00 1.035,00 5126
78 57,53 2,00 2,89 36,00 1.048,00 5127
79 57,53 2,00 2,89 36,00 1.061,00 5128
80 57,53 2,00 2,89 36,00 1.074,00 5128
81 57,53 2,00 2,89 36,00 1.087,00 5128
82 57,53 2,00 2,89 36,00 1.100,00 5128
83 57,53 2,00 2,89 36,00 1.113,00 5128
84 57,53 2,00 2,89 36,00 1.126,00 5128
85 57,53 2,00 2,89 36,00 1.139,00 5128
86 57,53 2,00 2,89 36,00 1.152,00 5128
87 57,53 2,00 2,89 36,00 1.165,00 5128
88 57,53 2,00 2,89 36,00 1.178,00 5129
89 57,53 2,00 2,89 36,00 1.191,00 5133
90 57,53 2,00 2,89 94,00 1.204,00 5133
91 57,53 2,00 2,89 94,00 1.217,00 5240
92 57,53 2,00 2,89 94,00 1.230,00 5280
93 57,53 2,00 2,89 94,00 1.243,00 5298
94 57,53 2,00 2,89 94,00 1.256,00 5308
95 57,53 2,00 2,89 94,00 1.269,00 5318
96 57,53 2,00 2,89 94,00 1.282,00 5327
97 57,53 2,00 2,89 94,00 1.295,00 5336
98 57,53 2,00 2,89 94,00 1.308,00 5340
99 57,53 2,00 2,89 94,00 1.321,00 5347
100 57,53 2,00 2,89 94,00 1.334,00 5351
101 57,53 2,00 2,89 94,00 1.347,00 5353
102 57,53 3,98 5,74 94,00 1.360,00 5354
103 57,53 3,98 5,74 94,00 1.373,00 5357
104 57,53 3,98 5,74 94,00 1.386,00 5357
105 57,53 3,98 5,74 94,00 1.399,00 5357
106 57,53 3,98 5,74 94,00 1.412,00 5357
107 57,53 3,98 5,74 94,00 1.425,00 5357
108 57,53 3,98 5,74 94,00 1.438,00 5357
109 57,53 3,98 5,74 94,00 1.451,00 5359
110 57,53 3,69 5,33 94,00 1.464,00 5359
111 57,53 3,69 5,33 94,00 1.477,00 5360
112 57,53 3,69 5,33 94,00 1.490,00 5362
113 57,53 3,69 5,33 94,00 1.503,00 5364
114 57,53 3,69 5,33 94,00 1.516,00 5366
115 57,53 3,69 5,33 94,00 1.529,00 5366
116 57,53 3,69 5,33 94,00 1.542,00 5366
117 57,53 3,69 5,33 94,00 1.555,00 5366
118 57,53 3,69 5,33 94,00 1.568,00 5367
119 57,53 3,42 4,94 94,00 1.581,00 5368
120 57,53 3,42 4,94 43,00 1.594,00 5368
121 57,53 3,42 4,94 43,00 1.607,00 5378
122 57,53 3,42 4,94 43,00 1.620,00 5387
123 57,53 1,51 2,19 43,00 1.633,00 5391
124 57,53 1,51 2,19 43,00 1.646,00 5392
125 57,53 1,51 2,19 43,00 1.659,00 5392
126 57,53 1,51 2,19 43,00 1.672,00 5392
127 57,53 1,51 2,19 43,00 1.685,00 5392
128 57,53 1,51 2,19 43,00 1.698,00 5392
129 57,53 1,51 2,19 43,00 1.711,00 5392
130 57,53 1,51 2,19 43,00 1.724,00 5392
131 57,53 1,51 2,19 43,00 1.737,00 5392
132 57,53 1,51 2,19 43,00 1.750,00 5392
133 57,53 1,51 2,19 43,00 1.763,00 5392
134 57,53 1,51 2,19 43,00 1.776,00 5392
135 57,53 1,38 2,00 43,00 1.789,00 5392
136 57,53 1,38 2,00 43,00 1.802,00 5392
137 57,53 1,38 2,00 43,00 1.815,00 5392
138 57,53 1,35 1,95 43,00 1.828,00 5392
139 57,53 1,34 1,94 43,00 1.841,00 5392
140 57,53 1,34 1,94 43,00 1.854,00 5397
141 57,53 1,32 1,91 43,00 1.867,00 5398
142 57,53 1,32 1,91 43,00 1.880,00 5398
143 57,53 1,32 1,91 43,00 1.893,00 5398
144 57,53 1,32 1,91 43,00 1.906,00 5398
145 57,53 1,32 1,91 43,00 1.919,00 5398
146 57,53 1,32 1,91 43,00 1.932,00 5398
147 57,53 1,32 1,91 43,00 1.945,00 5398
148 57,53 1,32 1,91 43,00 1.958,00 5398
149 57,53 1,32 1,91 43,00 1.971,00 5398
150 57,53 1,32 1,91 107,00 1.984,00 5398
151 57,53 3,08 4,45 107,00 1.997,00 5443
152 57,53 3,06 4,42 107,00 2.010,00 5461
153 57,53 3,06 4,42 107,00 2.023,00 5469
154 57,53 3,06 4,42 107,00 2.036,00 5476
155 57,53 3,06 4,42 107,00 2.049,00 5480
156 57,53 3,06 4,42 107,00 2.062,00 5482
157 57,53 3,06 4,42 107,00 2.075,00 5482
158 57,53 3,06 4,42 107,00 2.088,00 5492
159 57,53 3,06 4,42 107,00 2.101,00 5501
160 57,53 3,06 4,42 107,00 2.114,00 5510
161 57,53 3,06 4,42 107,00 2.127,00 5520
162 57,53 3,06 4,42 107,00 2.140,00 5532
163 57,53 2,86 4,13 107,00 2.153,00 5544
164 57,53 2,86 4,13 107,00 2.166,00 5553
165 57,53 2,86 4,13 107,00 2.179,00 5560
166 57,53 2,86 4,13 107,00 2.192,00 5566
167 57,53 2,86 4,13 107,00 2.205,00 5570
168 57,53 2,86 4,13 107,00 2.218,00 5573
169 57,53 2,86 4,13 107,00 2.231,00 5575
170 57,53 2,86 4,13 107,00 2.244,00 5576
171 57,53 2,86 4,13 107,00 2.257,00 5577
172 57,53 2,86 4,13 107,00 2.270,00 5578
173 57,53 2,86 4,13 107,00 2.283,00 5579
174 57,53 2,86 4,13 107,00 2.296,00 5580
175 57,53 2,86 4,13 107,00 2.309,00 5582
176 57,53 2,65 3,83 107,00 2.322,00 5583
177 57,53 2,65 3,83 107,00 2.335,00 5584
178 57,53 2,65 3,83 107,00 2.348,00 5587
179 57,53 2,65 3,83 107,00 2.361,00 5589
180 57,53 2,65 3,83 71,00 2.374,00 5591
181 57,53 2,65 3,83 71,00 2.387,00 5600
182 57,53 2,65 3,83 71,00 2.400,00 5601
183 57,53 1,69 2,44 71,00 2.413,00 5602
184 57,53 1,69 2,44 71,00 2.426,00 5602
185 57,53 1,69 2,44 71,00 2.439,00 5602
186 57,53 1,69 2,44 71,00 2.452,00 5602
187 57,53 1,69 2,44 71,00 2.465,00 5602
