1000
0 286,53 286,53 286,53 1,00 58,00 0
1 286,53 5,41 5,41 1,00 59,00 1235
2 286,53 5,03 2,69 1,00 63,00 1774
3 286,53 5,03 2,80 1,00 69,00 1865
4 286,53 3,82 2,14 1,00 75,00 1875
5 286,53 3,82 2,13 1,00 81,00 1879
6 286,53 3,82 2,14 1,00 87,00 1881
7 286,53 3,82 2,14 1,00 93,00 1881
8 286,53 3,82 2,14 1,00 99,00 1881
9 286,53 2,73 1,53 1,00 105,00 1881
10 286,53 2,73 1,53 1,00 111,00 1881
11 286,53 2,73 1,53 1,00 117,00 1881
12 286,53 2,73 1,53 1,00 123,00 1881
13 286,53 2,73 1,53 1,00 129,00 1881
14 286,53 2,73 1,53 1,00 135,00 1881
15 286,53 2,73 1,53 1,00 141,00 1881
16 286,53 2,73 1,53 1,00 147,00 1881
17 286,53 2,73 1,53 1,00 153,00 1881
18 286,53 2,73 1,53 1,00 159,00 1881
19 286,53 2,73 1,53 1,00 165,00 1881
20 286,53 2,73 1,53 1,00 171,00 1881
21 286,53 2,73 1,53 1,00 177,00 1881
22 286,53 2,73 1,53 1,00 183,00 1881
23 286,53 1,52 0,85 1,00 189,00 1881
24 286,53 1,52 0,85 1,00 195,00 1881
25 286,53 1,43 0,80 1,00 201,00 1881
26 286,53 1,38 0,78 1,00 207,00 1881
27 286,53 1,38 0,78 1,00 213,00 1881
28 286,53 1,38 0,78 1,00 219,00 1881
29 286,53 1,38 0,78 1,00 225,00 1881
30 286,53 1,24 0,70 99,00 231,00 1881
31 286,53 123,33 69,13 99,00 236,00 2704
32 286,53 120,71 99,47 99,00 241,00 3431
33 286,53 120,71 82,23 99,00 247,00 3821
34 286,53 120,71 88,01 99,00 253,00 4072
35 286,53 120,71 95,02 99,00 259,00 4286
36 286,53 120,71 88,33 99,00 265,00 4405
37 286,53 120,71 92,10 99,00 271,00 4558
38 286,53 120,71 90,52 99,00 277,00 4625
39 286,53 120,71 89,24 99,00 283,00 4666
40 286,53 120,71 87,89 99,00 289,00 4711
41 286,53 120,71 89,07 99,00 295,00 4762
42 286,53 120,71 88,79 99,00 301,00 4795
43 286,53 120,71 86,52 99,00 307,00 4831
44 286,53 120,71 88,55 99,00 313,00 4863
45 286,53 120,71 88,58 99,00 319,00 4893
46 286,53 120,71 88,59 99,00 325,00 4918
47 286,53 120,71 88,69 99,00 331,00 4938
48 286,53 120,71 88,64 99,00 337,00 4953
49 286,53 120,71 88,66 99,00 343,00 4969
50 286,53 120,71 88,67 99,00 349,00 4978
51 286,53 120,71 88,68 99,00 355,00 4991
52 286,53 120,71 88,68 99,00 361,00 5006
53 286,53 120,71 88,68 99,00 367,00 5016
54 286,53 120,71 88,69 99,00 373,00 5027
55 286,53 120,71 88,68 99,00 379,00 5033
56 286,53 120,71 88,68 99,00 385,00 5043
57 286,53 120,71 88,68 99,00 391,00 5047
58 286,53 120,71 88,68 99,00 397,00 5055
59 286,53 120,71 88,68 99,00 403,00 5061
60 286,53 120,71 88,68 1,00 409,00 5068
61 286,53 120,71 88,68 1,00 415,00 5076
62 286,53 120,71 88,69 1,00 421,00 5097
63 286,53 0,67 0,49 1,00 427,00 5110
64 286,53 0,66 0,49 1,00 433,00 5114
65 286,53 0,66 0,49 1,00 439,00 5115
66 286,53 0,64 0,47 1,00 445,00 5118
67 286,53 0,64 0,47 1,00 451,00 5123
68 286,53 0,64 0,47 1,00 457,00 5124
69 286,53 0,64 0,47 1,00 463,00 5125
70 286,53 0,64 0,47 1,00 469,00 5125
71 286,53 0,64 0,47 1,00 475,00 5125
72 286,53 0,64 0,47 1,00 481,00 5125
73 286,53 0,64 0,47 1,00 487,00 5125
74 286,53 0,64 0,47 1,00 493,00 5126
75 286,53 0,64 0,47 1,00 499,00 5126
76 286,53 0,64 0,47 1,00 505,00 5126
77 286,53 0,64 0,47 1,00 511,00 5126
78 286,53 0,64 0,47 1,00 517,00 5127
79 286,53 0,64 0,47 1,00 523,00 5128
80 286,53 0,64 0,47 1,00 529,00 5128
81 286,53 0,64 0,47 1,00 535,00 5128
82 286,53 0,64 0,47 1,00 541,00 5128
83 286,53 0,64 0,47 1,00 547,00 5128
84 286,53 0,64 0,47 1,00 553,00 5128
85 286,53 0,64 0,47 1,00 559,00 5128
86 286,53 0,64 0,47 1,00 565,00 5128
87 286,53 0,64 0,47 1,00 571,00 5128
88 286,53 0,64 0,47 1,00 577,00 5129
89 286,53 0,49 0,36 1,00 583,00 5133
90 286,53 0,49 0,36 99,00 589,00 5133
91 286,53 48,24 35,45 99,00 594,00 5240
92 286,53 48,24 35,44 99,00 600,00 5280
93 286,53 48,24 35,44 99,00 606,00 5298
94 286,53 48,24 35,44 99,00 612,00 5308
95 286,53 48,24 35,44 99,00 618,00 5318
96 286,53 48,24 35,44 99,00 624,00 5327
97 286,53 48,24 35,44 99,00 630,00 5336
98 286,53 48,24 35,44 99,00 636,00 5340
99 286,53 48,24 35,44 99,00 642,00 5347
100 286,53 48,24 35,44 99,00 648,00 5351
101 286,53 48,24 35,44 99,00 654,00 5353
102 286,53 48,24 35,44 99,00 660,00 5354
103 286,53 48,24 35,44 99,00 666,00 5357
104 286,53 48,24 35,44 99,00 672,00 5357
105 286,53 48,24 35,44 99,00 678,00 5357
106 286,53 48,24 35,44 99,00 684,00 5357
107 286,53 48,24 35,44 99,00 690,00 5357
108 286,53 48,24 35,44 99,00 696,00 5357
109 286,53 48,24 35,44 99,00 702,00 5359
110 286,53 40,07 29,44 99,00 708,00 5359
111 286,53 40,07 29,44 99,00 714,00 5360
112 286,53 40,07 29,44 99,00 720,00 5362
113 286,53 40,07 29,44 99,00 726,00 5364
114 286,53 40,07 29,44 99,00 732,00 5366
115 286,53 40,07 29,44 99,00 738,00 5366
116 286,53 40,07 29,44 99,00 744,00 5366
117 286,53 40,07 29,44 99,00 750,00 5366
118 286,53 40,07 29,44 99,00 756,00 5367
119 286,53 40,07 29,44 99,00 762,00 5368
120 286,53 36,94 27,14 1,00 768,00 5368
