500
0 283,91 283,91 283,91 2,00 21,00 0 1
1 283,91 283,91 283,91 1,00 20,00 2034 1
2 283,91 283,91 81,88 1,00 20,00 5373 1
3 283,91 283,91 107,22 3,00 20,00 8224 1
4 283,91 283,91 125,11 1,00 19,00 10634 1
5 283,91 283,91 138,54 1,00 19,00 12916 1
6 283,91 283,91 162,63 3,00 19,00 15418 1
7 283,91 283,91 170,39 1,00 18,00 17536 1
8 283,91 283,91 172,40 1,00 17,00 19639 1
9 283,91 283,91 190,62 1,00 17,00 21808 1
10 283,91 283,91 167,57 1,00 15,00 23907 1
11 283,91 283,91 147,90 1,00 14,00 25930 1
12 283,91 283,91 142,45 1,00 14,00 27892 1
13 283,91 283,91 150,84 1,00 13,00 29850 1
14 283,91 283,91 196,36 1,00 13,00 31599 1
15 283,91 283,91 101,24 1,00 13,00 33497 1
16 283,91 283,91 200,20 1,00 13,00 35789 1
17 283,91 283,91 163,36 1,00 11,00 37955 1
18 283,91 283,91 158,75 1,00 9,00 39952 1
19 283,91 283,91 250,87 1,00 7,00 41766 1
20 283,91 283,91 269,15 1,00 6,00 43660 1
21 283,91 283,91 251,13 1,00 2,00 45373 1
22 283,91 283,91 234,18 1,00 1,00 47124 1
23 283,91 283,91 331,25 1,00 1,00 48807 1
24 283,91 283,91 278,51 1,00 1,00 50463 1
25 283,91 283,91 307,29 1,00 1,00 52047 1
26 283,91 283,91 321,85 1,00 1,00 53795 1
27 283,91 283,91 274,24 1,00 1,00 55520 1
28 283,91 283,91 240,20 1,00 1,00 57190 1
29 283,91 283,91 333,04 1,00 1,00 58778 1
30 283,91 283,91 302,54 1,00 1,00 60394 1
31 283,91 283,91 260,77 1,00 1,00 62105 1
32 283,91 283,91 236,61 1,00 1,00 63934 1
33 283,91 283,91 227,54 1,00 1,00 65556 1
34 283,91 283,91 231,99 1,00 1,00 67081 1
35 283,91 283,91 246,58 1,00 1,00 68549 1
36 283,91 283,91 235,73 1,00 1,00 69881 1
37 283,91 283,91 226,51 1,00 1,00 71145 1
38 283,91 283,91 214,98 1,00 1,00 72579 1
39 283,91 283,91 203,52 1,00 1,00 74208 1
40 283,91 283,91 195,96 1,00 1,00 75718 1
41 283,91 283,91 154,51 1,00 1,00 77166 1
42 283,91 283,91 228,53 1,00 1,00 78878 1
43 283,91 283,91 213,57 1,00 1,00 80555 1
44 283,91 283,91 220,08 1,00 1,00 81773 1
45 283,91 283,91 218,83 1,00 1,00 83109 1
46 283,91 283,91 220,39 1,00 1,00 84434 1
47 283,91 283,91 223,15 1,00 1,00 85600 1
48 283,91 283,91 219,96 1,00 1,00 87143 1
49 283,91 283,91 220,06 1,00 1,00 88485 1
50 283,91 283,91 217,78 1,00 1,00 89667 1
51 283,91 283,91 258,49 1,00 1,00 91101 1
52 283,91 283,91 279,63 1,00 1,00 92490 1
53 283,91 283,91 276,24 1,00 1,00 93718 1
54 283,91 283,91 279,24 1,00 1,00 94913 1
55 283,91 283,91 282,35 1,00 1,00 96246 1
56 283,91 283,91 299,48 1,00 1,00 97603 1
57 283,91 283,91 296,28 1,00 1,00 98885 1
