1000
0 93,76 93,76 93,76 1,00 61,00 0
1 93,76 1,84 1,84 1,00 61,00 1235
2 93,76 1,64 0,88 1,00 67,00 1774
3 93,76 1,64 0,92 1,00 77,00 1865
4 93,76 1,64 0,92 1,00 87,00 1875
5 93,76 1,64 0,92 1,00 97,00 1879
6 93,76 1,64 0,92 1,00 107,00 1881
7 93,76 1,64 0,92 1,00 117,00 1881
8 93,76 1,64 0,92 1,00 127,00 1881
9 93,76 0,68 0,38 1,00 137,00 1881
10 93,76 0,68 0,38 1,00 147,00 1881
11 93,76 0,68 0,38 1,00 157,00 1881
12 93,76 0,68 0,38 1,00 167,00 1881
13 93,76 0,68 0,38 1,00 177,00 1881
14 93,76 0,68 0,38 1,00 187,00 1881
15 93,76 0,68 0,38 1,00 197,00 1881
16 93,76 0,68 0,38 1,00 207,00 1881
17 93,76 0,68 0,38 1,00 217,00 1881
18 93,76 0,68 0,38 1,00 227,00 1881
19 93,76 0,68 0,38 1,00 237,00 1881
20 93,76 0,68 0,38 1,00 247,00 1881
21 93,76 0,68 0,38 1,00 257,00 1881
22 93,76 0,68 0,38 1,00 267,00 1881
23 93,76 0,34 0,19 1,00 277,00 1881
24 93,76 0,34 0,19 1,00 287,00 1881
25 93,76 0,34 0,19 1,00 297,00 1881
26 93,76 0,34 0,19 1,00 307,00 1881
27 93,76 0,34 0,19 1,00 317,00 1881
28 93,76 0,29 0,16 1,00 327,00 1881
29 93,76 0,29 0,16 1,00 337,00 1881
30 93,76 0,29 0,16 99,00 347,00 1881
31 93,76 26,98 15,13 99,00 354,00 2704
32 93,76 26,37 21,73 99,00 362,00 3431
33 93,76 25,78 17,56 99,00 370,00 3821
34 93,76 25,16 18,34 99,00 379,00 4072
35 93,76 24,56 19,33 99,00 388,00 4286
36 93,76 24,56 17,97 99,00 398,00 4405
37 93,76 24,56 18,74 99,00 408,00 4558
38 93,76 24,56 18,42 99,00 418,00 4625
39 93,76 24,56 18,15 99,00 428,00 4666
40 93,76 21,19 15,43 99,00 438,00 4711
41 93,76 21,19 15,64 99,00 448,00 4762
42 93,76 21,19 15,59 99,00 458,00 4795
43 93,76 21,19 15,19 99,00 468,00 4831
44 93,76 21,19 15,55 99,00 478,00 4863
