1000
0 206,73 206,73 206,73 1,00 9,00 0
1 206,73 29,53 29,53 1,00 12,00 1235
2 206,73 29,53 34,42 1,00 12,00 1774
3 206,73 29,53 36,55 1,00 17,00 1865
4 206,73 29,53 36,75 1,00 22,00 1875
5 206,73 29,53 36,75 1,00 27,00 1879
6 206,73 29,53 36,85 1,00 32,00 1881
7 206,73 29,53 36,90 1,00 37,00 1881
8 206,73 29,53 36,90 1,00 42,00 1881
9 206,73 29,53 36,90 1,00 47,00 1881
10 206,73 29,53 36,90 1,00 52,00 1881
11 206,73 29,53 36,90 1,00 57,00 1881
12 206,73 29,53 36,90 1,00 62,00 1881
13 206,73 29,53 36,90 1,00 67,00 1881
14 206,73 29,53 36,90 1,00 72,00 1881
15 206,73 29,53 36,90 1,00 77,00 1881
16 206,73 29,53 36,90 1,00 82,00 1881
17 206,73 29,53 36,90 1,00 87,00 1881
18 206,73 29,53 36,90 1,00 92,00 1881
19 206,73 29,53 36,90 1,00 97,00 1881
20 206,73 29,53 36,90 1,00 102,00 1881
21 206,73 29,53 36,90 1,00 107,00 1881
22 206,73 1,85 2,31 1,00 112,00 1881
23 206,73 1,77 2,21 1,00 117,00 1881
24 206,73 1,77 2,21 1,00 122,00 1881
25 206,73 1,77 2,21 1,00 127,00 1881
26 206,73 1,77 2,21 1,00 132,00 1881
27 206,73 1,77 2,21 1,00 137,00 1881
28 206,73 1,77 2,21 1,00 142,00 1881
29 206,73 1,77 2,21 1,00 147,00 1881
30 206,73 1,77 2,21 97,00 152,00 1881
31 206,73 132,80 165,92 97,00 156,00 2704
32 206,73 130,21 123,65 97,00 159,00 3431
33 206,73 127,73 131,35 97,00 162,00 3821
34 206,73 124,55 128,35 97,00 166,00 4072
35 206,73 121,53 133,05 97,00 170,00 4286
36 206,73 121,53 128,33 97,00 175,00 4405
37 206,73 121,53 129,46 97,00 180,00 4558
38 206,73 121,53 132,17 97,00 185,00 4625
39 206,73 121,53 129,74 97,00 190,00 4666
40 206,73 121,53 129,26 97,00 195,00 4711
41 206,73 121,53 130,59 97,00 200,00 4762
42 206,73 121,53 132,07 97,00 205,00 4795
43 206,73 121,53 128,66 97,00 210,00 4831
44 206,73 121,53 131,65 97,00 215,00 4863
45 206,73 91,15 98,74 97,00 220,00 4893
46 206,73 91,15 98,74 97,00 225,00 4918
47 206,73 91,15 98,74 97,00 230,00 4938
48 206,73 91,15 98,74 97,00 235,00 4953
49 206,73 91,15 98,74 97,00 240,00 4969
50 206,73 81,85 88,65 97,00 245,00 4978
51 206,73 81,85 88,65 97,00 250,00 4991
52 206,73 81,85 88,65 97,00 255,00 5006
53 206,73 81,85 88,65 97,00 260,00 5016
54 206,73 81,85 88,65 97,00 265,00 5027
55 206,73 81,85 88,65 97,00 270,00 5033
56 206,73 81,85 88,63 97,00 275,00 5043
57 206,73 81,85 88,63 97,00 280,00 5047
58 206,73 81,85 88,63 97,00 285,00 5055
59 206,73 81,85 88,63 97,00 290,00 5061
60 206,73 81,85 88,63 1,00 295,00 5068
61 206,73 81,85 88,63 1,00 300,00 5076
62 206,73 81,85 88,65 1,00 305,00 5097
63 206,73 81,85 88,64 1,00 310,00 5110
64 206,73 81,85 88,64 1,00 315,00 5114
65 206,73 81,85 88,64 1,00 320,00 5115
66 206,73 81,85 88,62 1,00 325,00 5118
67 206,73 81,85 88,63 1,00 330,00 5123
68 206,73 81,85 88,64 1,00 335,00 5124
69 206,73 81,85 88,64 1,00 340,00 5125
70 206,73 81,85 88,64 1,00 345,00 5125
71 206,73 81,85 88,64 1,00 350,00 5125
72 206,73 81,85 88,64 1,00 355,00 5125
73 206,73 81,85 88,64 1,00 360,00 5125
74 206,73 81,85 88,64 1,00 365,00 5126
75 206,73 81,85 88,64 1,00 370,00 5126
76 206,73 81,85 88,64 1,00 375,00 5126
77 206,73 81,85 88,64 1,00 380,00 5126
78 206,73 81,85 88,64 1,00 385,00 5127
79 206,73 81,85 88,64 1,00 390,00 5128
80 206,73 81,85 88,64 1,00 395,00 5128
81 206,73 81,85 88,64 1,00 400,00 5128
82 206,73 81,85 88,64 1,00 405,00 5128
83 206,73 81,85 88,64 1,00 410,00 5128
84 206,73 81,85 88,64 1,00 415,00 5128
85 206,73 81,85 88,64 1,00 420,00 5128
86 206,73 81,85 88,64 1,00 425,00 5128
87 206,73 81,85 88,64 1,00 430,00 5128
88 206,73 81,85 88,64 1,00 435,00 5129
89 206,73 81,85 88,63 1,00 440,00 5133
90 206,73 81,85 88,63 1,00 445,00 5133
91 206,73 81,85 88,63 1,00 450,00 5240
92 206,73 81,85 88,62 1,00 455,00 5280
93 206,73 81,85 88,60 1,00 460,00 5298
94 206,73 81,85 88,63 1,00 465,00 5308
95 206,73 81,85 88,61 1,00 470,00 5318
96 206,73 81,85 88,62 1,00 475,00 5327
97 206,73 81,85 88,62 1,00 480,00 5336
98 206,73 81,85 88,62 1,00 485,00 5340
99 206,73 81,85 88,62 1,00 490,00 5347
100 206,73 81,85 88,62 1,00 495,00 5351
101 206,73 81,85 88,62 1,00 500,00 5353
102 206,73 81,85 88,62 1,00 505,00 5354
103 206,73 81,85 88,62 1,00 510,00 5357
104 206,73 81,85 88,62 1,00 515,00 5357
