1000
0 86,63 86,63 86,63 1,00 69,00 0
1 86,63 2,63 2,63 1,00 47,00 1235
2 86,63 2,48 1,02 1,00 49,00 1774
3 86,63 1,84 0,78 1,00 61,00 1865
4 86,63 1,84 0,78 1,00 75,00 1875
5 86,63 1,84 0,78 1,00 89,00 1879
6 86,63 0,84 0,36 1,00 103,00 1881
7 86,63 0,74 0,31 1,00 117,00 1881
8 86,63 0,74 0,31 1,00 131,00 1881
9 86,63 0,74 0,31 1,00 145,00 1881
10 86,63 0,54 0,23 1,00 159,00 1881
11 86,63 0,54 0,23 1,00 173,00 1881
12 86,63 0,54 0,23 1,00 187,00 1881
13 86,63 0,54 0,23 1,00 201,00 1881
14 86,63 0,40 0,17 1,00 215,00 1881
15 86,63 0,40 0,17 1,00 229,00 1881
16 86,63 0,40 0,17 1,00 243,00 1881
17 86,63 0,40 0,17 1,00 257,00 1881
18 86,63 0,40 0,17 1,00 271,00 1881
19 86,63 0,30 0,13 1,00 285,00 1881
20 86,63 0,30 0,13 1,00 299,00 1881
21 86,63 0,30 0,13 1,00 313,00 1881
22 86,63 0,30 0,13 1,00 327,00 1881
23 86,63 0,30 0,13 1,00 341,00 1881
24 86,63 0,30 0,13 1,00 355,00 1881
25 86,63 0,30 0,13 1,00 369,00 1881
26 86,63 0,30 0,13 1,00 383,00 1881
27 86,63 0,30 0,13 1,00 397,00 1881
28 86,63 0,21 0,09 1,00 411,00 1881
29 86,63 0,21 0,09 1,00 425,00 1881
30 86,63 0,21 0,09 99,00 439,00 1881
31 86,63 19,67 8,37 99,00 450,00 2704
32 86,63 19,10 7,45 99,00 463,00 3431
33 86,63 18,56 7,30 99,00 476,00 3821
34 86,63 18,56 7,60 99,00 490,00 4072
35 86,63 17,54 7,61 99,00 503,00 4286
36 86,63 17,54 7,33 99,00 517,00 4405
37 86,63 17,54 7,39 99,00 531,00 4558
38 86,63 17,54 7,56 99,00 545,00 4625
39 86,63 17,54 7,41 99,00 559,00 4666
40 86,63 17,54 7,38 99,00 573,00 4711
41 86,63 14,61 6,21 99,00 587,00 4762
42 86,63 14,27 6,14 99,00 601,00 4795
43 86,63 14,27 5,98 99,00 615,00 4831
44 86,63 13,63 5,84 99,00 629,00 4863
45 86,63 13,63 5,84 99,00 643,00 4893
46 86,63 13,63 5,84 99,00 657,00 4918
47 86,63 12,78 5,47 99,00 671,00 4938
48 86,63 12,78 5,47 99,00 685,00 4953
49 86,63 12,78 5,46 99,00 699,00 4969
50 86,63 12,03 5,14 99,00 713,00 4978
51 86,63 12,03 5,13 99,00 727,00 4991
52 86,63 12,03 5,13 99,00 741,00 5006
53 86,63 12,03 5,13 99,00 755,00 5016
54 86,63 12,03 5,13 99,00 769,00 5027
55 86,63 12,03 5,12 99,00 783,00 5033
56 86,63 12,03 5,12 99,00 797,00 5043
57 86,63 12,03 5,12 99,00 811,00 5047
58 86,63 12,03 5,11 99,00 825,00 5055
59 86,63 12,03 5,11 99,00 839,00 5061
60 86,63 12,03 5,10 22,00 853,00 5068
61 86,63 12,03 5,10 22,00 867,00 5076
