1000
0 25,77 25,77 25,77 1,00 82,00 0
1 25,77 0,52 0,52 1,00 52,00 1235
2 25,77 0,64 0,48 1,00 42,00 1774
3 25,77 0,60 0,46 1,00 43,00 1865
4 25,77 0,60 0,47 1,00 45,00 1875
5 25,77 0,60 0,47 1,00 47,00 1879
6 25,77 0,60 0,47 1,00 49,00 1881
7 25,77 0,60 0,48 1,00 51,00 1881
8 25,77 0,60 0,48 1,00 53,00 1881
9 25,77 0,47 0,37 1,00 55,00 1881
10 25,77 0,47 0,37 1,00 57,00 1881
11 25,77 0,47 0,37 1,00 59,00 1881
12 25,77 0,47 0,37 1,00 61,00 1881
13 25,77 0,47 0,37 1,00 63,00 1881
14 25,77 0,47 0,37 1,00 65,00 1881
15 25,77 0,47 0,37 1,00 67,00 1881
16 25,77 0,47 0,37 1,00 69,00 1881
17 25,77 0,47 0,37 1,00 71,00 1881
18 25,77 0,35 0,28 1,00 73,00 1881
19 25,77 0,35 0,28 1,00 75,00 1881
20 25,77 0,35 0,28 1,00 77,00 1881
21 25,77 0,35 0,28 1,00 79,00 1881
22 25,77 0,35 0,28 1,00 81,00 1881
23 25,77 0,31 0,25 1,00 83,00 1881
24 25,77 0,31 0,25 1,00 85,00 1881
25 25,77 0,31 0,25 1,00 87,00 1881
26 25,77 0,29 0,23 1,00 89,00 1881
27 25,77 0,29 0,23 1,00 91,00 1881
28 25,77 0,28 0,22 1,00 93,00 1881
29 25,77 0,28 0,22 1,00 95,00 1881
30 25,77 0,28 0,22 99,00 97,00 1881
31 25,77 26,57 21,16 99,00 98,00 2704
32 25,77 26,30 23,25 99,00 99,00 3431
33 25,77 26,30 24,07 99,00 101,00 3821
34 25,77 26,30 26,57 99,00 103,00 4072
35 25,77 26,30 28,25 99,00 105,00 4286
36 25,77 26,30 27,46 99,00 107,00 4405
37 25,77 26,30 27,30 99,00 109,00 4558
38 25,77 26,30 28,16 99,00 111,00 4625
39 25,77 26,30 27,85 99,00 113,00 4666
40 25,77 26,30 27,77 99,00 115,00 4711
41 25,77 26,30 28,13 99,00 117,00 4762
42 25,77 26,30 28,50 99,00 119,00 4795
43 25,77 26,30 27,82 99,00 121,00 4831
44 25,77 26,30 28,48 99,00 123,00 4863
45 25,77 26,30 28,48 99,00 125,00 4893
46 25,77 26,30 28,48 99,00 127,00 4918
47 25,77 19,77 21,42 99,00 129,00 4938
48 25,77 19,77 21,42 99,00 131,00 4953
49 25,77 19,77 21,42 99,00 133,00 4969
50 25,77 19,77 21,42 99,00 135,00 4978
51 25,77 19,77 21,42 99,00 137,00 4991
52 25,77 18,35 19,88 99,00 139,00 5006
53 25,77 18,35 19,87 99,00 141,00 5016
54 25,77 18,35 19,87 99,00 143,00 5027
55 25,77 18,35 19,87 99,00 145,00 5033
56 25,77 18,35 19,87 99,00 147,00 5043
57 25,77 18,35 19,87 99,00 149,00 5047
58 25,77 18,35 19,87 99,00 151,00 5055
59 25,77 18,35 19,87 99,00 153,00 5061
60 25,77 18,35 19,87 1,00 155,00 5068
61 25,77 18,35 19,87 1,00 157,00 5076
62 25,77 18,35 19,87 1,00 159,00 5097
