1000
0 106,00 106,00 106,00 1,00 91,00 0
1 106,00 1,20 1,20 1,00 92,00 1235
2 106,00 1,16 1,16 1,00 95,00 1774
3 106,00 1,16 1,16 1,00 99,00 1865
4 106,00 1,16 1,16 1,00 103,00 1875
5 106,00 1,16 1,16 1,00 107,00 1879
6 106,00 1,16 1,16 1,00 111,00 1881
7 106,00 1,16 1,16 1,00 115,00 1881
8 106,00 1,16 1,16 1,00 119,00 1881
9 106,00 1,16 1,16 1,00 123,00 1881
10 106,00 1,16 1,16 1,00 127,00 1881
11 106,00 1,16 1,16 1,00 131,00 1881
12 106,00 1,16 1,16 1,00 135,00 1881
13 106,00 1,16 1,16 1,00 139,00 1881
14 106,00 1,16 1,16 1,00 143,00 1881
15 106,00 0,72 0,72 1,00 147,00 1881
16 106,00 0,72 0,72 1,00 151,00 1881
17 106,00 0,68 0,68 1,00 155,00 1881
18 106,00 0,68 0,68 1,00 159,00 1881
19 106,00 0,65 0,65 1,00 163,00 1881
20 106,00 0,65 0,65 1,00 167,00 1881
21 106,00 0,65 0,65 1,00 171,00 1881
22 106,00 0,65 0,65 1,00 175,00 1881
23 106,00 0,65 0,65 1,00 179,00 1881
24 106,00 0,65 0,65 1,00 183,00 1881
25 106,00 0,57 0,57 1,00 187,00 1881
26 106,00 0,57 0,57 1,00 191,00 1881
27 106,00 0,57 0,57 1,00 195,00 1881
28 106,00 0,57 0,57 1,00 199,00 1881
29 106,00 0,52 0,52 1,00 203,00 1881
30 106,00 0,52 0,52 99,00 207,00 1881
31 106,00 50,94 50,94 99,00 210,00 2704
32 106,00 50,94 50,94 99,00 214,00 3431
33 106,00 50,94 50,94 99,00 218,00 3821
34 106,00 50,94 50,94 99,00 222,00 4072
35 106,00 50,94 50,94 99,00 226,00 4286
36 106,00 50,94 50,94 99,00 230,00 4405
37 106,00 50,94 50,94 99,00 234,00 4558
38 106,00 50,94 50,94 99,00 238,00 4625
39 106,00 43,36 43,36 99,00 242,00 4666
40 106,00 43,36 43,36 99,00 246,00 4711
41 106,00 43,36 43,36 99,00 250,00 4762
42 106,00 43,36 43,36 99,00 254,00 4795
43 106,00 43,36 43,36 99,00 258,00 4831
44 106,00 43,36 43,36 99,00 262,00 4863
45 106,00 43,36 43,36 99,00 266,00 4893
46 106,00 43,36 43,36 99,00 270,00 4918
47 106,00 43,36 43,36 99,00 274,00 4938
48 106,00 43,36 43,36 99,00 278,00 4953
49 106,00 43,36 43,36 99,00 282,00 4969
50 106,00 43,36 43,36 99,00 286,00 4978
51 106,00 43,36 43,36 99,00 290,00 4991
52 106,00 43,36 43,36 99,00 294,00 5006
53 106,00 43,36 43,36 99,00 298,00 5016
54 106,00 43,36 43,36 99,00 302,00 5027
55 106,00 43,36 43,36 99,00 306,00 5033
56 106,00 33,85 33,85 99,00 310,00 5043
57 106,00 33,85 33,85 99,00 314,00 5047
58 106,00 33,85 33,85 99,00 318,00 5055
59 106,00 33,85 33,85 99,00 322,00 5061
60 106,00 33,85 33,85 1,00 326,00 5068
61 106,00 33,85 33,85 1,00 330,00 5076
62 106,00 33,85 33,85 1,00 334,00 5097
63 106,00 33,85 33,85 1,00 338,00 5110
64 106,00 33,85 33,85 1,00 342,00 5114
65 106,00 33,85 33,85 1,00 346,00 5115
66 106,00 33,85 33,85 1,00 350,00 5118
67 106,00 33,85 33,85 1,00 354,00 5123
68 106,00 33,85 33,85 1,00 358,00 5124
69 106,00 33,85 33,85 1,00 362,00 5125
70 106,00 33,85 33,85 1,00 366,00 5125
71 106,00 33,85 33,85 1,00 370,00 5125
72 106,00 33,85 33,85 1,00 374,00 5125
73 106,00 33,85 33,85 1,00 378,00 5125
74 106,00 33,85 33,85 1,00 382,00 5126
75 106,00 33,85 33,85 1,00 386,00 5126
76 106,00 33,85 33,85 1,00 390,00 5126
77 106,00 33,85 33,85 1,00 394,00 5126
78 106,00 33,85 33,85 1,00 398,00 5127
79 106,00 33,85 33,85 1,00 402,00 5128
80 106,00 33,85 33,85 1,00 406,00 5128
81 106,00 33,85 33,85 1,00 410,00 5128
82 106,00 33,85 33,85 1,00 414,00 5128
83 106,00 33,85 33,85 1,00 418,00 5128
84 106,00 33,85 33,85 1,00 422,00 5128
85 106,00 33,85 33,85 1,00 426,00 5128
86 106,00 33,85 33,85 1,00 430,00 5128
87 106,00 33,85 33,85 1,00 434,00 5128
88 106,00 33,85 33,85 1,00 438,00 5129
89 106,00 33,85 33,85 1,00 442,00 5133
