500
0 281,40 281,40 281,40 1,00 58,00
1 281,40 0,00 0,00 1,00 55,00
2 281,40 281,40 301,04 99,00 56,00
3 281,40 0,00 0,00 1,00 58,00
4 281,40 281,40 252,50 99,00 59,00
5 281,40 0,00 0,00 1,00 61,00
6 281,40 281,40 268,06 99,00 62,00
7 281,40 0,00 0,00 1,00 64,00
8 281,40 281,40 252,22 99,00 65,00
9 281,40 0,00 0,00 1,00 67,00
10 281,40 281,40 258,21 99,00 68,00
11 281,40 0,00 0,00 1,00 70,00
12 281,40 281,40 254,43 99,00 71,00
13 281,40 0,00 0,00 1,00 73,00
14 281,40 281,40 255,91 99,00 74,00
15 281,40 0,00 0,00 1,00 76,00
16 281,40 281,40 254,97 99,00 77,00
17 281,40 0,00 0,00 1,00 79,00
18 281,40 281,40 253,50 99,00 80,00
19 281,40 0,00 0,00 1,00 82,00
20 281,40 281,40 253,58 99,00 83,00
21 281,40 0,00 0,00 1,00 85,00
22 281,40 281,40 252,65 99,00 86,00
23 281,40 0,00 0,00 1,00 88,00
24 281,40 281,40 252,27 99,00 89,00
25 281,40 0,00 0,00 1,00 91,00
26 281,40 281,40 251,56 99,00 92,00
27 281,40 0,00 0,00 1,00 94,00
28 281,40 281,40 251,27 99,00 95,00
29 281,40 0,00 0,00 1,00 97,00
30 281,40 281,40 250,54 99,00 98,00
31 281,40 0,00 0,00 1,00 100,00
32 281,40 0,00 0,00 99,00 101,00
33 281,40 281,40 249,66 197,00 102,00
34 281,40 0,00 0,00 97,00 104,00
35 281,40 281,40 249,15 195,00 105,00
36 281,40 0,00 0,00 95,00 107,00
37 281,40 281,40 248,69 193,00 108,00
38 281,40 0,00 0,00 93,00 110,00
39 281,40 281,40 248,16 191,00 111,00
40 281,40 0,00 0,00 91,00 113,00
41 281,40 281,40 247,64 189,00 114,00
42 281,40 0,00 0,00 89,00 116,00
43 281,40 281,40 247,13 187,00 117,00
44 281,40 0,00 0,00 87,00 119,00
45 281,40 281,40 246,60 185,00 120,00
46 281,40 0,00 0,00 85,00 122,00
47 281,40 281,40 246,04 183,00 123,00
48 281,40 0,00 0,00 83,00 125,00
49 281,40 281,40 245,49 181,00 126,00
50 281,40 0,00 0,00 81,00 128,00
51 281,40 281,40 244,97 179,00 129,00
52 281,40 0,00 0,00 79,00 131,00
53 281,40 281,40 244,44 177,00 132,00
54 281,40 0,00 0,00 77,00 134,00
55 281,40 281,40 243,91 175,00 135,00
56 281,40 0,00 0,00 75,00 137,00
57 281,40 281,40 243,39 173,00 138,00
58 281,40 0,00 0,00 73,00 140,00
59 281,40 281,40 242,88 171,00 141,00
60 281,40 0,00 0,00 71,00 143,00
61 281,40 281,40 242,36 169,00 144,00
62 281,40 0,00 0,00 69,00 146,00
63 281,40 281,40 241,81 167,00 147,00
64 281,40 0,00 0,00 67,00 149,00
65 281,40 281,40 241,26 165,00 150,00
66 281,40 0,00 0,00 65,00 152,00
67 281,40 281,40 240,74 163,00 153,00
68 281,40 0,00 0,00 63,00 155,00
69 281,40 281,40 240,24 161,00 156,00
70 281,40 0,00 0,00 61,00 158,00
71 281,40 281,40 239,73 159,00 159,00
72 281,40 0,00 0,00 59,00 161,00
73 281,40 0,00 0,00 157,00 159,00
74 281,40 281,40 238,93 255,00 160,00
75 281,40 0,00 0,00 155,00 162,00
76 281,40 281,40 238,42 253,00 163,00
77 281,40 0,00 0,00 153,00 165,00
78 281,40 281,40 237,91 251,00 166,00
79 281,40 0,00 0,00 151,00 168,00
80 281,40 281,40 237,44 249,00 169,00
81 281,40 0,00 0,00 149,00 171,00
82 281,40 281,40 236,97 247,00 172,00
83 281,40 0,00 0,00 147,00 174,00
84 281,40 281,40 236,49 245,00 175,00
85 281,40 0,00 0,00 145,00 177,00
86 281,40 281,40 236,02 243,00 178,00
87 281,40 0,00 0,00 143,00 180,00
88 281,40 281,40 235,55 241,00 181,00
89 281,40 0,00 0,00 141,00 183,00
90 281,40 281,40 235,06 239,00 184,00
91 281,40 0,00 0,00 139,00 186,00
92 281,40 281,40 234,58 237,00 187,00
93 281,40 0,00 0,00 137,00 189,00
94 281,40 281,40 234,14 235,00 190,00
95 281,40 0,00 0,00 135,00 192,00
96 281,40 281,40 233,71 233,00 193,00
97 281,40 0,00 0,00 133,00 195,00
98 281,40 281,40 233,23 231,00 196,00
99 281,40 0,00 0,00 131,00 198,00
100 281,40 281,40 232,78 229,00 199,00
101 281,40 0,00 0,00 129,00 201,00
102 281,40 281,40 232,34 227,00 202,00
103 281,40 0,00 0,00 127,00 204,00
104 281,40 281,40 231,91 225,00 205,00
105 281,40 0,00 0,00 125,00 207,00
106 281,40 281,40 231,48 223,00 208,00
107 281,40 0,00 0,00 123,00 210,00
108 281,40 281,40 231,06 221,00 211,00
109 281,40 0,00 0,00 121,00 213,00
110 281,40 281,40 230,62 219,00 214,00
111 281,40 0,00 0,00 119,00 216,00
112 281,40 281,40 230,20 217,00 217,00
113 281,40 0,00 0,00 117,00 219,00
114 281,40 0,00 0,00 215,00 217,00
115 281,40 281,40 229,57 313,00 218,00
116 281,40 0,00 0,00 213,00 220,00
117 281,40 281,40 229,14 311,00 221,00
118 281,40 0,00 0,00 211,00 223,00
119 281,40 281,40 228,73 309,00 224,00
120 281,40 0,00 0,00 209,00 226,00
121 281,40 281,40 228,30 307,00 227,00
122 281,40 0,00 0,00 207,00 229,00
123 281,40 281,40 227,90 305,00 230,00
124 281,40 0,00 0,00 205,00 232,00
125 281,40 281,40 227,50 303,00 233,00
126 281,40 0,00 0,00 203,00 235,00
127 281,40 281,40 227,13 301,00 236,00
128 281,40 0,00 0,00 201,00 238,00
129 281,40 281,40 226,77 299,00 239,00
130 281,40 0,00 0,00 199,00 241,00
131 281,40 281,40 226,42 297,00 242,00
132 281,40 0,00 0,00 197,00 244,00
133 281,40 281,40 226,06 295,00 245,00
134 281,40 0,00 0,00 195,00 247,00
135 281,40 281,40 225,73 293,00 248,00
136 281,40 0,00 0,00 193,00 250,00
137 281,40 281,40 225,39 291,00 251,00
138 281,40 0,00 0,00 191,00 253,00
139 281,40 281,40 225,06 289,00 254,00
140 281,40 0,00 0,00 189,00 256,00
141 281,40 281,40 224,74 287,00 257,00
142 281,40 0,00 0,00 187,00 259,00
143 281,40 281,40 224,42 285,00 260,00
144 281,40 0,00 0,00 185,00 262,00
145 281,40 281,40 224,10 283,00 263,00
146 281,40 0,00 0,00 183,00 265,00
147 281,40 281,40 223,80 281,00 266,00
148 281,40 0,00 0,00 181,00 268,00
149 281,40 281,40 223,51 279,00 269,00
150 281,40 0,00 0,00 179,00 271,00
151 281,40 281,40 223,22 277,00 272,00
152 281,40 0,00 0,00 177,00 274,00
153 281,40 281,40 222,92 275,00 275,00
154 281,40 0,00 0,00 175,00 277,00
155 281,40 0,00 0,00 273,00 275,00
156 281,40 281,40 222,49 371,00 276,00
157 281,40 0,00 0,00 271,00 278,00
158 281,40 281,40 222,20 369,00 279,00
159 281,40 0,00 0,00 269,00 281,00
160 281,40 281,40 221,91 367,00 282,00
161 281,40 0,00 0,00 267,00 284,00
162 281,40 281,40 221,64 365,00 285,00
163 281,40 0,00 0,00 265,00 287,00
164 281,40 281,40 221,38 363,00 288,00
165 281,40 0,00 0,00 263,00 290,00
166 281,40 281,40 221,11 361,00 291,00
167 281,40 0,00 0,00 261,00 293,00
168 281,40 281,40 220,84 359,00 294,00
169 281,40 0,00 0,00 259,00 296,00
170 281,40 281,40 220,58 357,00 297,00
171 281,40 0,00 0,00 257,00 299,00
172 281,40 281,40 220,33 355,00 300,00
173 281,40 0,00 0,00 255,00 302,00
174 281,40 281,40 220,08 353,00 303,00
175 281,40 0,00 0,00 253,00 305,00
176 281,40 281,40 219,84 351,00 306,00
177 281,40 0,00 0,00 251,00 308,00
