1000
0 320,88 320,88 320,88 1,00 45,00 0
1 320,88 5,53 5,53 1,00 58,00 1235
2 320,88 5,83 2,84 1,00 73,00 1774
3 320,88 5,83 3,00 1,00 91,00 1865
4 320,88 5,83 3,02 1,00 109,00 1875
5 320,88 5,83 3,02 1,00 127,00 1879
6 320,88 2,21 1,15 1,00 145,00 1881
7 320,88 2,21 1,15 1,00 163,00 1881
8 320,88 2,21 1,15 1,00 181,00 1881
9 320,88 2,21 1,15 1,00 199,00 1881
10 320,88 2,21 1,15 1,00 217,00 1881
11 320,88 2,21 1,15 1,00 235,00 1881
12 320,88 2,21 1,15 1,00 253,00 1881
13 320,88 2,21 1,15 1,00 271,00 1881
14 320,88 2,21 1,15 1,00 289,00 1881
15 320,88 2,21 1,15 1,00 307,00 1881
16 320,88 2,21 1,15 1,00 325,00 1881
17 320,88 2,21 1,15 1,00 343,00 1881
18 320,88 2,21 1,15 1,00 361,00 1881
19 320,88 2,21 1,15 1,00 379,00 1881
20 320,88 2,21 1,15 1,00 397,00 1881
21 320,88 2,21 1,15 1,00 415,00 1881
22 320,88 2,21 1,15 1,00 433,00 1881
23 320,88 2,21 1,15 1,00 451,00 1881
24 320,88 2,21 1,15 1,00 469,00 1881
25 320,88 2,21 1,15 1,00 487,00 1881
26 320,88 2,21 1,15 1,00 505,00 1881
27 320,88 2,21 1,15 1,00 523,00 1881
28 320,88 2,21 1,15 1,00 541,00 1881
29 320,88 2,21 1,15 1,00 559,00 1881
30 320,88 2,21 1,15 97,00 577,00 1881
31 320,88 54,22 28,16 97,00 592,00 2704
32 320,88 52,84 25,17 97,00 607,00 3431
33 320,88 51,45 25,12 97,00 623,00 3821
34 320,88 50,04 25,34 97,00 640,00 4072
35 320,88 48,71 26,01 97,00 657,00 4286
36 320,88 48,71 25,24 97,00 675,00 4405
37 320,88 48,71 25,37 97,00 693,00 4558
38 320,88 48,71 26,16 97,00 711,00 4625
39 320,88 48,71 25,46 97,00 729,00 4666
40 320,88 48,71 25,36 97,00 747,00 4711
41 320,88 48,71 25,62 97,00 765,00 4762
42 320,88 48,71 25,95 97,00 783,00 4795
43 320,88 48,71 25,26 97,00 801,00 4831
44 320,88 48,71 25,88 97,00 819,00 4863
45 320,88 48,71 25,83 97,00 837,00 4893
46 320,88 36,40 19,30 97,00 855,00 4918
47 320,88 36,40 19,31 97,00 873,00 4938
48 320,88 36,40 19,30 97,00 891,00 4953
49 320,88 36,40 19,28 97,00 909,00 4969
