500
0 6,28 6,28 6,28 8,00 66,00 0 1
1 6,28 6,28 6,28 9,00 24,00 2034 1
2 6,28 6,28 3,64 3,00 12,00 5373 1
3 6,28 6,28 5,10 3,00 6,00 8224 1
4 6,28 6,28 6,89 1,00 6,00 10634 1
5 6,28 6,28 7,71 3,00 1,00 12916 1
6 6,28 6,28 10,08 3,00 6,00 15418 1
7 6,28 6,28 12,14 1,00 6,00 17536 1
8 6,28 6,28 14,30 1,00 1,00 19639 1
9 6,28 6,28 17,24 1,00 1,00 21808 1
10 6,28 6,28 16,73 1,00 1,00 23907 1
11 6,28 6,28 17,88 1,00 1,00 25930 1
12 6,28 6,28 17,01 1,00 1,00 27892 1
13 6,28 6,28 18,08 1,00 1,00 29850 1
14 6,28 6,28 22,59 2,00 1,00 31599 1
15 6,28 6,28 10,71 2,00 6,00 33497 1
16 6,28 6,28 19,64 1,00 6,00 35789 1
17 6,28 6,28 17,02 2,00 1,00 37955 1
18 6,28 6,28 14,84 2,00 6,00 39952 1
19 6,28 2,09 4,15 48,00 6,00 41766 1
20 6,28 2,09 4,23 102,00 6,00 43660 1
21 6,28 2,09 3,64 138,00 6,00 45373 1
22 6,28 2,09 2,89 180,00 6,00 47124 1
23 6,28 2,09 3,16 228,00 6,00 48807 1
24 6,28 2,09 2,97 258,00 6,00 50463 1
25 6,28 2,09 2,65 266,00 6,00 52047 1
26 6,28 2,09 2,26 280,00 6,00 53795 1
27 6,28 2,09 1,90 318,00 6,00 55520 1
28 6,28 2,09 1,71 346,00 6,00 57190 1
29 6,28 2,09 2,18 368,00 6,00 58778 1
30 6,28 2,09 2,56 394,00 6,00 60394 1
31 6,28 412,51 466,74 204,00 6,00 62105 1
32 6,28 412,51 399,53 10,00 10,00 63934 1
33 6,28 412,51 401,70 1,00 10,00 65556 1
34 6,28 412,51 423,06 1,00 10,00 67081 1
35 6,28 412,51 444,13 1,00 10,00 68549 1
36 6,28 412,51 444,91 1,00 10,00 69881 1
37 6,28 412,51 438,81 1,00 10,00 71145 1
38 6,28 0,70 0,75 125,00 9,00 72579 1
39 6,28 0,70 0,73 241,00 6,00 74208 1
40 6,28 0,70 0,71 345,00 6,00 75718 1
41 6,28 0,70 0,55 457,00 6,00 77166 1
42 6,28 478,47 485,17 257,00 6,00 78878 1
43 6,28 146,77 143,93 61,00 11,00 80555 1
44 6,28 146,77 141,94 1,00 15,00 81773 1
45 6,28 146,77 139,26 1,00 15,00 83109 1
46 6,28 146,77 137,93 1,00 14,00 84434 1
47 6,28 146,77 134,90 1,00 14,00 85600 1
48 6,28 146,77 133,23 1,00 10,00 87143 1
49 6,28 146,77 131,57 1,00 7,00 88485 1
50 6,28 146,77 128,86 1,00 6,00 89667 1
51 6,28 146,77 151,68 1,00 4,00 91101 1
52 6,28 146,77 155,44 1,00 1,00 92490 1
53 6,28 146,77 151,85 1,00 1,00 93718 1
54 6,28 146,77 148,48 1,00 1,00 94913 1
55 6,28 146,77 147,23 1,00 1,00 96246 1
56 6,28 146,77 147,10 1,00 1,00 97603 1
57 6,28 6,28 6,09 1,00 1,00 98885 1
58 6,28 6,28 6,16 1,00 1,00 100402 1
59 6,28 6,28 5,98 1,00 1,00 101741 1
60 6,28 6,28 5,94 1,00 1,00 103074 1
61 6,28 6,28 5,87 1,00 1,00 104418 1
62 6,28 6,28 5,75 1,00 1,00 105536 1
63 6,28 6,28 5,66 1,00 1,00 106810 1
64 6,28 6,28 5,52 1,00 1,00 108412 1
65 6,28 6,28 5,39 1,00 1,00 110148 1
66 6,28 6,28 5,44 1,00 1,00 111691 1
67 6,28 6,28 5,38 1,00 1,00 113010 1
68 6,28 6,28 5,12 1,00 1,00 114244 1
69 6,28 6,28 5,29 1,00 1,00 115821 1
70 6,28 6,28 5,09 1,00 1,00 117266 1
71 6,28 6,28 4,97 1,00 1,00 118561 1
72 6,28 6,28 5,00 1,00 1,00 120013 1
73 6,28 6,28 4,96 1,00 1,00 121298 1
74 6,28 6,28 4,89 1,00 1,00 122549 1
75 6,28 6,28 4,82 1,00 1,00 123751 1
76 6,28 6,28 4,73 1,00 1,00 124905 1
77 6,28 6,28 4,64 1,00 1,00 125986 1
78 6,28 6,28 4,62 1,00 1,00 127318 1
79 6,28 6,28 4,51 1,00 1,00 128543 1
80 6,28 6,28 4,53 1,00 1,00 130074 1
81 6,28 6,28 4,54 3,00 1,00 131439 1
82 6,28 6,28 5,85 1,00 6,00 132580 1
83 6,28 6,28 5,62 2,00 1,00 133739 1
84 6,28 6,28 5,61 3,00 6,00 134818 1
85 6,28 3,14 2,75 2,00 6,00 135948 1
86 6,28 3,14 2,87 1,00 6,00 136970 1
87 6,28 3,14 2,83 3,00 1,00 138018 1
88 6,28 3,14 2,89 2,00 6,00 139066 1
89 6,28 3,14 2,94 1,00 6,00 139999 1
90 6,28 3,14 2,90 1,00 1,00 141020 1
91 6,28 3,14 2,90 2,00 1,00 142167 1
92 6,28 3,14 2,80 2,00 6,00 143191 1
93 6,28 2,09 1,82 7,00 6,00 144073 1
94 6,28 2,09 1,88 4,00 6,00 145023 1
95 6,28 2,09 1,87 5,00 6,00 146050 1
96 6,28 5,23 4,68 1,00 6,00 147033 1
97 6,28 5,23 4,55 2,00 1,00 148185 1
98 6,28 2,09 1,83 6,00 6,00 149496 1
99 6,28 2,09 1,74 7,00 6,00 150789 1
100 6,28 2,09 1,77 7,00 6,00 151913 1
101 6,28 2,09 1,68 5,00 6,00 152923 1
102 6,28 5,23 4,09 1,00 6,00 154100 1
103 6,28 5,23 4,06 1,00 1,00 155304 1
104 6,28 5,23 4,00 1,00 1,00 156501 1
105 6,28 5,23 4,07 1,00 1,00 157770 1
106 6,28 5,23 4,22 1,00 1,00 159019 1
107 6,28 6,28 4,93 1,00 1,00 160099 1
108 6,28 6,28 4,80 1,00 1,00 161070 1
109 6,28 6,28 4,81 1,00 1,00 161897 1
110 6,28 6,28 4,76 1,00 1,00 162626 1
111 6,28 6,28 4,73 1,00 1,00 163252 1
112 6,28 6,28 4,73 1,00 1,00 163915 1
113 6,28 6,28 4,68 1,00 1,00 164484 1
114 6,28 6,28 4,69 1,00 1,00 165028 1
115 6,28 6,28 4,70 1,00 1,00 165663 1
116 6,28 6,28 4,71 1,00 1,00 166330 1
117 6,28 6,28 4,74 1,00 1,00 166906 1
118 6,28 6,28 4,73 1,00 1,00 167421 1
119 6,28 6,28 4,73 1,00 1,00 168035 1
120 6,28 6,28 4,69 1,00 1,00 168861 1
121 6,28 6,28 4,72 1,00 1,00 169578 1
122 6,28 6,28 4,73 1,00 1,00 170224 1
123 6,28 6,28 4,76 1,00 1,00 170893 1
124 6,28 6,28 4,74 1,00 1,00 171582 1
125 6,28 6,28 4,76 1,00 1,00 172216 1
126 6,28 6,28 4,83 1,00 1,00 172756 1
127 6,28 6,28 4,84 1,00 1,00 173305 1
128 6,28 6,28 4,82 1,00 1,00 173840 1
129 6,28 6,28 4,78 1,00 1,00 174427 1
130 6,28 6,28 4,78 1,00 1,00 175026 1
131 6,28 6,28 4,78 1,00 1,00 175704 1
132 6,28 6,28 4,75 1,00 1,00 176270 1
133 6,28 6,28 4,77 1,00 1,00 176881 1
134 6,28 6,28 4,74 1,00 1,00 177431 1
135 6,28 6,28 4,74 1,00 1,00 178005 1
136 6,28 6,28 4,74 1,00 1,00 178566 1
137 6,28 6,28 4,65 1,00 1,00 179265 1
138 6,28 6,28 4,69 1,00 1,00 179894 1
139 6,28 6,28 4,69 1,00 1,00 180482 1
140 6,28 6,28 4,75 1,00 1,00 181063 1
141 6,28 6,28 4,66 1,00 1,00 181637 1
142 6,28 6,28 4,59 1,00 1,00 182152 1
143 6,28 6,28 4,56 2,00 1,00 182626 1
144 6,28 6,28 4,56 2,00 6,00 183097 1
145 6,28 6,28 4,51 2,00 6,00 183576 1
146 6,28 6,28 4,52 1,00 6,00 184032 1
147 6,28 6,28 4,50 2,00 1,00 184511 1
148 6,28 6,28 4,51 2,00 6,00 184974 1
149 6,28 6,28 4,52 2,00 6,00 185531 1
150 6,28 6,28 4,53 2,00 6,00 186058 1
151 6,28 6,28 4,53 2,00 6,00 186631 1
152 6,28 6,28 4,58 1,00 6,00 187173 1
153 6,28 6,28 4,65 1,00 1,00 187653 1
154 6,28 6,28 4,72 1,00 1,00 188087 1
155 6,28 6,28 4,78 1,00 1,00 188478 1
156 6,28 6,28 4,76 1,00 1,00 188781 1
157 6,28 6,28 4,76 1,00 1,00 189113 1
158 6,28 6,28 4,78 1,00 1,00 189431 1
159 6,28 6,28 4,78 1,00 1,00 189747 1
160 6,28 6,28 4,78 1,00 1,00 190001 1
161 6,28 6,28 4,78 1,00 1,00 190235 1
162 6,28 6,28 4,73 1,00 1,00 190426 1
163 6,28 6,28 4,74 1,00 1,00 190604 1
164 6,28 6,28 4,76 1,00 1,00 190779 1
165 6,28 6,28 4,79 2,00 1,00 191045 1
166 6,28 2,09 1,60 2,00 6,00 191280 1
167 6,28 2,09 1,60 2,00 6,00 191593 1
168 6,28 2,09 1,61 1,00 6,00 192025 1
169 6,28 2,09 1,60 1,00 1,00 192568 1
170 6,28 2,09 1,59 2,00 1,00 193073 1
171 6,28 2,09 1,60 2,00 6,00 193588 1
172 6,28 2,09 1,60 2,00 6,00 194218 1
173 6,28 2,09 1,60 2,00 6,00 194884 1
174 6,28 2,09 1,60 1,00 6,00 195676 1
175 6,28 2,09 1,60 1,00 1,00 196337 1
176 6,28 2,09 1,60 1,00 1,00 196899 1
177 6,28 2,09 1,60 1,00 1,00 197325 1
178 6,28 2,09 1,59 2,00 1,00 197802 1
179 6,28 2,09 1,59 2,00 6,00 198275 1
180 6,28 2,09 1,59 2,00 6,00 198921 1
181 6,28 2,09 1,59 2,00 6,00 199549 1
182 6,28 2,09 1,60 2,00 6,00 200208 1
183 6,28 2,09 1,58 1,00 6,00 201052 1
184 6,28 6,28 4,76 1,00 1,00 201970 1
185 6,28 6,28 4,79 1,00 1,00 202680 1
186 6,28 6,28 4,79 1,00 1,00 203342 1
187 6,28 6,28 4,65 2,00 1,00 203905 1
188 6,28 6,28 4,71 2,00 6,00 204414 1
189 6,28 6,28 4,77 1,00 6,00 205267 1
190 6,28 6,28 4,78 2,00 1,00 206148 1
191 6,28 6,28 4,78 2,00 6,00 207071 1
192 6,28 6,28 4,79 2,00 6,00 207853 1
193 6,28 6,28 4,80 2,00 6,00 208707 1
194 6,28 6,28 4,83 2,00 6,00 209442 1
195 6,28 6,28 4,84 2,00 6,00 210092 1
196 6,28 6,28 4,82 2,00 6,00 210836 1
197 6,28 6,28 4,80 2,00 6,00 211520 1
198 6,28 6,28 4,81 1,00 6,00 212143 1
199 6,28 6,28 4,85 1,00 1,00 212798 1
200 6,28 6,28 4,84 1,00 1,00 213398 1
201 6,28 6,28 4,83 1,00 1,00 213972 1
202 6,28 6,28 4,86 1,00 1,00 214446 1
203 6,28 6,28 4,86 1,00 1,00 214886 1
204 6,28 6,28 4,81 1,00 1,00 215331 1
205 6,28 6,28 4,92 1,00 1,00 215711 1
206 6,28 6,28 4,94 1,00 1,00 216069 1
207 6,28 6,28 4,97 1,00 1,00 216426 1
208 6,28 6,28 4,98 1,00 1,00 216691 1
209 6,28 6,28 4,91 1,00 1,00 216851 1
210 6,28 6,28 4,99 1,00 1,00 217021 1
211 6,28 6,28 4,98 1,00 1,00 217235 1
212 6,28 6,28 5,01 1,00 1,00 217428 1
213 6,28 6,28 5,03 1,00 1,00 217613 1
214 6,28 6,28 5,04 1,00 1,00 217786 1
215 6,28 6,28 5,07 2,00 1,00 218014 1
216 6,28 6,28 5,11 2,00 6,00 218241 1
217 6,28 6,28 5,10 1,00 6,00 218632 1
218 6,28 6,28 5,06 1,00 1,00 219065 1
219 6,28 6,28 5,02 1,00 1,00 219510 1
220 6,28 6,28 5,07 2,00 1,00 219834 1
221 6,28 6,28 5,09 2,00 6,00 220118 1
222 6,28 6,28 5,11 1,00 6,00 220457 1
223 6,28 6,28 5,11 2,00 1,00 220780 1
224 6,28 6,28 5,11 2,00 6,00 221084 1
225 6,28 6,28 5,12 1,00 6,00 221368 1
226 6,28 6,28 5,11 1,00 2,00 221678 1
227 6,28 6,28 5,13 1,00 1,00 222006 1
228 6,28 6,28 5,12 1,00 1,00 222403 1
229 6,28 6,28 5,12 1,00 1,00 222737 1
230 6,28 6,28 5,13 1,00 1,00 223035 1
231 6,28 6,28 5,13 1,00 1,00 223321 1
232 6,28 6,28 5,14 1,00 1,00 223592 1
233 6,28 6,28 5,14 1,00 1,00 223825 1
234 6,28 6,28 5,14 1,00 1,00 224068 1
235 6,28 6,28 5,14 1,00 1,00 224238 1
236 6,28 6,28 5,13 1,00 1,00 224458 1
237 6,28 6,28 5,14 1,00 1,00 224715 1
238 6,28 6,28 5,12 1,00 1,00 224963 1
239 6,28 6,28 5,11 1,00 1,00 225171 1
240 6,28 6,28 5,10 1,00 1,00 225419 1
241 6,28 6,28 5,09 1,00 1,00 225651 1
242 6,28 6,28 5,10 1,00 1,00 225874 1
243 6,28 6,28 5,09 1,00 1,00 226049 1
244 6,28 6,28 5,07 1,00 1,00 226240 1
245 6,28 6,28 5,07 2,00 1,00 226509 1
246 6,28 6,28 5,06 2,00 6,00 226809 1
247 6,28 6,28 5,06 2,00 3,00 227215 1
248 6,28 6,28 5,06 2,00 6,00 227639 1
249 6,28 6,28 5,04 2,00 6,00 228105 1
250 6,28 6,28 5,04 1,00 2,00 228636 1
251 6,28 6,28 5,01 1,00 1,00 229213 1
252 6,28 6,28 5,00 1,00 1,00 229674 1
253 6,28 6,28 5,02 1,00 1,00 230044 1
254 6,28 6,28 4,98 1,00 1,00 230450 1
255 6,28 6,28 5,01 1,00 1,00 230803 1
256 6,28 6,28 5,00 2,00 1,00 231184 1
257 6,28 6,28 4,98 2,00 6,00 231585 1
