1000
0 309,30 309,30 309,30 1,00 17,00 0
1 309,30 28,12 28,12 1,00 16,00 1235
2 309,30 28,12 12,54 1,00 16,00 1774
3 309,30 22,09 10,31 1,00 19,00 1865
4 309,30 12,89 6,04 1,00 24,00 1875
5 309,30 12,89 6,04 1,00 29,00 1879
6 309,30 12,89 6,06 1,00 34,00 1881
7 309,30 12,89 6,07 1,00 39,00 1881
8 309,30 12,89 6,07 1,00 44,00 1881
9 309,30 12,89 6,07 1,00 49,00 1881
10 309,30 12,89 6,07 1,00 54,00 1881
11 309,30 12,89 6,07 1,00 59,00 1881
12 309,30 12,89 6,07 1,00 64,00 1881
13 309,30 12,89 6,07 1,00 69,00 1881
14 309,30 12,89 6,07 1,00 74,00 1881
15 309,30 12,89 6,07 1,00 79,00 1881
16 309,30 3,68 1,73 1,00 84,00 1881
17 309,30 3,68 1,73 1,00 89,00 1881
18 309,30 3,68 1,73 1,00 94,00 1881
19 309,30 3,12 1,47 1,00 99,00 1881
20 309,30 3,12 1,47 1,00 104,00 1881
21 309,30 3,12 1,47 1,00 109,00 1881
22 309,30 3,12 1,47 1,00 114,00 1881
23 309,30 3,12 1,47 1,00 119,00 1881
24 309,30 3,12 1,47 1,00 124,00 1881
25 309,30 3,12 1,47 1,00 129,00 1881
26 309,30 3,12 1,47 1,00 134,00 1881
27 309,30 3,12 1,47 1,00 139,00 1881
28 309,30 3,12 1,47 1,00 144,00 1881
29 309,30 3,12 1,47 1,00 149,00 1881
30 309,30 3,12 1,47 93,00 154,00 1881
31 309,30 194,36 91,53 93,00 153,00 2704
32 309,30 195,68 85,23 93,00 152,00 3431
33 309,30 197,02 86,48 93,00 151,00 3821
34 309,30 191,77 87,81 93,00 155,00 4072
35 309,30 188,01 90,07 93,00 158,00 4286
36 309,30 183,22 84,60 93,00 162,00 4405
37 309,30 178,67 83,26 93,00 166,00 4558
38 309,30 178,67 85,10 93,00 171,00 4625
39 309,30 178,67 83,52 93,00 176,00 4666
40 309,30 178,67 83,19 93,00 181,00 4711
41 309,30 154,65 72,77 93,00 186,00 4762
42 309,30 154,65 73,58 93,00 191,00 4795
43 309,30 154,65 71,68 93,00 196,00 4831
44 309,30 154,65 73,35 93,00 201,00 4863
45 309,30 154,65 73,35 93,00 206,00 4893
46 309,30 154,65 73,34 93,00 211,00 4918
47 309,30 154,65 73,34 93,00 216,00 4938
48 309,30 154,65 73,34 93,00 221,00 4953
49 309,30 154,65 73,33 93,00 226,00 4969
50 309,30 154,65 73,32 93,00 231,00 4978
51 309,30 154,65 73,32 93,00 236,00 4991
52 309,30 154,65 73,30 93,00 241,00 5006
53 309,30 116,93 55,43 93,00 246,00 5016
54 309,30 116,93 55,42 93,00 251,00 5027
55 309,30 116,93 55,42 93,00 256,00 5033
56 309,30 116,93 55,42 93,00 261,00 5043
57 309,30 116,93 55,41 93,00 266,00 5047
58 309,30 116,93 55,41 93,00 271,00 5055
59 309,30 116,93 55,40 93,00 276,00 5061
60 309,30 116,93 55,40 1,00 281,00 5068
61 309,30 116,93 55,40 1,00 286,00 5076
62 309,30 116,93 55,39 1,00 291,00 5097
63 309,30 116,93 55,39 1,00 296,00 5110
64 309,30 116,93 55,38 1,00 301,00 5114
65 309,30 1,01 0,48 1,00 306,00 5115
66 309,30 1,01 0,48 1,00 311,00 5118
67 309,30 1,01 0,48 1,00 316,00 5123
68 309,30 1,01 0,48 1,00 321,00 5124
69 309,30 1,01 0,48 1,00 326,00 5125
70 309,30 1,01 0,48 1,00 331,00 5125
71 309,30 1,01 0,48 1,00 336,00 5125
72 309,30 1,01 0,48 1,00 341,00 5125
73 309,30 1,01 0,48 1,00 346,00 5125
74 309,30 1,01 0,48 1,00 351,00 5126
75 309,30 1,01 0,48 1,00 356,00 5126
76 309,30 1,01 0,48 1,00 361,00 5126
77 309,30 1,01 0,48 1,00 366,00 5126
78 309,30 1,01 0,48 1,00 371,00 5127
79 309,30 1,01 0,48 1,00 376,00 5128
80 309,30 1,01 0,48 1,00 381,00 5128
81 309,30 0,80 0,38 1,00 386,00 5128
82 309,30 0,80 0,38 1,00 391,00 5128
83 309,30 0,80 0,38 1,00 396,00 5128
84 309,30 0,80 0,38 1,00 401,00 5128
85 309,30 0,80 0,38 1,00 406,00 5128
86 309,30 0,80 0,38 1,00 411,00 5128
87 309,30 0,80 0,38 1,00 416,00 5128
88 309,30 0,80 0,38 1,00 421,00 5129
89 309,30 0,80 0,38 1,00 426,00 5133
90 309,30 0,72 0,34 99,00 431,00 5133
91 309,30 71,21 33,70 99,00 435,00 5240
92 309,30 71,21 33,61 99,00 440,00 5280
93 309,30 68,81 32,47 99,00 445,00 5298
94 309,30 68,81 32,47 99,00 450,00 5308
95 309,30 68,81 32,46 99,00 455,00 5318
96 309,30 66,57 31,40 99,00 460,00 5327
97 309,30 66,57 31,40 99,00 465,00 5336
98 309,30 66,57 31,40 99,00 470,00 5340
99 309,30 66,57 31,40 99,00 475,00 5347
100 309,30 66,57 31,39 99,00 480,00 5351
101 309,30 66,57 31,39 99,00 485,00 5353
102 309,30 66,57 31,38 99,00 490,00 5354
103 309,30 66,57 31,37 99,00 495,00 5357
104 309,30 61,24 28,86 99,00 500,00 5357
105 309,30 61,24 28,86 99,00 505,00 5357
106 309,30 60,04 28,29 99,00 510,00 5357
107 309,30 59,46 28,02 99,00 515,00 5357
108 309,30 59,46 28,02 99,00 520,00 5357
109 309,30 58,33 27,49 99,00 525,00 5359
110 309,30 58,33 27,46 99,00 530,00 5359
111 309,30 58,33 27,46 99,00 535,00 5360
112 309,30 56,71 26,69 99,00 540,00 5362
113 309,30 56,71 26,69 99,00 545,00 5364
114 309,30 55,67 26,20 99,00 550,00 5366
115 309,30 55,67 26,20 99,00 555,00 5366
116 309,30 55,67 26,20 99,00 560,00 5366
117 309,30 55,67 26,20 99,00 565,00 5366
118 309,30 53,72 25,28 99,00 570,00 5367
119 309,30 53,72 25,26 99,00 575,00 5368
120 309,30 53,72 25,26 1,00 580,00 5368
121 309,30 0,53 0,25 1,00 585,00 5378
122 309,30 0,53 0,25 1,00 590,00 5387
123 309,30 0,53 0,25 1,00 595,00 5391
124 309,30 0,53 0,25 1,00 600,00 5392
125 309,30 0,53 0,25 1,00 605,00 5392
126 309,30 0,53 0,25 1,00 610,00 5392
127 309,30 0,53 0,25 1,00 615,00 5392
128 309,30 0,50 0,23 1,00 620,00 5392
129 309,30 0,50 0,23 1,00 625,00 5392
130 309,30 0,50 0,23 1,00 630,00 5392
131 309,30 0,50 0,23 1,00 635,00 5392
132 309,30 0,50 0,23 1,00 640,00 5392
133 309,30 0,48 0,23 1,00 645,00 5392
134 309,30 0,48 0,23 1,00 650,00 5392
135 309,30 0,48 0,23 1,00 655,00 5392
136 309,30 0,48 0,23 1,00 660,00 5392
137 309,30 0,48 0,23 1,00 665,00 5392
138 309,30 0,48 0,23 1,00 670,00 5392
139 309,30 0,48 0,23 1,00 675,00 5392
140 309,30 0,48 0,23 1,00 680,00 5397
141 309,30 0,45 0,21 1,00 685,00 5398
142 309,30 0,45 0,21 1,00 690,00 5398
143 309,30 0,45 0,21 1,00 695,00 5398
144 309,30 0,45 0,21 1,00 700,00 5398
145 309,30 0,45 0,21 1,00 705,00 5398
146 309,30 0,45 0,21 1,00 710,00 5398
147 309,30 0,45 0,21 1,00 715,00 5398
148 309,30 0,43 0,20 1,00 720,00 5398
149 309,30 0,43 0,20 1,00 725,00 5398
150 309,30 0,43 0,20 99,00 730,00 5398
151 309,30 42,00 19,69 99,00 734,00 5443
152 309,30 42,00 19,66 99,00 739,00 5461
153 309,30 42,00 19,66 99,00 744,00 5469
154 309,30 42,00 19,66 99,00 749,00 5476
155 309,30 40,61 19,00 99,00 754,00 5480
156 309,30 40,61 19,00 99,00 759,00 5482
157 309,30 40,61 19,00 99,00 764,00 5482
