1000
0 353,67 353,67 353,67 1,00 49,00 0
1 353,67 7,07 7,07 1,00 50,00 1235
2 353,67 7,37 5,46 1,00 50,00 1774
3 353,67 7,37 5,70 1,00 52,00 1865
4 353,67 7,37 5,76 1,00 54,00 1875
5 353,67 7,37 5,79 1,00 56,00 1879
6 353,67 7,37 5,84 1,00 58,00 1881
7 353,67 5,89 4,69 1,00 60,00 1881
8 353,67 5,89 4,69 1,00 62,00 1881
9 353,67 5,89 4,69 1,00 64,00 1881
10 353,67 5,36 4,27 1,00 66,00 1881
11 353,67 5,36 4,27 1,00 68,00 1881
12 353,67 5,36 4,27 1,00 70,00 1881
13 353,67 5,36 4,27 1,00 72,00 1881
14 353,67 5,36 4,27 1,00 74,00 1881
15 353,67 5,36 4,27 1,00 76,00 1881
16 353,67 5,36 4,27 1,00 78,00 1881
17 353,67 5,36 4,27 1,00 80,00 1881
18 353,67 5,36 4,27 1,00 82,00 1881
19 353,67 5,36 4,27 1,00 84,00 1881
20 353,67 4,11 3,28 1,00 86,00 1881
21 353,67 4,11 3,28 1,00 88,00 1881
22 353,67 4,11 3,28 1,00 90,00 1881
23 353,67 3,84 3,06 1,00 92,00 1881
24 353,67 3,84 3,06 1,00 94,00 1881
25 353,67 3,68 2,93 1,00 96,00 1881
26 353,67 3,68 2,93 1,00 98,00 1881
27 353,67 3,68 2,93 1,00 100,00 1881
28 353,67 3,68 2,93 1,00 102,00 1881
29 353,67 3,68 2,93 1,00 104,00 1881
30 353,67 3,68 2,93 93,00 106,00 1881
31 353,67 313,25 249,48 93,00 107,00 2704
32 353,67 310,30 274,35 93,00 108,00 3431
33 353,67 310,30 284,07 93,00 108,00 3821
34 353,67 307,40 310,54 93,00 109,00 4072
35 353,67 307,40 330,19 93,00 111,00 4286
36 353,67 307,40 321,02 93,00 113,00 4405
37 353,67 307,40 319,10 93,00 115,00 4558
38 353,67 307,40 329,14 93,00 117,00 4625
39 353,67 307,40 325,60 93,00 119,00 4666
40 353,67 307,40 324,64 93,00 121,00 4711
41 353,67 307,40 328,78 93,00 123,00 4762
42 353,67 307,40 333,20 93,00 125,00 4795
43 353,67 307,40 325,19 93,00 127,00 4831
44 353,67 307,40 332,87 93,00 129,00 4863
45 353,67 307,40 332,96 93,00 131,00 4893
46 353,67 307,40 332,96 93,00 133,00 4918
47 353,67 307,40 332,95 93,00 135,00 4938
48 353,67 240,08 260,04 93,00 137,00 4953
49 353,67 240,08 260,04 93,00 139,00 4969
50 353,67 240,08 260,04 93,00 141,00 4978
51 353,67 240,08 260,04 93,00 143,00 4991
52 353,67 240,08 260,04 93,00 145,00 5006
53 353,67 240,08 260,02 93,00 147,00 5016
54 353,67 240,08 260,02 93,00 149,00 5027
55 353,67 217,82 235,91 93,00 151,00 5033
56 353,67 217,82 235,91 93,00 153,00 5043
57 353,67 212,20 229,81 93,00 155,00 5047
58 353,67 209,50 226,88 93,00 157,00 5055
59 353,67 209,50 226,88 93,00 159,00 5061
60 353,67 209,50 226,88 1,00 161,00 5068
61 353,67 209,50 226,88 1,00 163,00 5076
62 353,67 209,50 226,89 1,00 165,00 5097
63 353,67 2,12 2,29 1,00 167,00 5110
64 353,67 2,12 2,29 1,00 169,00 5114
65 353,67 2,12 2,29 1,00 171,00 5115
66 353,67 2,12 2,29 1,00 173,00 5118
67 353,67 2,12 2,29 1,00 175,00 5123
68 353,67 2,12 2,29 1,00 177,00 5124
69 353,67 2,12 2,29 1,00 179,00 5125
70 353,67 2,12 2,29 1,00 181,00 5125
71 353,67 2,12 2,29 1,00 183,00 5125
72 353,67 1,91 2,07 1,00 185,00 5125
73 353,67 1,91 2,07 1,00 187,00 5125
74 353,67 1,91 2,07 1,00 189,00 5126
75 353,67 1,91 2,07 1,00 191,00 5126
76 353,67 1,91 2,07 1,00 193,00 5126
77 353,67 1,91 2,07 1,00 195,00 5126
78 353,67 1,80 1,94 1,00 197,00 5127
79 353,67 1,80 1,94 1,00 199,00 5128
80 353,67 1,80 1,94 1,00 201,00 5128
81 353,67 1,80 1,94 1,00 203,00 5128
82 353,67 1,80 1,94 1,00 205,00 5128
83 353,67 1,80 1,94 1,00 207,00 5128
84 353,67 1,80 1,94 1,00 209,00 5128
85 353,67 1,80 1,94 1,00 211,00 5128
86 353,67 1,66 1,80 1,00 213,00 5128
87 353,67 1,66 1,80 1,00 215,00 5128
88 353,67 1,66 1,80 1,00 217,00 5129
89 353,67 1,61 1,75 1,00 219,00 5133
90 353,67 1,61 1,75 95,00 221,00 5133
91 353,67 1,61 1,75 95,00 223,00 5240
92 353,67 1,61 1,75 95,00 225,00 5280
93 353,67 1,61 1,75 95,00 227,00 5298
94 353,67 1,61 1,75 95,00 229,00 5308
95 353,67 147,36 159,60 95,00 230,00 5318
96 353,67 147,36 159,61 95,00 232,00 5327
97 353,67 147,36 159,61 95,00 234,00 5336
98 353,67 147,36 159,61 95,00 236,00 5340
99 353,67 147,36 159,61 95,00 238,00 5347
100 353,67 147,36 159,61 95,00 240,00 5351
101 353,67 147,36 159,61 95,00 242,00 5353
102 353,67 147,36 159,61 95,00 244,00 5354
103 353,67 147,36 159,61 95,00 246,00 5357
104 353,67 147,36 159,61 95,00 248,00 5357
105 353,67 147,36 159,61 95,00 250,00 5357
106 353,67 147,36 159,61 95,00 252,00 5357
107 353,67 147,36 159,61 95,00 254,00 5357
108 353,67 147,36 159,61 95,00 256,00 5357
109 353,67 147,36 159,61 95,00 258,00 5359
110 353,67 129,23 139,96 95,00 260,00 5359
111 353,67 129,23 139,96 95,00 262,00 5360
112 353,67 129,23 139,96 95,00 264,00 5362
113 353,67 129,23 139,96 95,00 266,00 5364
114 353,67 129,23 139,96 95,00 268,00 5366
115 353,67 129,23 139,96 95,00 270,00 5366
116 353,67 129,23 139,96 95,00 272,00 5366
117 353,67 129,23 139,96 95,00 274,00 5366
118 353,67 129,23 139,96 95,00 276,00 5367
119 353,67 129,23 139,96 95,00 278,00 5368
120 353,67 120,00 129,97 1,00 280,00 5368
121 353,67 120,00 129,97 1,00 282,00 5378
122 353,67 120,00 129,97 1,00 284,00 5387
123 353,67 120,00 129,97 1,00 286,00 5391
124 353,67 1,23 1,33 1,00 288,00 5392
125 353,67 1,22 1,32 1,00 290,00 5392
126 353,67 1,22 1,32 1,00 292,00 5392
127 353,67 1,22 1,32 1,00 294,00 5392
128 353,67 1,22 1,32 1,00 296,00 5392
129 353,67 1,22 1,32 1,00 298,00 5392
130 353,67 1,22 1,32 1,00 300,00 5392
131 353,67 1,22 1,32 1,00 302,00 5392
132 353,67 1,22 1,32 1,00 304,00 5392
133 353,67 1,22 1,32 1,00 306,00 5392
134 353,67 1,22 1,32 1,00 308,00 5392
135 353,67 1,22 1,32 1,00 310,00 5392
136 353,67 1,22 1,32 1,00 312,00 5392
137 353,67 1,22 1,32 1,00 314,00 5392
138 353,67 1,22 1,32 1,00 316,00 5392
139 353,67 1,22 1,32 1,00 318,00 5392
140 353,67 1,11 1,20 1,00 320,00 5397
141 353,67 1,10 1,19 1,00 322,00 5398
142 353,67 1,10 1,19 1,00 324,00 5398
143 353,67 1,10 1,19 1,00 326,00 5398
144 353,67 1,10 1,19 1,00 328,00 5398
145 353,67 1,07 1,16 1,00 330,00 5398
146 353,67 1,07 1,16 1,00 332,00 5398
147 353,67 1,07 1,16 1,00 334,00 5398
148 353,67 1,07 1,16 1,00 336,00 5398
149 353,67 1,07 1,16 1,00 338,00 5398
150 353,67 1,07 1,16 89,00 340,00 5398
151 353,67 1,07 1,16 89,00 342,00 5443
152 353,67 91,50 99,11 89,00 344,00 5461
153 353,67 91,50 99,11 89,00 346,00 5469
154 353,67 91,50 99,11 89,00 348,00 5476
155 353,67 91,50 99,11 89,00 350,00 5480
156 353,67 91,50 99,11 89,00 352,00 5482
157 353,67 91,50 99,11 89,00 354,00 5482
158 353,67 91,50 99,11 89,00 356,00 5492
159 353,67 91,50 99,11 89,00 358,00 5501
160 353,67 87,44 94,70 89,00 360,00 5510
161 353,67 87,44 94,70 89,00 362,00 5520
162 353,67 87,44 94,70 89,00 364,00 5532
