1000
0 409,29 409,29 409,29 1,00 68,00 0
1 409,29 6,30 6,30 1,00 81,00 1235
2 409,29 5,25 2,55 1,00 94,00 1774
3 409,29 4,40 2,26 1,00 109,00 1865
4 409,29 4,40 2,28 1,00 125,00 1875
5 409,29 4,40 2,28 1,00 141,00 1879
6 409,29 4,40 2,28 1,00 157,00 1881
7 409,29 4,40 2,29 1,00 173,00 1881
8 409,29 4,40 2,29 1,00 189,00 1881
9 409,29 4,40 2,29 1,00 205,00 1881
10 409,29 1,85 0,96 1,00 221,00 1881
11 409,29 1,85 0,96 1,00 237,00 1881
12 409,29 1,62 0,84 1,00 253,00 1881
13 409,29 1,62 0,84 1,00 269,00 1881
14 409,29 1,62 0,84 1,00 285,00 1881
15 409,29 1,62 0,84 1,00 301,00 1881
16 409,29 1,62 0,84 1,00 317,00 1881
17 409,29 1,62 0,84 1,00 333,00 1881
18 409,29 1,62 0,84 1,00 349,00 1881
19 409,29 1,62 0,84 1,00 365,00 1881
20 409,29 1,62 0,84 1,00 381,00 1881
21 409,29 1,62 0,84 1,00 397,00 1881
22 409,29 1,62 0,84 1,00 413,00 1881
23 409,29 1,62 0,84 1,00 429,00 1881
24 409,29 1,62 0,84 1,00 445,00 1881
25 409,29 1,62 0,84 1,00 461,00 1881
26 409,29 1,62 0,84 1,00 477,00 1881
27 409,29 1,62 0,84 1,00 493,00 1881
28 409,29 1,62 0,84 1,00 509,00 1881
29 409,29 1,62 0,84 1,00 525,00 1881
30 409,29 0,76 0,39 99,00 541,00 1881
31 409,29 75,32 39,12 99,00 554,00 2704
32 409,29 73,67 35,09 99,00 566,00 3431
33 409,29 71,97 35,14 99,00 579,00 3821
34 409,29 70,10 35,50 99,00 594,00 4072
35 409,29 68,33 36,49 99,00 609,00 4286
36 409,29 68,33 35,40 99,00 625,00 4405
37 409,29 64,94 33,82 99,00 640,00 4558
38 409,29 64,94 34,87 99,00 656,00 4625
39 409,29 64,94 33,94 99,00 672,00 4666
40 409,29 64,94 33,81 99,00 688,00 4711
41 409,29 64,94 34,16 99,00 704,00 4762
42 409,29 64,94 34,59 99,00 720,00 4795
43 409,29 64,94 33,67 99,00 736,00 4831
44 409,29 64,94 34,50 99,00 752,00 4863
45 409,29 64,94 34,44 99,00 768,00 4893
46 409,29 64,94 34,43 99,00 784,00 4918
47 409,29 64,94 34,44 99,00 800,00 4938
48 409,29 64,94 34,42 99,00 816,00 4953
49 409,29 64,94 34,39 99,00 832,00 4969
50 409,29 64,94 34,37 99,00 848,00 4978
51 409,29 64,94 34,33 99,00 864,00 4991
52 409,29 64,94 34,32 99,00 880,00 5006
53 409,29 64,94 34,30 99,00 896,00 5016
54 409,29 64,94 34,26 99,00 912,00 5027
55 409,29 64,94 34,24 99,00 928,00 5033
56 409,29 64,94 34,22 99,00 944,00 5043
57 409,29 64,94 34,20 99,00 960,00 5047
58 409,29 64,94 34,18 99,00 976,00 5055
59 409,29 40,85 21,49 99,00 992,00 5061
60 409,29 40,85 21,47 3,00 1.008,00 5068
61 409,29 40,85 21,46 3,00 1.024,00 5076
62 409,29 40,85 21,46 3,00 1.040,00 5097
63 409,29 40,85 21,44 3,00 1.056,00 5110
64 409,29 40,85 21,42 3,00 1.072,00 5114
65 409,29 40,85 21,41 3,00 1.088,00 5115
66 409,29 40,85 21,41 3,00 1.104,00 5118
67 409,29 40,85 21,41 3,00 1.120,00 5123
68 409,29 40,85 21,41 3,00 1.136,00 5124
69 409,29 40,85 21,36 3,00 1.152,00 5125
70 409,29 40,85 21,35 3,00 1.168,00 5125
71 409,29 40,85 21,35 3,00 1.184,00 5125
72 409,29 40,85 21,35 3,00 1.200,00 5125
73 409,29 40,85 21,35 3,00 1.216,00 5125
74 409,29 40,85 21,35 3,00 1.232,00 5126
75 409,29 40,85 21,29 3,00 1.248,00 5126
76 409,29 40,85 21,29 3,00 1.264,00 5126
77 409,29 40,85 21,29 3,00 1.280,00 5126
78 409,29 0,95 0,49 3,00 1.296,00 5127
79 409,29 0,95 0,49 3,00 1.312,00 5128
80 409,29 0,95 0,49 3,00 1.328,00 5128
81 409,29 0,95 0,49 3,00 1.344,00 5128
82 409,29 0,95 0,49 3,00 1.360,00 5128
83 409,29 0,95 0,49 3,00 1.376,00 5128
84 409,29 0,95 0,49 3,00 1.392,00 5128
85 409,29 0,95 0,49 3,00 1.408,00 5128
86 409,29 0,95 0,49 3,00 1.424,00 5128
87 409,29 0,95 0,49 3,00 1.440,00 5128
88 409,29 0,95 0,49 3,00 1.456,00 5129
89 409,29 0,95 0,49 3,00 1.472,00 5133
90 409,29 0,95 0,49 101,00 1.488,00 5133
91 409,29 27,50 14,22 101,00 1.503,00 5240
92 409,29 27,50 14,20 101,00 1.519,00 5280
93 409,29 27,50 14,19 101,00 1.535,00 5298
94 409,29 27,50 14,19 101,00 1.551,00 5308
95 409,29 27,50 14,18 101,00 1.567,00 5318
96 409,29 27,50 14,17 101,00 1.583,00 5327
97 409,29 27,50 14,16 101,00 1.599,00 5336
98 409,29 27,50 14,15 101,00 1.615,00 5340
99 409,29 27,50 14,14 101,00 1.631,00 5347
100 409,29 27,50 14,14 101,00 1.647,00 5351
101 409,29 27,50 14,14 101,00 1.663,00 5353
102 409,29 27,50 14,14 101,00 1.679,00 5354
103 409,29 27,50 14,11 101,00 1.695,00 5357
104 409,29 27,50 14,10 101,00 1.711,00 5357
105 409,29 27,50 14,10 101,00 1.727,00 5357
106 409,29 27,50 14,10 101,00 1.743,00 5357
107 409,29 23,50 12,05 101,00 1.759,00 5357
108 409,29 23,50 12,05 101,00 1.775,00 5357
109 409,29 23,50 12,05 101,00 1.791,00 5359
110 409,29 23,50 12,05 101,00 1.807,00 5359
111 409,29 23,50 12,05 101,00 1.823,00 5360
