1000
0 423,60 423,60 423,60 1,00 66,00 0
1 423,60 6,52 6,52 1,00 67,00 1235
2 423,60 6,52 7,08 1,00 67,00 1774
3 423,60 6,52 7,32 1,00 69,00 1865
4 423,60 6,52 7,34 1,00 71,00 1875
5 423,60 5,80 6,52 1,00 73,00 1879
6 423,60 5,80 6,53 1,00 75,00 1881
7 423,60 5,80 6,54 1,00 77,00 1881
8 423,60 5,80 6,54 1,00 79,00 1881
9 423,60 5,80 6,54 1,00 81,00 1881
10 423,60 5,80 6,54 1,00 83,00 1881
11 423,60 5,80 6,54 1,00 85,00 1881
12 423,60 5,80 6,54 1,00 87,00 1881
13 423,60 4,76 5,36 1,00 89,00 1881
14 423,60 4,76 5,36 1,00 91,00 1881
15 423,60 4,76 5,36 1,00 93,00 1881
16 423,60 4,76 5,36 1,00 95,00 1881
17 423,60 4,76 5,36 1,00 97,00 1881
18 423,60 4,76 5,36 1,00 99,00 1881
19 423,60 4,76 5,36 1,00 101,00 1881
20 423,60 4,11 4,64 1,00 103,00 1881
21 423,60 4,11 4,64 1,00 105,00 1881
22 423,60 3,96 4,46 1,00 107,00 1881
23 423,60 3,96 4,46 1,00 109,00 1881
24 423,60 3,96 4,46 1,00 111,00 1881
25 423,60 3,96 4,46 1,00 113,00 1881
26 423,60 3,96 4,46 1,00 115,00 1881
27 423,60 3,96 4,46 1,00 117,00 1881
28 423,60 3,96 4,46 1,00 119,00 1881
29 423,60 3,96 4,46 1,00 121,00 1881
30 423,60 3,96 4,46 93,00 123,00 1881
31 423,60 328,29 370,05 93,00 122,00 2704
32 423,60 333,85 348,42 93,00 120,00 3431
33 423,60 333,85 451,32 93,00 120,00 3821
34 423,60 331,05 443,80 93,00 121,00 4072
35 423,60 328,29 476,66 93,00 122,00 4286
36 423,60 328,29 451,50 93,00 124,00 4405
37 423,60 328,29 449,80 93,00 126,00 4558
38 423,60 328,29 472,88 93,00 128,00 4625
39 423,60 328,29 460,08 93,00 130,00 4666
40 423,60 328,29 467,03 93,00 132,00 4711
41 423,60 328,29 467,86 93,00 134,00 4762
42 423,60 328,29 480,43 93,00 136,00 4795
43 423,60 328,29 462,56 93,00 138,00 4831
44 423,60 328,29 474,16 93,00 140,00 4863
45 423,60 328,29 474,13 93,00 142,00 4893
46 423,60 328,29 474,07 93,00 144,00 4918
47 423,60 328,29 474,07 93,00 146,00 4938
48 423,60 328,29 474,07 93,00 148,00 4953
49 423,60 328,29 474,07 93,00 150,00 4969
50 423,60 328,29 474,07 93,00 152,00 4978
51 423,60 328,29 474,07 93,00 154,00 4991
52 423,60 328,29 474,07 93,00 156,00 5006
53 423,60 328,29 474,07 93,00 158,00 5016
54 423,60 328,29 474,07 93,00 160,00 5027
55 423,60 328,29 474,07 93,00 162,00 5033
56 423,60 328,29 474,07 93,00 164,00 5043
57 423,60 328,29 474,07 93,00 166,00 5047
58 423,60 328,29 474,07 93,00 168,00 5055
59 423,60 328,29 474,07 93,00 170,00 5061
