1000
0 262,24 262,24 262,24 1,00 23,00 0
1 262,24 18,73 18,73 1,00 23,00 1235
2 262,24 14,57 8,10 1,00 27,00 1774
3 262,24 14,57 8,65 1,00 36,00 1865
4 262,24 5,83 3,50 1,00 45,00 1875
5 262,24 5,83 3,49 1,00 54,00 1879
6 262,24 5,83 3,49 1,00 63,00 1881
7 262,24 5,83 3,49 1,00 72,00 1881
8 262,24 5,83 3,49 1,00 81,00 1881
9 262,24 5,83 3,49 1,00 90,00 1881
10 262,24 2,65 1,59 1,00 99,00 1881
11 262,24 2,65 1,59 1,00 108,00 1881
12 262,24 2,65 1,59 1,00 117,00 1881
13 262,24 2,65 1,59 1,00 126,00 1881
14 262,24 2,65 1,59 1,00 135,00 1881
15 262,24 2,65 1,59 1,00 144,00 1881
16 262,24 2,65 1,59 1,00 153,00 1881
17 262,24 2,65 1,59 1,00 162,00 1881
18 262,24 2,65 1,59 1,00 171,00 1881
19 262,24 2,65 1,59 1,00 180,00 1881
20 262,24 2,65 1,59 1,00 189,00 1881
21 262,24 2,65 1,59 1,00 198,00 1881
22 262,24 1,27 0,76 1,00 207,00 1881
23 262,24 1,27 0,76 1,00 216,00 1881
24 262,24 1,27 0,76 1,00 225,00 1881
25 262,24 1,27 0,76 1,00 234,00 1881
26 262,24 1,27 0,76 1,00 243,00 1881
27 262,24 1,27 0,76 1,00 252,00 1881
28 262,24 1,27 0,76 1,00 261,00 1881
29 262,24 1,27 0,76 1,00 270,00 1881
30 262,24 1,27 0,76 99,00 279,00 1881
31 262,24 94,07 56,32 99,00 285,00 2704
32 262,24 92,39 54,04 99,00 290,00 3431
33 262,24 90,46 51,98 99,00 296,00 3821
34 262,24 85,40 51,80 99,00 304,00 4072
35 262,24 85,68 52,56 99,00 312,00 4286
36 262,24 85,68 50,66 99,00 321,00 4405
37 262,24 81,13 47,94 99,00 329,00 4558
38 262,24 81,13 49,26 99,00 338,00 4625
39 262,24 74,82 43,94 99,00 347,00 4666
40 262,24 74,82 43,80 99,00 356,00 4711
41 262,24 74,82 44,24 99,00 365,00 4762
42 262,24 74,82 45,02 99,00 374,00 4795
43 262,24 67,79 39,39 99,00 383,00 4831
44 262,24 67,79 40,48 99,00 392,00 4863
45 262,24 67,79 40,41 99,00 401,00 4893
46 262,24 67,79 40,52 99,00 410,00 4918
47 262,24 67,79 40,29 99,00 419,00 4938
48 262,24 67,79 40,28 99,00 428,00 4953
49 262,24 67,79 40,29 99,00 437,00 4969
50 262,24 67,79 40,23 99,00 446,00 4978
