500
0 89,59 89,59 89,59 3,00 49,00 0 0
1 89,59 89,59 89,59 1,00 44,00 2034 0
2 89,59 89,59 25,84 1,00 41,00 5373 0
3 89,59 89,59 33,84 3,00 40,00 8224 0
4 89,59 89,59 39,48 1,00 40,00 10634 0
5 89,59 89,59 43,72 1,00 40,00 12916 0
6 89,59 89,59 51,32 2,00 38,00 15418 0
7 89,59 4,98 2,99 150,00 36,00 17536 0
8 89,59 4,98 3,02 296,00 3,00 19639 0
9 89,59 4,98 3,34 436,00 3,00 21808 0
10 89,59 4,98 2,94 568,00 3,00 23907 0
11 89,59 4,98 2,59 704,00 3,00 25930 0
12 89,59 4,98 2,50 818,00 3,00 27892 0
13 89,59 4,98 2,64 936,00 3,00 29850 0
14 89,59 27.953,10 19.332,60 736,00 3,00 31599 0
15 89,59 27.953,10 9.967,57 536,00 5,00 33497 0
16 89,59 27.953,10 19.710,60 336,00 7,00 35789 0
17 89,59 27.953,10 16.083,88 136,00 9,00 37955 0
18 89,59 27.953,10 15.630,03 1,00 11,00 39952 0
19 89,59 27.953,10 24.699,63 1,00 11,00 41766 0
20 89,59 27.953,10 26.499,77 1,00 11,00 43660 0
21 89,59 27.953,10 24.725,48 1,00 11,00 45373 0
22 89,59 27.953,10 23.056,81 1,00 11,00 47124 0
23 89,59 27.953,10 32.613,40 1,00 11,00 48807 0
24 89,59 27.953,10 27.421,01 1,00 11,00 50463 0
25 89,59 27.953,10 30.254,98 1,00 11,00 52047 0
26 89,59 27.953,10 31.688,43 1,00 11,00 53795 0
27 89,59 27.953,10 27.001,12 1,00 11,00 55520 0
28 89,59 27.953,10 23.649,70 1,00 11,00 57190 0
29 89,59 27.953,10 32.789,82 1,00 11,00 58778 0
30 89,59 27.953,10 29.786,87 1,00 11,00 60394 0
31 89,59 27.953,10 25.674,28 1,00 11,00 62105 0
32 89,59 27.953,10 23.295,77 1,00 11,00 63934 0
33 89,59 8,14 6,53 25,00 11,00 65556 0
34 89,59 8,14 6,66 51,00 3,00 67081 0
35 89,59 8,14 7,07 85,00 3,00 68549 0
36 89,59 8,14 6,76 103,00 3,00 69881 0
37 89,59 8,14 6,50 125,00 3,00 71145 0
38 89,59 8,14 6,17 153,00 3,00 72579 0
39 89,59 8,14 5,84 163,00 3,00 74208 0
40 89,59 4.867,90 3.359,86 1,00 3,00 75718 0
41 89,59 4.867,90 2.649,23 1,00 3,00 77166 0
42 89,59 4.867,90 3.918,39 1,00 3,00 78878 0
43 89,59 4.867,90 3.661,86 1,00 3,00 80555 0
44 89,59 29,86 23,15 1,00 3,00 81773 0
45 89,59 29,86 23,02 1,00 1,00 83109 0
46 89,59 29,86 23,18 1,00 1,00 84434 0
47 89,59 29,86 23,47 1,00 1,00 85600 0
48 89,59 29,86 23,14 1,00 1,00 87143 0
49 89,59 29,86 23,15 1,00 1,00 88485 0
50 89,59 89,59 68,72 1,00 1,00 89667 0
51 89,59 89,59 81,57 1,00 1,00 91101 0
52 89,59 89,59 88,24 1,00 1,00 92490 0
53 89,59 89,59 87,17 1,00 1,00 93718 0
54 89,59 89,59 88,12 1,00 1,00 94913 0
55 89,59 89,59 89,10 1,00 1,00 96246 0
56 89,59 89,59 94,51 1,00 1,00 97603 0
57 89,59 89,59 93,49 1,00 1,00 98885 0
58 89,59 89,59 95,29 1,00 1,00 100402 0
59 89,59 89,59 94,14 1,00 1,00 101741 0
60 89,59 89,59 97,64 1,00 1,00 103074 0
61 89,59 89,59 94,65 1,00 1,00 104418 0
62 89,59 89,59 93,49 1,00 1,00 105536 0
63 89,59 89,59 93,78 1,00 1,00 106810 0
64 89,59 89,59 95,56 1,00 1,00 108412 0
65 89,59 89,59 90,29 1,00 1,00 110148 0
66 89,59 89,59 90,42 1,00 1,00 111691 0
67 89,59 89,59 89,03 1,00 1,00 113010 0
68 89,59 89,59 84,58 1,00 1,00 114244 0
69 89,59 89,59 87,33 1,00 1,00 115821 0
70 89,59 89,59 84,18 1,00 1,00 117266 0
71 89,59 89,59 86,87 1,00 1,00 118561 0
72 89,59 89,59 84,24 1,00 1,00 120013 0
73 89,59 89,59 84,04 1,00 1,00 121298 0
74 89,59 89,59 85,32 1,00 1,00 122549 0
75 89,59 89,59 85,54 1,00 1,00 123751 0
76 89,59 89,59 84,02 1,00 1,00 124905 0
77 89,59 89,59 83,84 1,00 1,00 125986 0
78 89,59 89,59 81,82 1,00 1,00 127318 0
