500
0 165,66 165,66 165,66 3,00 82,00 0 0
1 165,66 165,66 165,66 1,00 78,00 2034 0
2 165,66 165,66 12,34 1,00 74,00 5373 0
3 165,66 165,66 13,38 3,00 74,00 8224 0
4 165,66 165,66 13,61 1,00 73,00 10634 0
5 165,66 165,66 13,05 1,00 73,00 12916 0
6 165,66 165,66 17,20 3,00 72,00 15418 0
7 165,66 165,66 17,20 1,00 72,00 17536 0
8 165,66 165,66 19,38 1,00 71,00 19639 0
9 165,66 165,66 33,17 1,00 71,00 21808 0
10 165,66 165,66 29,12 1,00 70,00 23907 0
11 165,66 165,66 34,68 1,00 69,00 25930 0
12 165,66 165,66 35,05 1,00 68,00 27892 0
13 165,66 165,66 43,79 1,00 67,00 29850 0
14 165,66 165,66 62,39 1,00 66,00 31599 0
15 165,66 2,51 0,52 177,00 66,00 33497 0
16 165,66 2,51 1,02 361,00 22,00 35789 0
17 165,66 2,51 1,09 535,00 8,00 37955 0
18 165,66 2,51 1,07 707,00 8,00 39952 0
19 165,66 14.639,81 5.612,87 507,00 8,00 41766 0
20 165,66 14.639,81 7.437,41 307,00 15,00 43660 0
21 165,66 14.639,81 7.756,46 107,00 22,00 45373 0
22 165,66 611,21 269,07 1,00 29,00 47124 0
23 165,66 611,21 312,07 1,00 29,00 48807 0
24 165,66 611,21 372,37 1,00 28,00 50463 0
25 165,66 611,21 402,59 1,00 28,00 52047 0
26 165,66 611,21 369,71 1,00 28,00 53795 0
27 165,66 611,21 329,94 1,00 28,00 55520 0
28 165,66 611,21 321,10 1,00 28,00 57190 0
29 165,66 611,21 364,29 1,00 28,00 58778 0
30 165,66 611,21 403,97 1,00 28,00 60394 0
31 165,66 611,21 448,30 1,00 28,00 62105 0
32 165,66 611,21 402,67 1,00 28,00 63934 0
33 165,66 611,21 363,38 1,00 28,00 65556 0
34 165,66 5,92 3,80 79,00 28,00 67081 0
35 165,66 5,92 3,85 149,00 8,00 68549 0
36 165,66 5,92 3,77 213,00 8,00 69881 0
37 165,66 5,92 4,16 277,00 8,00 71145 0
38 165,66 5,92 4,03 351,00 8,00 72579 0
39 165,66 5,92 3,89 415,00 8,00 74208 0
40 165,66 5,92 3,72 455,00 8,00 75718 0
41 165,66 5,92 2,89 513,00 8,00 77166 0
42 165,66 10.622,66 6.890,44 313,00 8,00 78878 0
43 165,66 10.622,66 6.614,80 113,00 15,00 80555 0
44 165,66 10.622,66 6.605,37 1,00 22,00 81773 0
45 165,66 10.622,66 6.610,03 1,00 22,00 83109 0
46 165,66 10.622,66 6.767,50 1,00 22,00 84434 0
47 165,66 10.622,66 6.668,41 1,00 22,00 85600 0
48 165,66 10.622,66 6.663,66 1,00 22,00 87143 0
49 165,66 10.622,66 6.624,49 1,00 22,00 88485 0
