500
0 384,54 384,54 384,54 1,00 52,00
1 384,54 0,00 0,00 1,00 56,00
2 384,54 384,54 520,83 99,00 60,00
3 384,54 0,00 0,00 1,00 65,00
4 384,54 384,54 556,12 99,00 69,00
5 384,54 0,00 0,00 1,00 74,00
6 384,54 384,54 561,63 99,00 78,00
7 384,54 0,00 0,00 1,00 83,00
8 384,54 384,54 535,09 99,00 87,00
9 384,54 0,00 0,00 1,00 92,00
10 384,54 384,54 498,74 99,00 96,00
11 384,54 0,00 0,00 1,00 101,00
12 384,54 0,00 0,00 99,00 104,00
13 384,54 384,54 482,49 197,00 108,00
14 384,54 0,00 0,00 97,00 113,00
15 384,54 384,54 481,67 195,00 117,00
16 384,54 0,00 0,00 95,00 122,00
17 384,54 384,54 490,54 193,00 126,00
18 384,54 0,00 0,00 93,00 131,00
19 384,54 384,54 480,74 191,00 135,00
20 384,54 0,00 0,00 91,00 140,00
21 384,54 384,54 480,34 189,00 144,00
22 384,54 0,00 0,00 89,00 149,00
23 384,54 384,54 480,70 187,00 153,00
24 384,54 0,00 0,00 87,00 158,00
25 384,54 384,54 481,11 185,00 162,00
26 384,54 0,00 0,00 85,00 167,00
27 384,54 384,54 481,36 183,00 171,00
28 384,54 0,00 0,00 83,00 176,00
29 384,54 384,54 481,74 181,00 180,00
30 384,54 0,00 0,00 81,00 185,00
31 384,54 0,00 0,00 179,00 184,00
32 384,54 384,54 482,41 277,00 188,00
33 384,54 0,00 0,00 177,00 193,00
34 384,54 384,54 483,06 275,00 197,00
35 384,54 0,00 0,00 175,00 202,00
36 384,54 384,54 483,71 273,00 206,00
37 384,54 0,00 0,00 173,00 211,00
38 384,54 384,54 484,51 271,00 215,00
39 384,54 0,00 0,00 171,00 220,00
40 384,54 384,54 485,36 269,00 224,00
41 384,54 0,00 0,00 169,00 229,00
42 384,54 384,54 486,27 267,00 233,00
43 384,54 0,00 0,00 167,00 238,00
44 384,54 384,54 487,15 265,00 242,00
45 384,54 0,00 0,00 165,00 247,00
46 384,54 384,54 488,24 263,00 251,00
47 384,54 0,00 0,00 163,00 256,00
48 384,54 384,54 489,42 261,00 260,00
49 384,54 0,00 0,00 161,00 265,00
50 384,54 0,00 0,00 259,00 264,00
51 384,54 384,54 491,31 357,00 268,00
52 384,54 0,00 0,00 257,00 273,00
53 384,54 384,54 492,71 355,00 277,00
54 384,54 0,00 0,00 255,00 282,00
55 384,54 384,54 494,20 353,00 286,00
56 384,54 0,00 0,00 253,00 291,00
57 384,54 384,54 495,74 351,00 295,00
58 384,54 0,00 0,00 251,00 300,00
59 384,54 384,54 497,39 349,00 304,00
60 384,54 0,00 0,00 249,00 309,00
61 384,54 384,54 499,14 347,00 313,00
62 384,54 0,00 0,00 247,00 318,00
63 384,54 384,54 500,94 345,00 322,00
64 384,54 0,00 0,00 245,00 327,00
65 384,54 384,54 502,83 343,00 331,00
66 384,54 0,00 0,00 243,00 336,00
67 384,54 384,54 504,81 341,00 340,00
68 384,54 0,00 0,00 241,00 345,00
69 384,54 0,00 0,00 339,00 344,00
70 384,54 384,54 507,94 437,00 348,00
71 384,54 0,00 0,00 337,00 353,00
72 384,54 384,54 510,13 435,00 357,00
73 384,54 0,00 0,00 335,00 362,00
74 384,54 384,54 512,45 433,00 366,00
75 384,54 0,00 0,00 333,00 371,00
76 384,54 384,54 514,86 431,00 375,00
77 384,54 0,00 0,00 331,00 380,00
78 384,54 384,54 517,33 429,00 384,00
79 384,54 0,00 0,00 329,00 389,00
80 384,54 384,54 519,94 427,00 393,00
81 384,54 0,00 0,00 327,00 398,00
82 384,54 384,54 522,63 425,00 402,00
83 384,54 0,00 0,00 325,00 407,00
84 384,54 384,54 525,37 423,00 411,00
85 384,54 0,00 0,00 323,00 416,00
86 384,54 384,54 528,21 421,00 420,00
87 384,54 0,00 0,00 321,00 425,00
88 384,54 0,00 0,00 419,00 424,00
89 384,54 384,54 532,62 517,00 428,00
90 384,54 0,00 0,00 417,00 433,00
91 384,54 384,54 535,57 515,00 437,00
92 384,54 0,00 0,00 415,00 442,00
93 384,54 384,54 538,70 513,00 446,00
94 384,54 0,00 0,00 413,00 451,00
95 384,54 384,54 541,97 511,00 455,00
96 384,54 0,00 0,00 411,00 460,00
97 384,54 384,54 545,30 509,00 464,00
98 384,54 0,00 0,00 409,00 469,00
99 384,54 384,54 548,68 507,00 473,00
100 384,54 0,00 0,00 407,00 478,00
101 384,54 384,54 552,15 505,00 482,00
102 384,54 0,00 0,00 405,00 487,00
103 384,54 384,54 555,74 503,00 491,00
104 384,54 0,00 0,00 403,00 496,00
105 384,54 384,54 559,39 501,00 500,00
106 384,54 0,00 0,00 401,00 505,00
107 384,54 0,00 0,00 499,00 504,00
108 384,54 384,54 565,00 597,00 508,00
109 384,54 0,00 0,00 497,00 513,00
110 384,54 384,54 568,87 595,00 517,00
111 384,54 0,00 0,00 495,00 522,00
112 384,54 384,54 572,65 593,00 526,00
113 384,54 0,00 0,00 493,00 531,00
114 384,54 384,54 576,68 591,00 535,00
115 384,54 0,00 0,00 491,00 540,00
116 384,54 384,54 580,83 589,00 544,00
117 384,54 0,00 0,00 489,00 549,00
118 384,54 384,54 585,04 587,00 553,00
119 384,54 0,00 0,00 487,00 558,00
120 384,54 384,54 589,31 585,00 562,00
121 384,54 0,00 0,00 485,00 567,00
122 384,54 384,54 593,69 583,00 571,00
123 384,54 0,00 0,00 483,00 576,00
124 384,54 384,54 598,15 581,00 580,00
125 384,54 0,00 0,00 481,00 585,00
126 384,54 0,00 0,00 579,00 584,00
127 384,54 384,54 605,04 677,00 588,00
128 384,54 0,00 0,00 577,00 593,00
129 384,54 384,54 609,79 675,00 597,00
130 384,54 0,00 0,00 575,00 602,00
131 384,54 384,54 614,61 673,00 606,00
132 384,54 0,00 0,00 573,00 611,00
133 384,54 384,54 619,48 671,00 615,00
134 384,54 0,00 0,00 571,00 620,00
135 384,54 384,54 624,44 669,00 624,00
136 384,54 0,00 0,00 569,00 629,00
137 384,54 384,54 629,51 667,00 633,00
138 384,54 0,00 0,00 567,00 638,00
139 384,54 384,54 634,66 665,00 642,00
140 384,54 0,00 0,00 565,00 647,00
141 384,54 384,54 639,90 663,00 651,00
142 384,54 0,00 0,00 563,00 656,00
143 384,54 384,54 645,21 661,00 660,00
144 384,54 0,00 0,00 561,00 665,00
145 384,54 0,00 0,00 659,00 664,00
146 384,54 384,54 653,36 757,00 668,00
147 384,54 0,00 0,00 657,00 673,00
148 384,54 384,54 658,91 755,00 677,00
149 384,54 0,00 0,00 655,00 682,00
150 384,54 384,54 664,57 753,00 686,00
151 384,54 0,00 0,00 653,00 691,00
152 384,54 384,54 670,29 751,00 695,00
153 384,54 0,00 0,00 651,00 700,00
154 384,54 384,54 676,08 749,00 704,00
155 384,54 0,00 0,00 649,00 709,00
156 384,54 384,54 681,93 747,00 713,00
157 384,54 0,00 0,00 647,00 718,00
158 384,54 384,54 687,88 745,00 722,00
159 384,54 0,00 0,00 645,00 727,00
160 384,54 384,54 693,91 743,00 731,00
161 384,54 0,00 0,00 643,00 736,00
162 384,54 384,54 700,06 741,00 740,00
163 384,54 0,00 0,00 641,00 745,00
164 384,54 0,00 0,00 739,00 744,00
165 384,54 384,54 709,48 837,00 748,00
166 384,54 0,00 0,00 737,00 753,00
167 384,54 384,54 715,83 835,00 757,00
168 384,54 0,00 0,00 735,00 762,00
169 384,54 384,54 722,25 833,00 766,00
170 384,54 0,00 0,00 733,00 771,00
171 384,54 384,54 728,79 831,00 775,00
172 384,54 0,00 0,00 731,00 780,00
173 384,54 384,54 735,43 829,00 784,00
174 384,54 0,00 0,00 729,00 789,00
175 384,54 384,54 742,12 827,00 793,00
176 384,54 0,00 0,00 727,00 798,00
177 384,54 384,54 748,90 825,00 802,00
178 384,54 0,00 0,00 725,00 807,00
179 384,54 384,54 755,81 823,00 811,00
180 384,54 0,00 0,00 723,00 816,00
181 384,54 384,54 762,79 821,00 820,00
182 384,54 0,00 0,00 721,00 825,00
183 384,54 0,00 0,00 819,00 824,00
184 384,54 384,54 773,46 917,00 828,00
185 384,54 0,00 0,00 817,00 833,00
186 384,54 384,54 780,71 915,00 837,00
187 384,54 0,00 0,00 815,00 842,00
188 384,54 384,54 787,99 913,00 846,00
189 384,54 0,00 0,00 813,00 851,00
190 384,54 384,54 795,36 911,00 855,00
191 384,54 0,00 0,00 811,00 860,00
192 384,54 384,54 802,82 909,00 864,00
193 384,54 0,00 0,00 809,00 869,00
194 384,54 384,54 810,38 907,00 873,00
195 384,54 0,00 0,00 807,00 878,00
196 384,54 384,54 818,05 905,00 882,00
197 384,54 0,00 0,00 805,00 887,00
198 384,54 384,54 825,81 903,00 891,00
199 384,54 0,00 0,00 803,00 896,00
200 384,54 384,54 833,65 901,00 900,00
201 384,54 0,00 0,00 801,00 905,00
202 384,54 0,00 0,00 899,00 904,00
203 384,54 384,54 845,53 997,00 908,00
204 384,54 0,00 0,00 897,00 913,00
205 384,54 384,54 853,54 995,00 917,00
206 384,54 0,00 0,00 895,00 922,00
207 384,54 384,54 861,66 993,00 926,00
208 384,54 0,00 0,00 893,00 931,00
209 384,54 384,54 869,88 991,00 935,00
210 384,54 0,00 0,00 891,00 940,00
211 384,54 384,54 878,16 989,00 944,00
212 384,54 0,00 0,00 889,00 949,00
213 384,54 384,54 886,57 987,00 953,00
214 384,54 0,00 0,00 887,00 958,00
215 384,54 384,54 895,05 985,00 962,00
216 384,54 0,00 0,00 885,00 967,00
217 384,54 384,54 903,59 983,00 971,00
218 384,54 0,00 0,00 883,00 976,00
219 384,54 384,54 912,26 981,00 980,00
220 384,54 0,00 0,00 881,00 985,00
221 384,54 0,00 0,00 979,00 984,00
222 384,54 384,54 925,44 1.077,00 988,00
223 384,54 0,00 0,00 977,00 993,00
224 384,54 384,54 934,28 1.075,00 997,00
225 384,54 0,00 0,00 975,00 1.002,00
226 384,54 384,54 943,22 1.073,00 1.006,00
227 384,54 0,00 0,00 973,00 1.011,00
228 384,54 384,54 952,25 1.071,00 1.015,00
229 384,54 0,00 0,00 971,00 1.020,00
230 384,54 384,54 961,39 1.069,00 1.024,00
231 384,54 0,00 0,00 969,00 1.029,00
232 384,54 384,54 970,63 1.067,00 1.033,00
233 384,54 0,00 0,00 967,00 1.038,00
234 384,54 384,54 979,98 1.065,00 1.042,00
235 384,54 0,00 0,00 965,00 1.047,00
236 384,54 384,54 989,41 1.063,00 1.051,00
237 384,54 0,00 0,00 963,00 1.056,00
238 384,54 384,54 998,90 1.061,00 1.060,00
239 384,54 0,00 0,00 961,00 1.065,00
240 384,54 0,00 0,00 1.059,00 1.064,00
241 384,54 384,54 1.013,34 1.157,00 1.068,00
242 384,54 0,00 0,00 1.057,00 1.073,00
243 384,54 384,54 1.023,06 1.155,00 1.077,00
244 384,54 0,00 0,00 1.055,00 1.082,00
245 384,54 384,54 1.032,85 1.153,00 1.086,00
246 384,54 0,00 0,00 1.053,00 1.091,00
247 384,54 384,54 1.042,78 1.151,00 1.095,00
248 384,54 0,00 0,00 1.051,00 1.100,00
249 384,54 384,54 1.052,79 1.149,00 1.104,00
250 384,54 0,00 0,00 1.049,00 1.109,00
251 384,54 384,54 1.062,85 1.147,00 1.113,00
252 384,54 0,00 0,00 1.047,00 1.118,00
253 384,54 384,54 1.072,98 1.145,00 1.122,00
254 384,54 0,00 0,00 1.045,00 1.127,00
255 384,54 384,54 1.083,24 1.143,00 1.131,00
256 384,54 0,00 0,00 1.043,00 1.136,00
257 384,54 384,54 1.093,59 1.141,00 1.140,00
258 384,54 0,00 0,00 1.041,00 1.145,00
259 384,54 0,00 0,00 1.139,00 1.144,00
260 384,54 384,54 1.109,21 1.237,00 1.148,00
261 384,54 0,00 0,00 1.137,00 1.153,00
262 384,54 384,54 1.119,73 1.235,00 1.157,00
263 384,54 0,00 0,00 1.135,00 1.162,00
264 384,54 384,54 1.130,38 1.233,00 1.166,00
265 384,54 0,00 0,00 1.133,00 1.171,00
266 384,54 384,54 1.141,09 1.231,00 1.175,00
267 384,54 0,00 0,00 1.131,00 1.180,00
268 384,54 384,54 1.151,92 1.229,00 1.184,00
269 384,54 0,00 0,00 1.129,00 1.189,00
270 384,54 384,54 1.162,84 1.227,00 1.193,00
271 384,54 0,00 0,00 1.127,00 1.198,00
272 384,54 384,54 1.173,81 1.225,00 1.202,00
273 384,54 0,00 0,00 1.125,00 1.207,00
274 384,54 384,54 1.184,85 1.223,00 1.211,00
275 384,54 0,00 0,00 1.123,00 1.216,00
276 384,54 384,54 1.195,98 1.221,00 1.220,00
277 384,54 0,00 0,00 1.121,00 1.225,00
278 384,54 0,00 0,00 1.219,00 1.224,00
279 384,54 384,54 1.212,87 1.317,00 1.228,00
280 384,54 0,00 0,00 1.217,00 1.233,00
281 384,54 384,54 1.224,29 1.315,00 1.237,00
282 384,54 0,00 0,00 1.215,00 1.242,00
283 384,54 384,54 1.235,78 1.313,00 1.246,00
284 384,54 0,00 0,00 1.213,00 1.251,00
285 384,54 384,54 1.247,35 1.311,00 1.255,00
286 384,54 0,00 0,00 1.211,00 1.260,00
287 384,54 384,54 1.259,01 1.309,00 1.264,00
288 384,54 0,00 0,00 1.209,00 1.269,00
289 384,54 384,54 1.270,76 1.307,00 1.273,00
