1000
0 86,01 86,01 86,01 1,00 54,00 0
1 86,01 2,39 2,39 1,00 48,00 1235
2 86,01 2,32 0,96 1,00 49,00 1774
3 86,01 1,83 0,77 1,00 59,00 1865
4 86,01 1,83 0,78 1,00 71,00 1875
5 86,01 1,04 0,44 1,00 83,00 1879
6 86,01 1,04 0,44 1,00 95,00 1881
7 86,01 1,04 0,44 1,00 107,00 1881
8 86,01 1,04 0,44 1,00 119,00 1881
9 86,01 1,04 0,44 1,00 131,00 1881
10 86,01 1,04 0,44 1,00 143,00 1881
11 86,01 1,04 0,44 1,00 155,00 1881
12 86,01 1,04 0,44 1,00 167,00 1881
13 86,01 1,04 0,44 1,00 179,00 1881
14 86,01 1,04 0,44 1,00 191,00 1881
15 86,01 1,04 0,44 1,00 203,00 1881
16 86,01 1,04 0,44 1,00 215,00 1881
17 86,01 0,38 0,16 1,00 227,00 1881
18 86,01 0,38 0,16 1,00 239,00 1881
19 86,01 0,34 0,15 1,00 251,00 1881
20 86,01 0,34 0,15 1,00 263,00 1881
21 86,01 0,31 0,13 1,00 275,00 1881
22 86,01 0,31 0,13 1,00 287,00 1881
23 86,01 0,31 0,13 1,00 299,00 1881
24 86,01 0,31 0,13 1,00 311,00 1881
25 86,01 0,31 0,13 1,00 323,00 1881
26 86,01 0,31 0,13 1,00 335,00 1881
27 86,01 0,25 0,11 1,00 347,00 1881
28 86,01 0,25 0,11 1,00 359,00 1881
29 86,01 0,23 0,10 1,00 371,00 1881
30 86,01 0,23 0,10 99,00 383,00 1881
31 86,01 23,01 9,79 99,00 382,00 2704
32 86,01 23,46 9,15 99,00 375,00 3431
33 86,01 23,52 9,25 99,00 374,00 3821
34 86,01 23,65 9,69 99,00 372,00 4072
35 86,01 23,65 10,26 99,00 372,00 4286
36 86,01 23,20 9,69 99,00 379,00 4405
37 86,01 22,89 9,64 99,00 384,00 4558
38 86,01 22,35 9,63 99,00 393,00 4625
39 86,01 21,78 9,20 99,00 403,00 4666
40 86,01 21,18 8,92 99,00 414,00 4711
41 86,01 20,67 8,79 99,00 424,00 4762
42 86,01 20,18 8,68 99,00 434,00 4795
43 86,01 19,80 8,30 99,00 442,00 4831
44 86,01 19,35 8,29 99,00 452,00 4863
45 86,01 19,05 8,16 99,00 459,00 4893
46 86,01 18,59 7,96 99,00 470,00 4918
47 86,01 17,78 7,61 99,00 479,00 4938
48 86,01 17,85 7,64 99,00 489,00 4953
49 86,01 17,85 7,63 99,00 501,00 4969
50 86,01 17,06 7,29 99,00 511,00 4978
51 86,01 16,70 7,13 99,00 522,00 4991
52 86,01 16,70 7,13 99,00 534,00 5006
53 86,01 15,65 6,67 99,00 544,00 5016
54 86,01 15,68 6,68 99,00 555,00 5027
55 86,01 15,40 6,56 99,00 565,00 5033
56 86,01 15,10 6,42 99,00 576,00 5043
57 86,01 14,81 6,30 99,00 587,00 5047
58 86,01 14,53 6,17 99,00 598,00 5055
