500
145 430,34 0,00 0,00 259,00 296,00
146 430,34 430,34 342,48 357,00 297,00
147 430,34 0,00 0,00 257,00 299,00
148 430,34 430,34 342,03 355,00 300,00
149 430,34 0,00 0,00 255,00 302,00
150 430,34 430,34 341,58 353,00 303,00
151 430,34 0,00 0,00 253,00 305,00
152 430,34 430,34 341,14 351,00 306,00
153 430,34 0,00 0,00 251,00 308,00
154 430,34 430,34 340,69 349,00 309,00
155 430,34 0,00 0,00 249,00 311,00
156 430,34 430,34 340,25 347,00 312,00
157 430,34 0,00 0,00 247,00 314,00
158 430,34 430,34 339,80 345,00 315,00
159 430,34 0,00 0,00 245,00 317,00
160 430,34 430,34 339,36 343,00 318,00
161 430,34 0,00 0,00 243,00 320,00
162 430,34 430,34 338,95 341,00 321,00
163 430,34 0,00 0,00 241,00 323,00
164 430,34 430,34 338,54 339,00 324,00
165 430,34 0,00 0,00 239,00 326,00
166 430,34 430,34 338,14 337,00 327,00
167 430,34 0,00 0,00 237,00 329,00
168 430,34 430,34 337,73 335,00 330,00
169 430,34 0,00 0,00 235,00 332,00
170 430,34 430,34 337,33 333,00 333,00
171 430,34 0,00 0,00 233,00 335,00
172 430,34 0,00 0,00 331,00 333,00
173 430,34 430,34 336,75 429,00 334,00
174 430,34 0,00 0,00 329,00 336,00
175 430,34 430,34 336,37 427,00 337,00
176 430,34 0,00 0,00 327,00 339,00
177 430,34 430,34 336,01 425,00 340,00
178 430,34 0,00 0,00 325,00 342,00
179 430,34 430,34 335,68 423,00 343,00
180 430,34 0,00 0,00 323,00 345,00
181 430,34 430,34 335,35 421,00 346,00
182 430,34 0,00 0,00 321,00 348,00
183 430,34 430,34 335,02 419,00 349,00
184 430,34 0,00 0,00 319,00 351,00
185 430,34 430,34 334,70 417,00 352,00
186 430,34 0,00 0,00 317,00 354,00
187 430,34 430,34 334,41 415,00 355,00
188 430,34 0,00 0,00 315,00 357,00
189 430,34 430,34 334,10 413,00 358,00
190 430,34 0,00 0,00 313,00 360,00
191 430,34 430,34 333,81 411,00 361,00
192 430,34 0,00 0,00 311,00 363,00
193 430,34 430,34 333,51 409,00 364,00
194 430,34 0,00 0,00 309,00 366,00
195 430,34 430,34 333,22 407,00 367,00
196 430,34 0,00 0,00 307,00 369,00
197 430,34 430,34 332,96 405,00 370,00
198 430,34 0,00 0,00 305,00 372,00
199 430,34 430,34 332,69 403,00 373,00
200 430,34 0,00 0,00 303,00 375,00
201 430,34 430,34 332,43 401,00 376,00
202 430,34 0,00 0,00 301,00 378,00
203 430,34 430,34 332,19 399,00 379,00
204 430,34 0,00 0,00 299,00 381,00
205 430,34 430,34 331,92 397,00 382,00
206 430,34 0,00 0,00 297,00 384,00
207 430,34 430,34 331,65 395,00 385,00
208 430,34 0,00 0,00 295,00 387,00
209 430,34 430,34 331,39 393,00 388,00
210 430,34 0,00 0,00 293,00 390,00
211 430,34 430,34 331,15 391,00 391,00
212 430,34 0,00 0,00 291,00 393,00
213 430,34 0,00 0,00 389,00 391,00
214 430,34 430,34 330,82 487,00 392,00
215 430,34 0,00 0,00 387,00 394,00
216 430,34 430,34 330,58 485,00 395,00
217 430,34 0,00 0,00 385,00 397,00
218 430,34 430,34 330,35 483,00 398,00
219 430,34 0,00 0,00 383,00 400,00
220 430,34 430,34 330,13 481,00 401,00
221 430,34 0,00 0,00 381,00 403,00
222 430,34 430,34 329,92 479,00 404,00
223 430,34 0,00 0,00 379,00 406,00
224 430,34 430,34 329,71 477,00 407,00
225 430,34 0,00 0,00 377,00 409,00
226 430,34 430,34 329,50 475,00 410,00
227 430,34 0,00 0,00 375,00 412,00
228 430,34 430,34 329,29 473,00 413,00
229 430,34 0,00 0,00 373,00 415,00
230 430,34 430,34 329,11 471,00 416,00
231 430,34 0,00 0,00 371,00 418,00
232 430,34 430,34 328,93 469,00 419,00
233 430,34 0,00 0,00 369,00 421,00
234 430,34 430,34 328,75 467,00 422,00
235 430,34 0,00 0,00 367,00 424,00
236 430,34 430,34 328,58 465,00 425,00
237 430,34 0,00 0,00 365,00 427,00
238 430,34 430,34 328,41 463,00 428,00
239 430,34 0,00 0,00 363,00 430,00
240 430,34 430,34 328,25 461,00 431,00
241 430,34 0,00 0,00 361,00 433,00
242 430,34 430,34 328,09 459,00 434,00
243 430,34 0,00 0,00 359,00 436,00
244 430,34 430,34 327,92 457,00 437,00
245 430,34 0,00 0,00 357,00 439,00
246 430,34 430,34 327,78 455,00 440,00
247 430,34 0,00 0,00 355,00 442,00
