1000
0 196,11 196,11 196,11 1,00 83,00 0
1 196,11 3,06 3,06 1,00 82,00 1235
2 196,11 2,28 1,11 1,00 86,00 1774
3 196,11 2,36 1,22 1,00 101,00 1865
4 196,11 2,36 1,22 1,00 119,00 1875
5 196,11 2,36 1,22 1,00 137,00 1879
6 196,11 2,36 1,23 1,00 155,00 1881
7 196,11 2,36 1,23 1,00 173,00 1881
8 196,11 2,36 1,23 1,00 191,00 1881
9 196,11 2,36 1,23 1,00 209,00 1881
10 196,11 2,36 1,23 1,00 227,00 1881
11 196,11 2,36 1,23 1,00 245,00 1881
12 196,11 2,36 1,23 1,00 263,00 1881
13 196,11 2,36 1,23 1,00 281,00 1881
14 196,11 2,36 1,23 1,00 299,00 1881
15 196,11 2,36 1,23 1,00 317,00 1881
16 196,11 2,36 1,23 1,00 335,00 1881
17 196,11 2,36 1,23 1,00 353,00 1881
18 196,11 2,36 1,23 1,00 371,00 1881
19 196,11 2,36 1,23 1,00 389,00 1881
20 196,11 2,36 1,23 1,00 407,00 1881
21 196,11 2,36 1,23 1,00 425,00 1881
22 196,11 2,36 1,23 1,00 443,00 1881
23 196,11 2,36 1,23 1,00 461,00 1881
24 196,11 2,36 1,23 1,00 479,00 1881
25 196,11 2,36 1,23 1,00 497,00 1881
26 196,11 2,36 1,23 1,00 515,00 1881
27 196,11 2,36 1,23 1,00 533,00 1881
28 196,11 2,36 1,23 1,00 551,00 1881
29 196,11 2,36 1,23 1,00 569,00 1881
30 196,11 2,36 1,23 93,00 587,00 1881
31 196,11 34,28 17,81 93,00 550,00 2704
32 196,11 37,45 17,84 93,00 505,00 3431
33 196,11 37,76 18,44 93,00 483,00 3821
34 196,11 40,44 20,48 93,00 469,00 4072
35 196,11 41,74 22,29 93,00 455,00 4286
36 196,11 41,74 21,62 93,00 455,00 4405
37 196,11 40,99 21,34 93,00 445,00 4558
38 196,11 41,83 22,46 93,00 454,00 4625
39 196,11 39,14 20,45 93,00 466,00 4666
40 196,11 39,56 20,60 93,00 479,00 4711
41 196,11 38,72 20,37 93,00 489,00 4762
42 196,11 37,53 19,99 93,00 504,00 4795
43 196,11 36,77 19,07 93,00 514,00 4831
44 196,11 34,48 18,32 93,00 529,00 4863
45 196,11 34,74 18,43 93,00 543,00 4893
46 196,11 33,84 17,94 93,00 557,00 4918
47 196,11 33,04 17,52 93,00 570,00 4938
48 196,11 32,11 17,02 93,00 586,00 4953
49 196,11 30,30 16,04 93,00 602,00 4969
50 196,11 29,46 15,59 93,00 619,00 4978
51 196,11 29,51 15,60 93,00 636,00 4991
52 196,11 27,93 14,76 93,00 653,00 5006
53 196,11 27,18 14,36 93,00 671,00 5016
54 196,11 26,47 13,97 93,00 689,00 5027
55 196,11 26,47 13,96 93,00 707,00 5033
56 196,11 26,47 13,95 93,00 725,00 5043
57 196,11 26,47 13,94 93,00 743,00 5047
58 196,11 26,47 13,94 93,00 761,00 5055
59 196,11 26,47 13,93 93,00 779,00 5061
60 196,11 26,47 13,92 1,00 797,00 5068
61 196,11 26,47 13,91 1,00 815,00 5076
62 196,11 26,47 13,91 1,00 833,00 5097
63 196,11 26,47 13,89 1,00 851,00 5110
64 196,11 26,47 13,88 1,00 869,00 5114
65 196,11 26,47 13,88 1,00 887,00 5115
66 196,11 26,47 13,87 1,00 905,00 5118
67 196,11 26,47 13,87 1,00 923,00 5123
68 196,11 26,47 13,88 1,00 941,00 5124
69 196,11 26,47 13,84 1,00 959,00 5125
70 196,11 26,47 13,84 1,00 977,00 5125
71 196,11 26,47 13,84 1,00 995,00 5125
72 196,11 26,47 13,84 1,00 1.013,00 5125
73 196,11 26,47 13,84 1,00 1.031,00 5125
74 196,11 0,19 0,10 1,00 1.049,00 5126
75 196,11 0,19 0,10 1,00 1.067,00 5126
76 196,11 0,19 0,10 1,00 1.085,00 5126
77 196,11 0,19 0,10 1,00 1.103,00 5126
78 196,11 0,19 0,10 1,00 1.121,00 5127
79 196,11 0,19 0,10 1,00 1.139,00 5128
80 196,11 0,19 0,10 1,00 1.157,00 5128
