1000
0 221,11 221,11 221,11 1,00 94,00 0
1 221,11 2,43 2,43 1,00 99,00 1235
2 221,11 2,43 1,80 1,00 107,00 1774
3 221,11 2,43 1,88 1,00 115,00 1865
4 221,11 2,43 1,90 1,00 123,00 1875
5 221,11 2,43 1,91 1,00 131,00 1879
6 221,11 2,43 1,93 1,00 139,00 1881
7 221,11 2,43 1,94 1,00 147,00 1881
8 221,11 1,43 1,14 1,00 155,00 1881
9 221,11 1,43 1,14 1,00 163,00 1881
10 221,11 1,43 1,14 1,00 171,00 1881
11 221,11 1,43 1,14 1,00 179,00 1881
12 221,11 1,43 1,14 1,00 187,00 1881
13 221,11 1,43 1,14 1,00 195,00 1881
14 221,11 1,43 1,14 1,00 203,00 1881
15 221,11 1,43 1,14 1,00 211,00 1881
16 221,11 1,43 1,14 1,00 219,00 1881
17 221,11 1,43 1,14 1,00 227,00 1881
18 221,11 1,43 1,14 1,00 235,00 1881
19 221,11 1,43 1,14 1,00 243,00 1881
20 221,11 1,43 1,14 1,00 251,00 1881
21 221,11 1,43 1,14 1,00 259,00 1881
22 221,11 1,43 1,14 1,00 267,00 1881
23 221,11 1,43 1,14 1,00 275,00 1881
24 221,11 1,43 1,14 1,00 283,00 1881
25 221,11 1,43 1,14 1,00 291,00 1881
26 221,11 1,43 1,14 1,00 299,00 1881
27 221,11 1,43 1,14 1,00 307,00 1881
28 221,11 1,43 1,14 1,00 315,00 1881
29 221,11 1,43 1,14 1,00 323,00 1881
30 221,11 0,67 0,53 99,00 331,00 1881
31 221,11 66,33 52,83 99,00 338,00 2704
32 221,11 64,95 57,43 99,00 345,00 3431
33 221,11 64,95 59,46 99,00 353,00 3821
34 221,11 64,95 65,62 99,00 361,00 4072
35 221,11 64,95 69,77 99,00 369,00 4286
36 221,11 64,95 67,83 99,00 377,00 4405
37 221,11 64,95 67,43 99,00 385,00 4558
38 221,11 64,95 69,55 99,00 393,00 4625
39 221,11 64,95 68,80 99,00 401,00 4666
40 221,11 64,95 68,60 99,00 409,00 4711
41 221,11 64,95 69,47 99,00 417,00 4762
42 221,11 64,95 70,41 99,00 425,00 4795
43 221,11 64,95 68,71 99,00 433,00 4831
44 221,11 64,95 70,34 99,00 441,00 4863
45 221,11 64,95 70,36 99,00 449,00 4893
46 221,11 64,95 70,36 99,00 457,00 4918
47 221,11 47,07 50,99 99,00 465,00 4938
48 221,11 47,07 50,99 99,00 473,00 4953
49 221,11 47,07 50,99 99,00 481,00 4969
50 221,11 47,07 50,99 99,00 489,00 4978
51 221,11 47,07 50,99 99,00 497,00 4991
52 221,11 47,07 50,99 99,00 505,00 5006
53 221,11 47,07 50,98 99,00 513,00 5016
54 221,11 47,07 50,98 99,00 521,00 5027
55 221,11 41,38 44,82 99,00 529,00 5033
56 221,11 41,38 44,82 99,00 537,00 5043
57 221,11 41,38 44,81 99,00 545,00 5047
58 221,11 41,38 44,81 99,00 553,00 5055
59 221,11 41,38 44,81 99,00 561,00 5061
60 221,11 41,38 44,81 1,00 569,00 5068
61 221,11 41,38 44,81 1,00 577,00 5076
62 221,11 41,38 44,81 1,00 585,00 5097
63 221,11 41,38 44,82 1,00 593,00 5110
64 221,11 41,38 44,82 1,00 601,00 5114
65 221,11 41,38 44,82 1,00 609,00 5115
66 221,11 41,38 44,81 1,00 617,00 5118
67 221,11 41,38 44,81 1,00 625,00 5123
68 221,11 41,38 44,82 1,00 633,00 5124
69 221,11 41,38 44,82 1,00 641,00 5125
70 221,11 41,38 44,82 1,00 649,00 5125
71 221,11 41,38 44,82 1,00 657,00 5125
72 221,11 41,38 44,82 1,00 665,00 5125
73 221,11 41,38 44,82 1,00 673,00 5125
74 221,11 0,32 0,35 1,00 681,00 5126
75 221,11 0,32 0,35 1,00 689,00 5126
76 221,11 0,32 0,35 1,00 697,00 5126
77 221,11 0,32 0,35 1,00 705,00 5126
78 221,11 0,31 0,34 1,00 713,00 5127
79 221,11 0,31 0,34 1,00 721,00 5128
80 221,11 0,31 0,34 1,00 729,00 5128
81 221,11 0,30 0,32 1,00 737,00 5128
82 221,11 0,30 0,32 1,00 745,00 5128
83 221,11 0,30 0,32 1,00 753,00 5128
84 221,11 0,30 0,32 1,00 761,00 5128
85 221,11 0,30 0,32 1,00 769,00 5128
86 221,11 0,30 0,32 1,00 777,00 5128
87 221,11 0,30 0,32 1,00 785,00 5128
88 221,11 0,30 0,32 1,00 793,00 5129
89 221,11 0,30 0,32 1,00 801,00 5133
90 221,11 0,30 0,32 99,00 809,00 5133
91 221,11 27,09 29,34 99,00 816,00 5240
92 221,11 27,09 29,34 99,00 824,00 5280
93 221,11 27,09 29,34 99,00 832,00 5298
94 221,11 27,09 29,34 99,00 840,00 5308
95 221,11 27,09 29,34 99,00 848,00 5318
96 221,11 27,09 29,34 99,00 856,00 5327
97 221,11 27,09 29,34 99,00 864,00 5336
98 221,11 27,09 29,34 99,00 872,00 5340
99 221,11 27,09 29,34 99,00 880,00 5347
100 221,11 27,09 29,34 99,00 888,00 5351
101 221,11 27,09 29,34 99,00 896,00 5353
102 221,11 27,09 29,34 99,00 904,00 5354
103 221,11 27,09 29,34 99,00 912,00 5357
104 221,11 27,09 29,34 99,00 920,00 5357
105 221,11 27,09 29,34 99,00 928,00 5357
106 221,11 27,09 29,34 99,00 936,00 5357
107 221,11 27,09 29,34 99,00 944,00 5357
108 221,11 27,09 29,34 99,00 952,00 5357
109 221,11 27,09 29,34 99,00 960,00 5359
110 221,11 22,61 24,49 99,00 968,00 5359
111 221,11 22,61 24,49 99,00 976,00 5360
112 221,11 22,61 24,49 99,00 984,00 5362
113 221,11 22,61 24,49 99,00 992,00 5364
114 221,11 21,89 23,71 99,00 1.000,00 5366
115 221,11 21,89 23,71 99,00 1.008,00 5366
116 221,11 21,89 23,71 99,00 1.016,00 5366
117 221,11 21,89 23,71 99,00 1.024,00 5366
118 221,11 21,89 23,71 99,00 1.032,00 5367
119 221,11 21,89 23,71 99,00 1.040,00 5368
120 221,11 21,89 23,71 1,00 1.048,00 5368
121 221,11 21,89 23,71 1,00 1.056,00 5378
122 221,11 21,89 23,71 1,00 1.064,00 5387
123 221,11 21,89 23,71 1,00 1.072,00 5391
124 221,11 21,89 23,71 1,00 1.080,00 5392
125 221,11 21,89 23,71 1,00 1.088,00 5392
126 221,11 21,89 23,71 1,00 1.096,00 5392
127 221,11 21,89 23,71 1,00 1.104,00 5392
128 221,11 21,89 23,71 1,00 1.112,00 5392
129 221,11 21,89 23,71 1,00 1.120,00 5392
130 221,11 0,20 0,21 1,00 1.128,00 5392
131 221,11 0,20 0,21 1,00 1.136,00 5392
132 221,11 0,20 0,21 1,00 1.144,00 5392
133 221,11 0,20 0,21 1,00 1.152,00 5392
134 221,11 0,20 0,21 1,00 1.160,00 5392
135 221,11 0,20 0,21 1,00 1.168,00 5392
136 221,11 0,20 0,21 1,00 1.176,00 5392
137 221,11 0,20 0,21 1,00 1.184,00 5392
138 221,11 0,20 0,21 1,00 1.192,00 5392
139 221,11 0,20 0,21 1,00 1.200,00 5392
140 221,11 0,20 0,21 1,00 1.208,00 5397
141 221,11 0,20 0,21 1,00 1.216,00 5398
142 221,11 0,20 0,21 1,00 1.224,00 5398
143 221,11 0,20 0,21 1,00 1.232,00 5398
144 221,11 0,20 0,21 1,00 1.240,00 5398
145 221,11 0,20 0,21 1,00 1.248,00 5398
146 221,11 0,20 0,21 1,00 1.256,00 5398
147 221,11 0,20 0,21 1,00 1.264,00 5398
148 221,11 0,20 0,21 1,00 1.272,00 5398
149 221,11 0,20 0,21 1,00 1.280,00 5398
150 221,11 0,20 0,21 99,00 1.288,00 5398
151 221,11 16,90 18,31 99,00 1.295,00 5443
152 221,11 16,90 18,31 99,00 1.303,00 5461
153 221,11 16,90 18,31 99,00 1.311,00 5469
154 221,11 16,90 18,31 99,00 1.319,00 5476
155 221,11 16,90 18,31 99,00 1.327,00 5480
156 221,11 16,90 18,31 99,00 1.335,00 5482
157 221,11 16,90 18,31 99,00 1.343,00 5482
158 221,11 16,90 18,31 99,00 1.351,00 5492
159 221,11 16,90 18,31 99,00 1.359,00 5501
160 221,11 16,90 18,31 99,00 1.367,00 5510
161 221,11 16,90 18,31 99,00 1.375,00 5520
162 221,11 16,90 18,31 99,00 1.383,00 5532
163 221,11 16,90 18,31 99,00 1.391,00 5544
164 221,11 16,90 18,31 99,00 1.399,00 5553
165 221,11 16,90 18,31 99,00 1.407,00 5560
166 221,11 16,90 18,31 99,00 1.415,00 5566
167 221,11 16,90 18,31 99,00 1.423,00 5570
168 221,11 16,90 18,31 99,00 1.431,00 5573
169 221,11 16,90 18,31 99,00 1.439,00 5575
170 221,11 16,90 18,31 99,00 1.447,00 5576
171 221,11 16,90 18,31 99,00 1.455,00 5577
172 221,11 16,90 18,31 99,00 1.463,00 5578
173 221,11 16,90 18,31 99,00 1.471,00 5579
174 221,11 16,90 18,31 99,00 1.479,00 5580
175 221,11 16,90 18,31 99,00 1.487,00 5582
176 221,11 16,90 18,31 99,00 1.495,00 5583
177 221,11 16,90 18,31 99,00 1.503,00 5584
178 221,11 16,90 18,31 99,00 1.511,00 5587
179 221,11 16,90 18,31 99,00 1.519,00 5589
180 221,11 16,90 18,31 1,00 1.527,00 5591
181 221,11 16,90 18,31 1,00 1.535,00 5600
182 221,11 16,90 18,31 1,00 1.543,00 5601
183 221,11 16,90 18,31 1,00 1.551,00 5602
184 221,11 16,90 18,31 1,00 1.559,00 5602
185 221,11 16,90 18,31 1,00 1.567,00 5602
186 221,11 16,90 18,31 1,00 1.575,00 5602
187 221,11 16,90 18,31 1,00 1.583,00 5602
188 221,11 16,90 18,31 1,00 1.591,00 5602
189 221,11 16,90 18,31 1,00 1.599,00 5602
190 221,11 16,90 18,31 1,00 1.607,00 5602
191 221,11 16,90 18,31 1,00 1.615,00 5604
192 221,11 16,90 18,31 1,00 1.623,00 5606
193 221,11 16,90 18,31 1,00 1.631,00 5607
194 221,11 16,90 18,31 1,00 1.639,00 5611
195 221,11 16,90 18,31 1,00 1.647,00 5613
196 221,11 16,90 18,31 1,00 1.655,00 5613
197 221,11 16,90 18,31 1,00 1.663,00 5613
198 221,11 16,90 18,31 1,00 1.671,00 5613
199 221,11 16,90 18,31 1,00 1.679,00 5613
200 221,11 0,13 0,14 1,00 1.687,00 5613
201 221,11 0,13 0,14 1,00 1.695,00 5613
202 221,11 0,13 0,14 1,00 1.703,00 5613
203 221,11 0,13 0,14 1,00 1.711,00 5613
204 221,11 0,13 0,14 1,00 1.719,00 5613
205 221,11 0,13 0,14 1,00 1.727,00 5613
206 221,11 0,13 0,14 1,00 1.735,00 5613
207 221,11 0,13 0,14 1,00 1.743,00 5613
208 221,11 0,13 0,14 1,00 1.751,00 5614
209 221,11 0,13 0,14 1,00 1.759,00 5616
210 221,11 0,13 0,14 99,00 1.767,00 5616
211 221,11 0,13 0,14 99,00 1.775,00 5655
212 221,11 12,34 13,37 99,00 1.782,00 5665
213 221,11 12,23 13,24 99,00 1.790,00 5671
214 221,11 12,23 13,25 99,00 1.798,00 5671
215 221,11 12,23 13,25 99,00 1.806,00 5671
216 221,11 12,23 13,25 99,00 1.814,00 5671
217 221,11 12,23 13,25 99,00 1.822,00 5671
218 221,11 12,23 13,25 99,00 1.830,00 5671
219 221,11 12,23 13,25 99,00 1.838,00 5671
220 221,11 12,23 13,25 99,00 1.846,00 5671
221 221,11 12,23 13,25 99,00 1.854,00 5671
222 221,11 12,23 13,25 99,00 1.862,00 5671
223 221,11 12,23 13,25 99,00 1.870,00 5671
224 221,11 12,23 13,25 99,00 1.878,00 5671
225 221,11 11,61 12,57 99,00 1.886,00 5671
226 221,11 11,61 12,57 99,00 1.894,00 5671
227 221,11 11,61 12,57 99,00 1.902,00 5671
228 221,11 11,46 12,41 99,00 1.910,00 5671
229 221,11 11,46 12,41 99,00 1.918,00 5671
230 221,11 11,46 12,41 99,00 1.926,00 5671
231 221,11 11,46 12,41 99,00 1.934,00 5671
232 221,11 11,27 12,21 99,00 1.942,00 5671
233 221,11 11,27 12,21 99,00 1.950,00 5671
234 221,11 11,27 12,21 99,00 1.958,00 5671
235 221,11 11,27 12,21 99,00 1.966,00 5671
236 221,11 11,27 12,21 99,00 1.974,00 5671
237 221,11 11,27 12,21 99,00 1.982,00 5671
238 221,11 11,27 12,21 99,00 1.990,00 5671
239 221,11 11,27 12,21 99,00 1.998,00 5671
240 221,11 11,27 12,21 3,00 2.006,00 5671
241 221,11 11,27 12,21 3,00 2.014,00 5686
242 221,11 11,27 12,21 3,00 2.022,00 5686
243 221,11 11,27 12,21 3,00 2.030,00 5687
244 221,11 11,27 12,21 3,00 2.038,00 5688
245 221,11 11,27 12,21 3,00 2.046,00 5688
246 221,11 11,27 12,21 3,00 2.054,00 5688
247 221,11 11,27 12,21 3,00 2.062,00 5688
248 221,11 11,27 12,21 3,00 2.070,00 5688
249 221,11 11,27 12,21 3,00 2.078,00 5691
250 221,11 11,27 12,21 3,00 2.086,00 5693
251 221,11 0,32 0,34 3,00 2.094,00 5693
252 221,11 0,32 0,34 3,00 2.102,00 5693
253 221,11 0,32 0,34 3,00 2.110,00 5694
254 221,11 0,31 0,34 3,00 2.118,00 5694
255 221,11 0,31 0,34 3,00 2.126,00 5694
256 221,11 0,31 0,34 3,00 2.134,00 5694
257 221,11 0,31 0,34 3,00 2.142,00 5694
258 221,11 0,31 0,34 3,00 2.150,00 5694
259 221,11 0,31 0,34 3,00 2.158,00 5694
260 221,11 0,31 0,34 3,00 2.166,00 5694
261 221,11 0,31 0,34 3,00 2.174,00 5694
262 221,11 0,31 0,34 3,00 2.182,00 5694
263 221,11 0,30 0,33 3,00 2.190,00 5694
264 221,11 0,30 0,33 3,00 2.198,00 5694
265 221,11 0,30 0,33 3,00 2.206,00 5694
266 221,11 0,30 0,33 3,00 2.214,00 5694
267 221,11 0,30 0,33 3,00 2.222,00 5694
268 221,11 0,30 0,32 3,00 2.230,00 5694
269 221,11 0,30 0,32 3,00 2.238,00 5694
270 221,11 0,30 0,32 101,00 2.246,00 5694
271 221,11 0,30 0,32 101,00 2.254,00 5724
272 221,11 0,30 0,32 101,00 2.262,00 5736
273 221,11 0,30 0,32 101,00 2.270,00 5742
274 221,11 0,30 0,32 101,00 2.278,00 5742
275 221,11 0,30 0,32 101,00 2.286,00 5742
276 221,11 9,73 10,54 101,00 2.294,00 5742
277 221,11 9,73 10,54 101,00 2.302,00 5742
278 221,11 9,73 10,54 101,00 2.310,00 5742
279 221,11 9,73 10,54 101,00 2.318,00 5742
280 221,11 9,73 10,54 101,00 2.326,00 5742
281 221,11 9,73 10,54 101,00 2.334,00 5742
282 221,11 9,73 10,54 101,00 2.342,00 5742
283 221,11 9,50 10,29 101,00 2.350,00 5742
284 221,11 9,50 10,29 101,00 2.358,00 5742
285 221,11 9,50 10,29 101,00 2.366,00 5742
286 221,11 9,50 10,29 101,00 2.374,00 5742
287 221,11 9,50 10,29 101,00 2.382,00 5742
288 221,11 9,50 10,29 101,00 2.390,00 5742
289 221,11 9,50 10,29 101,00 2.398,00 5742
290 221,11 9,50 10,29 101,00 2.406,00 5742
291 221,11 9,50 10,29 101,00 2.414,00 5742
292 221,11 9,50 10,29 101,00 2.422,00 5742
293 221,11 9,50 10,29 101,00 2.430,00 5742
294 221,11 9,50 10,29 101,00 2.438,00 5742
295 221,11 9,50 10,29 101,00 2.446,00 5742
296 221,11 9,50 10,29 101,00 2.454,00 5742
297 221,11 9,50 10,29 101,00 2.462,00 5742
298 221,11 9,50 10,29 101,00 2.470,00 5742
299 221,11 9,50 10,29 101,00 2.478,00 5742
300 221,11 9,50 10,29 5,00 2.486,00 5742
301 221,11 9,50 10,29 5,00 2.494,00 5752
302 221,11 9,50 10,29 5,00 2.502,00 5752
303 221,11 9,50 10,29 5,00 2.510,00 5752
304 221,11 9,50 10,29 5,00 2.518,00 5752
305 221,11 9,50 10,29 5,00 2.526,00 5752
306 221,11 9,50 10,29 5,00 2.534,00 5762
307 221,11 9,50 10,29 5,00 2.542,00 5773
308 221,11 9,50 10,29 5,00 2.550,00 5778
309 221,11 0,43 0,47 5,00 2.558,00 5780
310 221,11 0,43 0,47 5,00 2.566,00 5780
311 221,11 0,43 0,47 5,00 2.574,00 5780
312 221,11 0,43 0,47 5,00 2.582,00 5780
313 221,11 0,43 0,47 5,00 2.590,00 5782
314 221,11 0,43 0,47 5,00 2.598,00 5783
315 221,11 0,43 0,47 5,00 2.606,00 5783
316 221,11 0,43 0,47 5,00 2.614,00 5783
317 221,11 0,42 0,46 5,00 2.622,00 5783
318 221,11 0,42 0,46 5,00 2.630,00 5783
319 221,11 0,42 0,45 5,00 2.638,00 5783
320 221,11 0,42 0,45 5,00 2.646,00 5783
321 221,11 0,42 0,45 5,00 2.654,00 5783
322 221,11 0,42 0,45 5,00 2.662,00 5783
323 221,11 0,42 0,45 5,00 2.670,00 5783
324 221,11 0,42 0,45 5,00 2.678,00 5783
325 221,11 0,42 0,45 5,00 2.686,00 5783
326 221,11 0,42 0,45 5,00 2.694,00 5783
327 221,11 0,42 0,45 5,00 2.702,00 5783
328 221,11 0,42 0,45 5,00 2.710,00 5783
329 221,11 0,41 0,44 5,00 2.718,00 5783
330 221,11 0,41 0,44 97,00 2.726,00 5783
331 221,11 0,41 0,44 97,00 2.734,00 5809
332 221,11 0,41 0,44 97,00 2.742,00 5815
333 221,11 0,41 0,44 97,00 2.750,00 5818
334 221,11 0,41 0,44 97,00 2.758,00 5819
335 221,11 0,41 0,44 97,00 2.766,00 5820
336 221,11 0,41 0,44 97,00 2.774,00 5820
337 221,11 0,41 0,44 97,00 2.782,00 5820
338 221,11 0,41 0,44 97,00 2.790,00 5820
339 221,11 0,41 0,44 97,00 2.798,00 5820
340 221,11 7,64 8,28 97,00 2.806,00 5820
341 221,11 7,64 8,28 97,00 2.814,00 5820
342 221,11 7,64 8,28 97,00 2.822,00 5820
343 221,11 7,64 8,28 97,00 2.830,00 5820
344 221,11 7,64 8,28 97,00 2.838,00 5820
345 221,11 7,64 8,28 97,00 2.846,00 5820
346 221,11 7,51 8,14 97,00 2.854,00 5820
347 221,11 7,51 8,14 97,00 2.862,00 5820
348 221,11 7,51 8,14 97,00 2.870,00 5820
349 221,11 7,51 8,14 97,00 2.878,00 5820
350 221,11 7,51 8,14 97,00 2.886,00 5820
351 221,11 7,51 8,14 97,00 2.894,00 5820
