1000
125 273,58 0,21 0,17 1,00 1.336,00 5392
126 273,58 0,21 0,17 1,00 1.346,00 5392
127 273,58 0,21 0,17 1,00 1.356,00 5392
128 273,58 0,21 0,17 1,00 1.366,00 5392
129 273,58 0,21 0,17 1,00 1.376,00 5392
130 273,58 0,21 0,17 1,00 1.386,00 5392
131 273,58 0,20 0,16 1,00 1.396,00 5392
132 273,58 0,20 0,16 1,00 1.406,00 5392
133 273,58 0,20 0,16 1,00 1.416,00 5392
134 273,58 0,20 0,16 1,00 1.426,00 5392
135 273,58 0,20 0,16 1,00 1.436,00 5392
136 273,58 0,20 0,16 1,00 1.446,00 5392
137 273,58 0,20 0,16 1,00 1.456,00 5392
138 273,58 0,20 0,16 1,00 1.466,00 5392
139 273,58 0,20 0,16 1,00 1.476,00 5392
140 273,58 0,20 0,16 1,00 1.486,00 5397
141 273,58 0,20 0,16 1,00 1.496,00 5398
142 273,58 0,20 0,16 1,00 1.506,00 5398
143 273,58 0,18 0,15 1,00 1.516,00 5398
144 273,58 0,18 0,15 1,00 1.526,00 5398
145 273,58 0,18 0,15 1,00 1.536,00 5398
146 273,58 0,18 0,15 1,00 1.546,00 5398
147 273,58 0,18 0,15 1,00 1.556,00 5398
148 273,58 0,18 0,15 1,00 1.566,00 5398
149 273,58 0,18 0,15 1,00 1.576,00 5398
150 273,58 0,18 0,15 99,00 1.586,00 5398
151 273,58 17,09 14,02 99,00 1.595,00 5443
152 273,58 17,09 14,02 99,00 1.605,00 5461
153 273,58 17,09 14,02 99,00 1.615,00 5469
154 273,58 17,09 14,02 99,00 1.625,00 5476
155 273,58 17,09 14,02 99,00 1.635,00 5480
156 273,58 17,09 14,02 99,00 1.645,00 5482
157 273,58 17,09 14,02 99,00 1.655,00 5482
158 273,58 17,09 14,02 99,00 1.665,00 5492
159 273,58 17,09 14,02 99,00 1.675,00 5501
160 273,58 17,09 14,02 99,00 1.685,00 5510
161 273,58 17,09 14,02 99,00 1.695,00 5520
162 273,58 17,09 14,02 99,00 1.705,00 5532
163 273,58 17,09 14,02 99,00 1.715,00 5544
164 273,58 17,09 14,02 99,00 1.725,00 5553
165 273,58 17,09 14,02 99,00 1.735,00 5560
166 273,58 17,09 14,02 99,00 1.745,00 5566
167 273,58 17,09 14,02 99,00 1.755,00 5570
168 273,58 17,09 14,02 99,00 1.765,00 5573
169 273,58 17,09 14,02 99,00 1.775,00 5575
170 273,58 17,09 14,02 99,00 1.785,00 5576
171 273,58 17,09 14,02 99,00 1.795,00 5577
172 273,58 17,09 14,02 99,00 1.805,00 5578
173 273,58 17,09 14,02 99,00 1.815,00 5579
174 273,58 17,09 14,02 99,00 1.825,00 5580
175 273,58 17,09 14,02 99,00 1.835,00 5582
176 273,58 14,68 12,05 99,00 1.845,00 5583
177 273,58 14,68 12,05 99,00 1.855,00 5584
178 273,58 14,68 12,05 99,00 1.865,00 5587
179 273,58 14,68 12,05 99,00 1.875,00 5589
180 273,58 14,68 12,05 1,00 1.885,00 5591
181 273,58 14,68 12,05 1,00 1.895,00 5600
182 273,58 14,68 12,05 1,00 1.905,00 5601
183 273,58 14,68 12,05 1,00 1.915,00 5602
184 273,58 14,68 12,05 1,00 1.925,00 5602
185 273,58 14,68 12,05 1,00 1.935,00 5602
186 273,58 14,68 12,05 1,00 1.945,00 5602
187 273,58 14,68 12,05 1,00 1.955,00 5602
188 273,58 14,68 12,05 1,00 1.965,00 5602
189 273,58 14,68 12,05 1,00 1.975,00 5602
190 273,58 14,68 12,05 1,00 1.985,00 5602
191 273,58 14,68 12,05 1,00 1.995,00 5604
192 273,58 14,68 12,05 1,00 2.005,00 5606
193 273,58 14,68 12,05 1,00 2.015,00 5607
194 273,58 14,68 12,05 1,00 2.025,00 5611
195 273,58 14,68 12,05 1,00 2.035,00 5613
196 273,58 14,68 12,05 1,00 2.045,00 5613
197 273,58 14,68 12,05 1,00 2.055,00 5613
198 273,58 14,68 12,05 1,00 2.065,00 5613
199 273,58 0,13 0,11 1,00 2.075,00 5613
200 273,58 0,13 0,11 1,00 2.085,00 5613
201 273,58 0,13 0,11 1,00 2.095,00 5613
202 273,58 0,13 0,11 1,00 2.105,00 5613
203 273,58 0,13 0,11 1,00 2.115,00 5613
204 273,58 0,13 0,11 1,00 2.125,00 5613
205 273,58 0,13 0,11 1,00 2.135,00 5613
206 273,58 0,13 0,11 1,00 2.145,00 5613
207 273,58 0,13 0,11 1,00 2.155,00 5613
208 273,58 0,13 0,11 1,00 2.165,00 5614
209 273,58 0,13 0,11 1,00 2.175,00 5616
210 273,58 0,13 0,11 99,00 2.185,00 5616
211 273,58 12,40 10,18 99,00 2.194,00 5655
212 273,58 12,40 10,18 99,00 2.204,00 5665
213 273,58 12,40 10,18 99,00 2.214,00 5671
214 273,58 12,40 10,18 99,00 2.224,00 5671
215 273,58 12,40 10,18 99,00 2.234,00 5671
216 273,58 12,40 10,18 99,00 2.244,00 5671
217 273,58 12,40 10,18 99,00 2.254,00 5671
218 273,58 12,40 10,18 99,00 2.264,00 5671
219 273,58 12,40 10,18 99,00 2.274,00 5671
220 273,58 12,40 10,18 99,00 2.284,00 5671
221 273,58 11,81 9,69 99,00 2.294,00 5671
222 273,58 11,81 9,69 99,00 2.304,00 5671
223 273,58 11,81 9,69 99,00 2.314,00 5671
224 273,58 11,81 9,69 99,00 2.324,00 5671
225 273,58 11,81 9,69 99,00 2.334,00 5671
226 273,58 11,81 9,69 99,00 2.344,00 5671
227 273,58 11,81 9,69 99,00 2.354,00 5671
228 273,58 11,81 9,69 99,00 2.364,00 5671
229 273,58 11,41 9,36 99,00 2.374,00 5671
230 273,58 11,41 9,36 99,00 2.384,00 5671
231 273,58 11,41 9,36 99,00 2.394,00 5671
232 273,58 11,41 9,36 99,00 2.404,00 5671
233 273,58 11,41 9,36 99,00 2.414,00 5671
234 273,58 11,41 9,36 99,00 2.424,00 5671
235 273,58 11,41 9,36 99,00 2.434,00 5671
236 273,58 11,41 9,36 99,00 2.444,00 5671
237 273,58 11,41 9,36 99,00 2.454,00 5671
238 273,58 10,99 9,02 99,00 2.464,00 5671
239 273,58 10,99 9,02 99,00 2.474,00 5671
240 273,58 10,99 9,02 5,00 2.484,00 5671
241 273,58 10,99 9,02 5,00 2.494,00 5686
242 273,58 10,99 9,02 5,00 2.504,00 5686
243 273,58 10,99 9,02 5,00 2.514,00 5687
244 273,58 10,99 9,02 5,00 2.524,00 5688
245 273,58 10,99 9,02 5,00 2.534,00 5688
246 273,58 10,99 9,02 5,00 2.544,00 5688
247 273,58 10,99 9,02 5,00 2.554,00 5688
248 273,58 0,53 0,44 5,00 2.564,00 5688
249 273,58 0,53 0,44 5,00 2.574,00 5691
250 273,58 0,53 0,44 5,00 2.584,00 5693
251 273,58 0,53 0,44 5,00 2.594,00 5693
252 273,58 0,53 0,44 5,00 2.604,00 5693
253 273,58 0,53 0,44 5,00 2.614,00 5694
254 273,58 0,53 0,44 5,00 2.624,00 5694
255 273,58 0,53 0,44 5,00 2.634,00 5694
256 273,58 0,53 0,44 5,00 2.644,00 5694
257 273,58 0,53 0,44 5,00 2.654,00 5694
258 273,58 0,53 0,44 5,00 2.664,00 5694
259 273,58 0,53 0,44 5,00 2.674,00 5694
260 273,58 0,53 0,44 5,00 2.684,00 5694
261 273,58 0,51 0,42 5,00 2.694,00 5694
262 273,58 0,51 0,42 5,00 2.704,00 5694
263 273,58 0,51 0,42 5,00 2.714,00 5694
264 273,58 0,51 0,42 5,00 2.724,00 5694
265 273,58 0,51 0,42 5,00 2.734,00 5694
266 273,58 0,51 0,42 5,00 2.744,00 5694
267 273,58 0,51 0,42 5,00 2.754,00 5694
268 273,58 0,49 0,41 5,00 2.764,00 5694
269 273,58 0,49 0,41 5,00 2.774,00 5694
270 273,58 0,49 0,41 99,00 2.784,00 5694
271 273,58 0,49 0,41 99,00 2.794,00 5724
272 273,58 9,66 7,93 99,00 2.804,00 5736
273 273,58 9,66 7,93 99,00 2.814,00 5742
274 273,58 9,66 7,93 99,00 2.824,00 5742
275 273,58 9,66 7,93 99,00 2.834,00 5742
276 273,58 9,66 7,93 99,00 2.844,00 5742
277 273,58 9,66 7,93 99,00 2.854,00 5742
278 273,58 9,66 7,93 99,00 2.864,00 5742
279 273,58 9,42 7,73 99,00 2.874,00 5742
280 273,58 9,42 7,73 99,00 2.884,00 5742
281 273,58 9,42 7,73 99,00 2.894,00 5742
282 273,58 9,42 7,73 99,00 2.904,00 5742
283 273,58 9,29 7,63 99,00 2.914,00 5742
284 273,58 9,29 7,63 99,00 2.924,00 5742
285 273,58 9,23 7,57 99,00 2.934,00 5742
286 273,58 9,23 7,57 99,00 2.944,00 5742
287 273,58 9,17 7,52 99,00 2.954,00 5742
288 273,58 9,17 7,52 99,00 2.964,00 5742
289 273,58 9,17 7,52 99,00 2.974,00 5742
290 273,58 9,17 7,52 99,00 2.984,00 5742
291 273,58 9,17 7,52 99,00 2.994,00 5742
292 273,58 9,17 7,52 99,00 3.004,00 5742
293 273,58 9,17 7,52 99,00 3.014,00 5742
294 273,58 9,17 7,52 99,00 3.024,00 5742
295 273,58 9,17 7,52 99,00 3.034,00 5742
296 273,58 9,17 7,52 99,00 3.044,00 5742
297 273,58 9,17 7,52 99,00 3.054,00 5742
298 273,58 9,17 7,52 99,00 3.064,00 5742
299 273,58 9,17 7,52 99,00 3.074,00 5742
300 273,58 9,17 7,52 3,00 3.084,00 5742
301 273,58 9,17 7,52 3,00 3.094,00 5752
302 273,58 9,17 7,52 3,00 3.104,00 5752
303 273,58 9,17 7,52 3,00 3.114,00 5752
304 273,58 9,17 7,52 3,00 3.124,00 5752
305 273,58 9,17 7,52 3,00 3.134,00 5752
306 273,58 9,17 7,52 3,00 3.144,00 5762
307 273,58 0,26 0,21 3,00 3.154,00 5773
308 273,58 0,26 0,21 3,00 3.164,00 5778
309 273,58 0,26 0,21 3,00 3.174,00 5780
310 273,58 0,26 0,21 3,00 3.184,00 5780
311 273,58 0,26 0,21 3,00 3.194,00 5780
312 273,58 0,26 0,21 3,00 3.204,00 5780
313 273,58 0,26 0,21 3,00 3.214,00 5782
314 273,58 0,25 0,21 3,00 3.224,00 5783
315 273,58 0,25 0,21 3,00 3.234,00 5783
316 273,58 0,25 0,21 3,00 3.244,00 5783
317 273,58 0,25 0,21 3,00 3.254,00 5783
318 273,58 0,25 0,21 3,00 3.264,00 5783
319 273,58 0,25 0,21 3,00 3.274,00 5783
320 273,58 0,25 0,21 3,00 3.284,00 5783
