500
0 157,94 157,94 157,94 3,00 15,00 0 1
1 157,94 31,59 31,59 173,00 15,00 2034 1
2 157,94 3.903,41 569,39 1,00 7,00 5373 1
3 157,94 3.903,41 621,73 1,00 7,00 8224 1
4 157,94 3.903,41 589,79 1,00 7,00 10634 1
5 157,94 3.903,41 671,00 1,00 7,00 12916 1
6 157,94 3.903,41 710,66 1,00 7,00 15418 1
7 157,94 3.903,41 737,79 1,00 7,00 17536 1
8 157,94 3.903,41 936,28 1,00 7,00 19639 1
9 157,94 3.903,41 1.204,86 1,00 7,00 21808 1
10 157,94 3.903,41 1.087,82 1,00 7,00 23907 1
11 157,94 3.903,41 1.329,18 1,00 7,00 25930 1
12 157,94 3.903,41 1.498,00 1,00 7,00 27892 1
13 157,94 3.903,41 1.689,14 1,00 7,00 29850 1
14 157,94 3.903,41 2.350,21 1,00 7,00 31599 1
15 157,94 3.903,41 1.239,35 1,00 7,00 33497 1
16 157,94 3.903,41 2.782,46 1,00 7,00 35789 1
17 157,94 3.903,41 2.958,65 1,00 7,00 37955 1
18 157,94 3.903,41 2.675,79 1,00 7,00 39952 1
19 157,94 3.903,41 2.615,01 1,00 7,00 41766 1
20 157,94 3.903,41 2.772,82 1,00 7,00 43660 1
21 157,94 3.903,41 2.839,89 1,00 7,00 45373 1
22 157,94 3.903,41 2.731,65 1,00 7,00 47124 1
23 157,94 3.903,41 3.052,88 1,00 7,00 48807 1
24 157,94 3.903,41 3.349,41 1,00 7,00 50463 1
25 157,94 3.903,41 3.426,68 1,00 7,00 52047 1
26 157,94 3.903,41 3.672,11 1,00 7,00 53795 1
27 157,94 3.903,41 3.354,94 1,00 7,00 55520 1
28 157,94 3.903,41 3.025,91 1,00 7,00 57190 1
29 157,94 3.903,41 3.877,61 1,00 7,00 58778 1
30 157,94 3.903,41 4.308,78 1,00 7,00 60394 1
31 157,94 3.903,41 4.200,15 1,00 7,00 62105 1
32 157,94 3.903,41 3.617,40 1,00 7,00 63934 1
33 157,94 3.903,41 3.587,72 1,00 7,00 65556 1
34 157,94 3.903,41 3.817,24 1,00 7,00 67081 1
35 157,94 3.903,41 3.911,64 1,00 7,00 68549 1
36 157,94 3.903,41 3.824,31 1,00 7,00 69881 1
37 157,94 3.903,41 3.903,54 1,00 7,00 71145 1
38 157,94 3.903,41 3.841,70 1,00 7,00 72579 1
39 157,94 3.903,41 3.853,16 1,00 7,00 74208 1
40 157,94 3.903,41 3.670,06 1,00 7,00 75718 1
41 157,94 3.903,41 2.816,05 1,00 7,00 77166 1
42 157,94 3.903,41 3.678,69 1,00 7,00 78878 1
43 157,94 3.903,41 3.505,21 1,00 7,00 80555 1
44 157,94 3.903,41 3.505,02 1,00 7,00 81773 1
45 157,94 3.903,41 3.529,91 1,00 7,00 83109 1
46 157,94 3.903,41 3.609,82 1,00 7,00 84434 1
47 157,94 3.903,41 3.550,72 1,00 7,00 85600 1
48 157,94 22,56 20,72 2,00 7,00 87143 1
49 157,94 22,56 20,61 1,00 7,00 88485 1
50 157,94 22,56 20,32 1,00 1,00 89667 1
51 157,94 22,56 24,37 1,00 1,00 91101 1
52 157,94 22,56 24,86 1,00 1,00 92490 1
53 157,94 22,56 24,53 1,00 1,00 93718 1
54 157,94 22,56 24,41 1,00 1,00 94913 1
55 157,94 22,56 24,96 2,00 1,00 96246 1
56 157,94 22,56 25,15 1,00 7,00 97603 1
57 157,94 22,56 24,67 1,00 1,00 98885 1
58 157,94 22,56 25,52 1,00 1,00 100402 1
59 157,94 22,56 24,85 1,00 1,00 101741 1
60 157,94 22,56 25,41 1,00 1,00 103074 1
61 157,94 22,56 25,50 1,00 1,00 104418 1
62 157,94 22,56 25,28 1,00 1,00 105536 1
63 157,94 22,56 25,09 1,00 1,00 106810 1
64 157,94 22,56 24,87 1,00 1,00 108412 1
65 157,94 22,56 24,53 2,00 1,00 110148 1
66 157,94 22,56 24,80 2,00 7,00 111691 1
67 157,94 22,56 24,47 1,00 7,00 113010 1
68 157,94 22,56 23,82 11,00 1,00 114244 1
69 157,94 22,56 24,28 5,00 7,00 115821 1
70 157,94 22,56 23,92 2,00 7,00 117266 1
71 157,94 22,56 24,24 2,00 7,00 118561 1
72 157,94 22,56 24,13 4,00 7,00 120013 1
73 157,94 22,56 24,21 1,00 7,00 121298 1
74 157,94 22,56 24,16 1,00 1,00 122549 1
75 157,94 22,56 24,01 1,00 1,00 123751 1
76 157,94 22,56 23,73 1,00 1,00 124905 1
77 157,94 22,56 23,51 1,00 1,00 125986 1
78 157,94 22,56 23,51 1,00 1,00 127318 1
79 157,94 22,56 23,19 1,00 1,00 128543 1
80 157,94 22,56 18,89 5,00 1,00 130074 1
81 157,94 22,56 18,74 3,00 7,00 131439 1
82 157,94 22,56 23,98 2,00 7,00 132580 1
83 157,94 45,13 46,05 1,00 7,00 133739 1
84 157,94 45,13 46,41 5,00 1,00 134818 1
85 157,94 112,82 114,04 1,00 7,00 135948 1
86 157,94 31,59 33,90 1,00 5,00 136970 1
87 157,94 31,59 33,68 4,00 1,00 138018 1
88 157,94 31,59 34,42 2,00 7,00 139066 1
89 157,94 31,59 34,60 1,00 7,00 139999 1
90 157,94 31,59 34,20 1,00 1,00 141020 1
91 157,94 31,59 34,39 3,00 1,00 142167 1
92 157,94 31,59 33,31 2,00 7,00 143191 1
93 157,94 31,59 33,74 3,00 7,00 144073 1
94 157,94 31,59 34,15 2,00 7,00 145023 1
95 157,94 31,59 34,73 4,00 7,00 146050 1
96 157,94 31,59 34,23 1,00 7,00 147033 1
97 157,94 31,59 33,77 3,00 1,00 148185 1
98 157,94 31,59 33,85 4,00 7,00 149496 1
99 157,94 31,59 31,74 7,00 7,00 150789 1
100 157,94 31,59 32,82 3,00 7,00 151913 1
101 157,94 31,59 32,59 4,00 7,00 152923 1
102 157,94 31,59 32,73 3,00 7,00 154100 1
103 157,94 31,59 32,26 3,00 7,00 155304 1
104 157,94 31,59 33,62 1,00 7,00 156501 1
105 157,94 157,94 178,17 1,00 1,00 157770 1
106 157,94 157,94 180,37 1,00 1,00 159019 1
107 157,94 157,94 176,67 1,00 1,00 160099 1
108 157,94 157,94 175,39 1,00 1,00 161070 1
109 157,94 157,94 175,73 1,00 1,00 161897 1
110 157,94 157,94 173,71 1,00 1,00 162626 1
111 157,94 157,94 173,60 1,00 1,00 163252 1
112 157,94 157,94 174,08 1,00 1,00 163915 1
113 157,94 157,94 173,03 1,00 1,00 164484 1
114 157,94 157,94 173,23 1,00 1,00 165028 1
115 157,94 157,94 173,24 1,00 1,00 165663 1
116 157,94 157,94 173,49 1,00 1,00 166330 1
117 157,94 157,94 173,72 1,00 1,00 166906 1
118 157,94 157,94 173,22 1,00 1,00 167421 1
119 157,94 157,94 172,47 1,00 1,00 168035 1
120 157,94 157,94 170,62 1,00 1,00 168861 1
121 157,94 157,94 171,46 1,00 1,00 169578 1
122 157,94 157,94 171,07 1,00 1,00 170224 1
123 157,94 157,94 171,65 1,00 1,00 170893 1
124 157,94 157,94 170,70 1,00 1,00 171582 1
125 157,94 157,94 170,95 1,00 1,00 172216 1
126 157,94 157,94 172,47 1,00 1,00 172756 1
127 157,94 157,94 173,33 1,00 1,00 173305 1
128 157,94 157,94 171,67 1,00 1,00 173840 1
129 157,94 157,94 169,75 1,00 1,00 174427 1
130 157,94 157,94 169,76 1,00 1,00 175026 1
131 157,94 157,94 170,56 1,00 1,00 175704 1
132 157,94 157,94 170,83 1,00 1,00 176270 1
133 157,94 157,94 170,11 1,00 1,00 176881 1
134 157,94 157,94 169,70 1,00 1,00 177431 1
135 157,94 157,94 169,76 1,00 1,00 178005 1
136 157,94 157,94 169,89 1,00 1,00 178566 1
137 157,94 157,94 165,60 1,00 1,00 179265 1
138 157,94 157,94 166,55 1,00 1,00 179894 1
139 157,94 157,94 167,12 1,00 1,00 180482 1
140 157,94 157,94 168,78 1,00 1,00 181063 1
141 157,94 157,94 165,41 1,00 1,00 181637 1
142 157,94 157,94 163,66 1,00 1,00 182152 1
143 157,94 157,94 162,54 1,00 1,00 182626 1
144 157,94 157,94 162,26 1,00 1,00 183097 1
