1000
0 224,73 224,73 224,73 1,00 44,00 0
1 224,73 7,02 7,02 1,00 37,00 1235
2 224,73 7,02 3,42 1,00 37,00 1774
3 224,73 6,24 3,21 1,00 41,00 1865
4 224,73 6,24 3,23 1,00 46,00 1875
5 224,73 6,24 3,23 1,00 51,00 1879
6 224,73 6,24 3,24 1,00 56,00 1881
7 224,73 3,68 1,91 1,00 61,00 1881
8 224,73 3,68 1,91 1,00 66,00 1881
9 224,73 3,68 1,91 1,00 71,00 1881
10 224,73 3,68 1,91 1,00 76,00 1881
11 224,73 3,68 1,91 1,00 81,00 1881
12 224,73 3,68 1,91 1,00 86,00 1881
13 224,73 3,68 1,91 1,00 91,00 1881
14 224,73 3,68 1,91 1,00 96,00 1881
15 224,73 3,68 1,91 1,00 101,00 1881
16 224,73 3,68 1,91 1,00 106,00 1881
17 224,73 2,02 1,05 1,00 111,00 1881
18 224,73 2,02 1,05 1,00 116,00 1881
19 224,73 2,02 1,05 1,00 121,00 1881
20 224,73 2,02 1,05 1,00 126,00 1881
21 224,73 1,72 0,89 1,00 131,00 1881
22 224,73 1,72 0,89 1,00 136,00 1881
23 224,73 1,72 0,89 1,00 141,00 1881
24 224,73 1,72 0,89 1,00 146,00 1881
25 224,73 1,72 0,89 1,00 151,00 1881
26 224,73 1,72 0,89 1,00 156,00 1881
27 224,73 1,72 0,89 1,00 161,00 1881
28 224,73 1,72 0,89 1,00 166,00 1881
29 224,73 1,72 0,89 1,00 171,00 1881
30 224,73 1,28 0,66 99,00 176,00 1881
31 224,73 130,11 67,58 99,00 176,00 2704
32 224,73 130,11 61,96 99,00 176,00 3431
33 224,73 129,35 63,15 99,00 177,00 3821
34 224,73 126,41 64,01 99,00 181,00 4072
35 224,73 124,29 66,38 99,00 184,00 4286
36 224,73 121,58 62,99 99,00 188,00 4405
37 224,73 118,98 61,96 99,00 192,00 4558
38 224,73 112,94 60,65 99,00 197,00 4625
39 224,73 112,94 59,02 99,00 202,00 4666
40 224,73 112,94 58,80 99,00 207,00 4711
41 224,73 112,94 59,41 99,00 212,00 4762
42 224,73 112,94 60,16 99,00 217,00 4795
43 224,73 112,94 58,57 99,00 222,00 4831
44 224,73 112,94 60,00 99,00 227,00 4863
45 224,73 112,94 59,90 99,00 232,00 4893
46 224,73 112,94 59,89 99,00 237,00 4918
47 224,73 112,94 59,90 99,00 242,00 4938
48 224,73 112,94 59,87 99,00 247,00 4953
49 224,73 112,94 59,81 99,00 252,00 4969
50 224,73 112,94 59,77 99,00 257,00 4978
51 224,73 112,94 59,72 99,00 262,00 4991
52 224,73 112,94 59,69 99,00 267,00 5006
53 224,73 112,94 59,65 99,00 272,00 5016
54 224,73 112,94 59,59 99,00 277,00 5027
55 224,73 112,94 59,56 99,00 282,00 5033
56 224,73 112,94 59,51 99,00 287,00 5043
57 224,73 112,94 59,49 99,00 292,00 5047
58 224,73 74,91 39,44 99,00 297,00 5055
59 224,73 74,91 39,41 99,00 302,00 5061
60 224,73 74,91 39,38 1,00 307,00 5068
61 224,73 74,91 39,36 1,00 312,00 5076
62 224,73 74,91 39,36 1,00 317,00 5097
63 224,73 74,91 39,32 1,00 322,00 5110
64 224,73 74,91 39,29 1,00 327,00 5114
65 224,73 74,91 39,27 1,00 332,00 5115
66 224,73 74,91 39,26 1,00 337,00 5118
67 224,73 74,91 39,27 1,00 342,00 5123
68 224,73 74,91 39,27 1,00 347,00 5124
69 224,73 74,91 39,18 1,00 352,00 5125
70 224,73 74,91 39,16 1,00 357,00 5125
71 224,73 74,91 39,16 1,00 362,00 5125
72 224,73 74,91 39,16 1,00 367,00 5125
73 224,73 74,91 39,16 1,00 372,00 5125
74 224,73 0,60 0,31 1,00 377,00 5126
75 224,73 0,59 0,31 1,00 382,00 5126
