500
0 198,51 198,51 198,51 3,00 19,00 0 1
1 198,51 198,51 198,51 1,00 18,00 2034 1
2 198,51 198,51 28,96 1,00 16,00 5373 1
3 198,51 198,51 31,62 3,00 16,00 8224 1
4 198,51 198,51 29,99 1,00 16,00 10634 1
5 198,51 198,51 34,13 1,00 15,00 12916 1
6 198,51 198,51 36,14 2,00 14,00 15418 1
7 198,51 33,09 6,25 16,00 12,00 17536 1
8 198,51 33,09 7,94 48,00 18,00 19639 1
9 198,51 33,09 10,21 56,00 18,00 21808 1
10 198,51 33,09 9,22 60,00 18,00 23907 1
11 198,51 33,09 11,27 84,00 18,00 25930 1
12 198,51 33,09 12,70 86,00 18,00 27892 1
13 198,51 33,09 14,32 92,00 18,00 29850 1
14 198,51 33,09 19,92 90,00 18,00 31599 1
15 198,51 33,09 10,50 98,00 18,00 33497 1
16 198,51 33,09 23,58 116,00 18,00 35789 1
17 198,51 33,09 25,08 128,00 18,00 37955 1
18 198,51 33,09 22,68 142,00 18,00 39952 1
19 198,51 33,09 22,17 134,00 18,00 41766 1
20 198,51 1.477,83 1.049,79 1,00 18,00 43660 1
21 198,51 1.477,83 1.075,18 1,00 17,00 45373 1
22 198,51 1.477,83 1.034,20 1,00 17,00 47124 1
23 198,51 1.477,83 1.155,82 1,00 17,00 48807 1
24 198,51 1.477,83 1.268,09 1,00 17,00 50463 1
25 198,51 11,68 10,25 28,00 17,00 52047 1
26 198,51 11,68 10,99 42,00 18,00 53795 1
27 198,51 11,68 10,04 78,00 18,00 55520 1
28 198,51 11,68 9,05 110,00 18,00 57190 1
29 198,51 11,68 11,60 140,00 18,00 58778 1
30 198,51 11,68 12,89 168,00 18,00 60394 1
31 198,51 11,68 12,57 214,00 18,00 62105 1
32 198,51 11,68 10,82 236,00 18,00 63934 1
33 198,51 11,68 10,73 260,00 18,00 65556 1
34 198,51 2.867,43 2.804,13 60,00 18,00 67081 1
35 198,51 2.867,43 2.873,48 1,00 35,00 68549 1
36 198,51 2.867,43 2.809,32 1,00 35,00 69881 1
37 198,51 2.867,43 2.867,53 1,00 35,00 71145 1
38 198,51 2.867,43 2.822,10 1,00 35,00 72579 1
39 198,51 2.867,43 2.830,52 1,00 35,00 74208 1
40 198,51 2.867,43 2.696,01 1,00 35,00 75718 1
41 198,51 2.867,43 2.068,66 1,00 35,00 77166 1
42 198,51 2.867,43 2.702,35 1,00 35,00 78878 1
43 198,51 2.867,43 2.574,91 1,00 35,00 80555 1
44 198,51 2.867,43 2.574,78 1,00 35,00 81773 1
45 198,51 2.867,43 2.593,06 1,00 35,00 83109 1
46 198,51 2.867,43 2.651,76 1,00 35,00 84434 1
47 198,51 5,67 5,16 70,00 35,00 85600 1
48 198,51 5,67 5,21 126,00 18,00 87143 1
49 198,51 5,67 5,18 150,00 18,00 88485 1
50 198,51 5,67 5,11 182,00 18,00 89667 1
51 198,51 5,67 6,13 206,00 18,00 91101 1
52 198,51 5,67 6,25 224,00 18,00 92490 1
53 198,51 5,67 6,17 242,00 18,00 93718 1
54 198,51 5,67 6,14 252,00 18,00 94913 1
55 198,51 5,67 6,27 258,00 18,00 96246 1
56 198,51 5,67 6,32 242,00 18,00 97603 1
57 198,51 5,67 6,20 252,00 20,00 98885 1
58 198,51 2.779,20 3.143,71 52,00 18,00 100402 1
59 198,51 2.779,20 3.060,54 1,00 35,00 101741 1
60 198,51 2.779,20 3.129,80 1,00 35,00 103074 1
61 198,51 2.779,20 3.141,24 1,00 35,00 104418 1
62 198,51 2.779,20 3.113,47 1,00 35,00 105536 1
63 198,51 2.779,20 3.090,58 1,00 35,00 106810 1
64 198,51 2.779,20 3.063,75 1,00 35,00 108412 1
65 198,51 2.779,20 3.021,45 1,00 35,00 110148 1
66 198,51 2.779,20 3.054,21 1,00 35,00 111691 1
67 198,51 2.779,20 3.014,09 1,00 35,00 113010 1
68 198,51 2.779,20 2.933,79 1,00 35,00 114244 1
69 198,51 2.779,20 2.990,96 1,00 35,00 115821 1
70 198,51 2.779,20 2.946,45 1,00 35,00 117266 1
71 198,51 2.779,20 2.985,26 1,00 35,00 118561 1
72 198,51 2.779,20 2.972,64 1,00 35,00 120013 1
73 198,51 2.779,20 2.982,22 1,00 35,00 121298 1
74 198,51 2.779,20 2.975,96 1,00 35,00 122549 1
75 198,51 2.779,20 2.957,95 1,00 35,00 123751 1
76 198,51 2.779,20 2.922,46 1,00 35,00 124905 1
77 198,51 2.779,20 2.895,28 1,00 35,00 125986 1
78 198,51 2.779,20 2.895,38 1,00 35,00 127318 1
79 198,51 2.779,20 2.856,43 1,00 35,00 128543 1
80 198,51 2.779,20 2.327,02 1,00 35,00 130074 1
81 198,51 2.779,20 2.308,29 1,00 35,00 131439 1
82 198,51 2.779,20 2.953,44 1,00 35,00 132580 1
83 198,51 2.779,20 2.836,36 1,00 35,00 133739 1
84 198,51 2.779,20 2.858,48 1,00 35,00 134818 1
85 198,51 2.779,20 2.809,44 1,00 35,00 135948 1
86 198,51 2.779,20 2.982,84 1,00 35,00 136970 1
87 198,51 2.779,20 2.962,84 1,00 35,00 138018 1
88 198,51 5,67 6,18 15,00 35,00 139066 1
89 198,51 5,67 6,21 15,00 25,00 139999 1
90 198,51 5,67 6,14 17,00 20,00 141020 1
91 198,51 5,67 6,18 17,00 18,00 142167 1
92 198,51 5,67 5,98 12,00 18,00 143191 1
93 198,51 5,67 6,06 15,00 18,00 144073 1
94 198,51 5,67 6,13 15,00 18,00 145023 1
95 198,51 5,67 6,24 17,00 18,00 146050 1
96 198,51 5,67 6,15 7,00 18,00 147033 1
97 198,51 5,67 6,06 12,00 18,00 148185 1
98 198,51 5,67 6,08 12,00 18,00 149496 1
99 198,51 5,67 5,70 10,00 18,00 150789 1
100 198,51 5,67 5,89 10,00 18,00 151913 1
101 198,51 5,67 5,85 12,00 18,00 152923 1
102 198,51 5,67 5,88 14,00 18,00 154100 1
103 198,51 154,40 157,69 1,00 18,00 155304 1
104 198,51 154,40 164,33 1,00 7,00 156501 1
105 198,51 154,40 174,18 1,00 1,00 157770 1
106 198,51 154,40 176,33 1,00 1,00 159019 1
107 198,51 154,40 172,71 1,00 1,00 160099 1
108 198,51 154,40 171,46 1,00 1,00 161070 1
109 198,51 154,40 171,79 1,00 1,00 161897 1
110 198,51 198,51 218,33 1,00 1,00 162626 1
111 198,51 198,51 218,20 1,00 1,00 163252 1
112 198,51 198,51 218,79 1,00 1,00 163915 1
113 198,51 198,51 217,48 1,00 1,00 164484 1
114 198,51 198,51 217,73 1,00 1,00 165028 1
115 198,51 198,51 217,75 1,00 1,00 165663 1
116 198,51 198,51 218,05 1,00 1,00 166330 1
117 198,51 198,51 218,34 1,00 1,00 166906 1
118 198,51 198,51 217,71 1,00 1,00 167421 1
119 198,51 198,51 216,78 1,00 1,00 168035 1
120 198,51 198,51 214,44 1,00 1,00 168861 1
121 198,51 198,51 215,51 1,00 1,00 169578 1
122 198,51 198,51 215,02 1,00 1,00 170224 1
123 198,51 198,51 215,75 1,00 1,00 170893 1
124 198,51 198,51 214,55 1,00 1,00 171582 1
125 198,51 198,51 214,86 1,00 1,00 172216 1
126 198,51 198,51 216,78 1,00 1,00 172756 1
127 198,51 198,51 217,86 1,00 1,00 173305 1
128 198,51 198,51 215,77 1,00 1,00 173840 1
129 198,51 198,51 213,36 1,00 1,00 174427 1
130 198,51 198,51 213,36 1,00 1,00 175026 1
131 198,51 198,51 214,37 1,00 1,00 175704 1
132 198,51 198,51 214,72 1,00 1,00 176270 1
133 198,51 198,51 213,81 1,00 1,00 176881 1
134 198,51 198,51 213,30 1,00 1,00 177431 1
135 198,51 198,51 213,37 1,00 1,00 178005 1
136 198,51 198,51 213,54 1,00 1,00 178566 1
137 198,51 198,51 208,15 1,00 1,00 179265 1
138 198,51 198,51 209,33 1,00 1,00 179894 1
139 198,51 198,51 210,05 1,00 1,00 180482 1
140 198,51 198,51 212,13 1,00 1,00 181063 1
141 198,51 198,51 207,91 1,00 1,00 181637 1
142 198,51 198,51 205,70 1,00 1,00 182152 1
143 198,51 198,51 204,29 1,00 1,00 182626 1
144 198,51 198,51 203,94 1,00 1,00 183097 1
145 198,51 198,51 201,79 1,00 1,00 183576 1
146 198,51 198,51 200,67 1,00 1,00 184032 1
147 198,51 198,51 200,18 1,00 1,00 184511 1
148 198,51 198,51 200,54 1,00 1,00 184974 1
149 198,51 198,51 201,67 1,00 1,00 185531 1
150 198,51 198,51 200,62 1,00 1,00 186058 1
151 198,51 198,51 201,20 1,00 1,00 186631 1
152 198,51 198,51 203,48 1,00 1,00 187173 1
153 198,51 198,51 207,18 1,00 1,00 187653 1
154 198,51 198,51 209,31 1,00 1,00 188087 1
155 198,51 198,51 211,45 1,00 1,00 188478 1
156 198,51 198,51 212,79 1,00 1,00 188781 1
157 198,51 198,51 212,74 1,00 1,00 189113 1
158 198,51 198,51 213,62 1,00 1,00 189431 1
159 198,51 198,51 213,97 1,00 1,00 189747 1
160 198,51 198,51 213,73 1,00 1,00 190001 1
161 198,51 198,51 212,62 1,00 1,00 190235 1
162 198,51 198,51 210,68 1,00 1,00 190426 1
163 198,51 198,51 212,25 1,00 1,00 190604 1
164 198,51 198,51 213,36 1,00 1,00 190779 1
165 198,51 198,51 214,83 1,00 1,00 191045 1
166 198,51 198,51 215,37 1,00 1,00 191280 1
167 198,51 198,51 215,33 1,00 1,00 191593 1
168 198,51 198,51 216,38 1,00 1,00 192025 1
169 198,51 198,51 216,11 1,00 1,00 192568 1
170 198,51 198,51 215,28 1,00 1,00 193073 1
171 198,51 198,51 215,27 1,00 1,00 193588 1
172 198,51 198,51 215,26 1,00 1,00 194218 1
173 198,51 198,51 215,36 1,00 1,00 194884 1
174 198,51 198,51 215,61 1,00 1,00 195676 1
175 198,51 198,51 214,05 1,00 1,00 196337 1
176 198,51 198,51 212,99 1,00 1,00 196899 1
177 198,51 198,51 213,41 1,00 1,00 197325 1
178 198,51 198,51 213,61 1,00 1,00 197802 1
179 198,51 198,51 212,11 1,00 1,00 198275 1
180 198,51 198,51 212,63 1,00 1,00 198921 1
181 198,51 198,51 213,53 1,00 1,00 199549 1
182 198,51 198,51 216,22 1,00 1,00 200208 1
183 198,51 198,51 213,53 1,00 1,00 201052 1
184 198,51 198,51 214,05 1,00 1,00 201970 1
185 198,51 198,51 216,58 1,00 1,00 202680 1
186 198,51 198,51 213,97 1,00 1,00 203342 1
187 198,51 198,51 208,98 1,00 1,00 203905 1
188 198,51 198,51 210,63 1,00 1,00 204414 1
189 198,51 198,51 211,89 1,00 1,00 205267 1
190 198,51 198,51 214,05 1,00 1,00 206148 1
191 198,51 198,51 213,63 1,00 1,00 207071 1
192 198,51 198,51 216,71 1,00 1,00 207853 1
193 198,51 198,51 215,62 1,00 1,00 208707 1
194 198,51 198,51 216,86 1,00 1,00 209442 1
195 198,51 198,51 218,93 1,00 1,00 210092 1
196 198,51 198,51 214,47 1,00 1,00 210836 1
197 198,51 198,51 213,79 1,00 1,00 211520 1
198 198,51 198,51 213,83 1,00 1,00 212143 1
199 198,51 198,51 214,64 1,00 1,00 212798 1
200 198,51 198,51 215,04 1,00 1,00 213398 1
201 198,51 198,51 214,14 1,00 1,00 213972 1
202 198,51 198,51 214,15 1,00 1,00 214446 1
203 198,51 198,51 214,34 1,00 1,00 214886 1
204 198,51 198,51 210,80 1,00 1,00 215331 1
205 198,51 198,51 214,43 1,00 1,00 215711 1
206 198,51 198,51 215,65 1,00 1,00 216069 1
207 198,51 198,51 215,86 1,00 1,00 216426 1
208 198,51 198,51 216,01 1,00 1,00 216691 1
209 198,51 198,51 212,61 1,00 1,00 216851 1
210 198,51 198,51 216,79 1,00 1,00 217021 1
211 198,51 198,51 217,37 1,00 1,00 217235 1
212 198,51 198,51 216,31 1,00 1,00 217428 1
213 198,51 198,51 216,84 1,00 1,00 217613 1
214 198,51 198,51 218,20 1,00 1,00 217786 1
215 198,51 198,51 217,56 1,00 1,00 218014 1
216 198,51 198,51 216,71 1,00 1,00 218241 1
217 198,51 198,51 216,94 1,00 1,00 218632 1
218 198,51 198,51 215,03 1,00 1,00 219065 1
219 198,51 198,51 213,87 1,00 1,00 219510 1
220 198,51 198,51 215,68 1,00 1,00 219834 1
221 198,51 198,51 216,66 1,00 1,00 220118 1
222 198,51 198,51 216,86 1,00 1,00 220457 1
223 198,51 198,51 215,81 1,00 1,00 220780 1
224 198,51 198,51 215,24 1,00 1,00 221084 1
225 198,51 198,51 215,41 1,00 1,00 221368 1
226 198,51 198,51 214,57 1,00 1,00 221678 1
227 198,51 198,51 215,37 1,00 1,00 222006 1
228 198,51 198,51 215,75 1,00 1,00 222403 1
229 198,51 198,51 215,64 1,00 1,00 222737 1
230 198,51 198,51 216,34 1,00 1,00 223035 1
231 198,51 198,51 216,90 1,00 1,00 223321 1
232 198,51 198,51 216,31 1,00 1,00 223592 1
233 198,51 198,51 216,30 1,00 1,00 223825 1
234 198,51 198,51 216,66 1,00 1,00 224068 1
235 198,51 198,51 216,66 1,00 1,00 224238 1
236 198,51 198,51 216,42 1,00 1,00 224458 1
237 198,51 198,51 216,01 1,00 1,00 224715 1
238 198,51 198,51 216,25 1,00 1,00 224963 1
239 198,51 198,51 216,40 1,00 1,00 225171 1
240 198,51 198,51 216,52 1,00 1,00 225419 1
241 198,51 198,51 216,55 1,00 1,00 225651 1
242 198,51 198,51 216,23 1,00 1,00 225874 1
243 198,51 198,51 216,88 1,00 1,00 226049 1
244 198,51 198,51 216,83 1,00 1,00 226240 1
245 198,51 198,51 216,04 1,00 1,00 226509 1
246 198,51 198,51 217,05 1,00 1,00 226809 1
247 198,51 198,51 216,74 1,00 1,00 227215 1
248 198,51 198,51 216,25 1,00 1,00 227639 1
249 198,51 198,51 216,23 1,00 1,00 228105 1
250 198,51 198,51 217,02 1,00 1,00 228636 1
251 198,51 198,51 216,02 1,00 1,00 229213 1
252 198,51 198,51 215,36 1,00 1,00 229674 1
253 198,51 198,51 216,64 1,00 1,00 230044 1
254 198,51 198,51 215,73 1,00 1,00 230450 1
255 198,51 198,51 217,04 1,00 1,00 230803 1
256 198,51 198,51 216,66 1,00 1,00 231184 1
257 198,51 198,51 215,87 1,00 1,00 231585 1
258 198,51 198,51 216,59 1,00 1,00 232098 1
259 198,51 198,51 215,16 1,00 1,00 232617 1
260 198,51 198,51 213,95 1,00 1,00 233264 1
261 198,51 198,51 213,27 1,00 1,00 233979 1
262 198,51 198,51 215,36 1,00 1,00 234613 1
263 198,51 198,51 215,06 1,00 1,00 235212 1
264 198,51 198,51 216,28 1,00 1,00 235817 1
265 198,51 198,51 214,53 1,00 1,00 236398 1
266 198,51 198,51 215,20 1,00 1,00 236895 1
267 198,51 198,51 215,38 1,00 1,00 237510 1
268 198,51 198,51 215,04 1,00 1,00 238092 1
269 198,51 198,51 214,93 1,00 1,00 238725 1
270 198,51 198,51 214,84 1,00 1,00 239224 1
271 198,51 198,51 213,07 1,00 1,00 239797 1
272 198,51 198,51 213,01 1,00 1,00 240308 1
273 198,51 198,51 211,97 1,00 1,00 240800 1
274 198,51 198,51 209,95 1,00 1,00 241319 1
275 198,51 198,51 208,47 1,00 1,00 241758 1
276 198,51 198,51 207,09 1,00 1,00 242166 1
277 198,51 198,51 207,57 1,00 1,00 242581 1
278 198,51 198,51 206,00 1,00 1,00 242909 1
