1000
0 15,24 15,24 15,24 1,00 71,00 0
1 15,24 0,40 0,40 1,00 48,00 1235
2 15,24 0,37 0,20 1,00 51,00 1774
3 15,24 0,37 0,21 1,00 61,00 1865
4 15,24 0,37 0,21 1,00 71,00 1875
5 15,24 0,37 0,21 1,00 81,00 1879
6 15,24 0,37 0,21 1,00 91,00 1881
7 15,24 0,37 0,21 1,00 101,00 1881
8 15,24 0,37 0,21 1,00 111,00 1881
9 15,24 0,37 0,21 1,00 121,00 1881
10 15,24 0,37 0,21 1,00 131,00 1881
11 15,24 0,11 0,06 1,00 141,00 1881
12 15,24 0,10 0,06 1,00 151,00 1881
13 15,24 0,10 0,06 1,00 161,00 1881
14 15,24 0,09 0,05 1,00 171,00 1881
15 15,24 0,09 0,05 1,00 181,00 1881
16 15,24 0,08 0,04 1,00 191,00 1881
17 15,24 0,08 0,04 1,00 201,00 1881
18 15,24 0,08 0,04 1,00 211,00 1881
19 15,24 0,07 0,04 1,00 221,00 1881
20 15,24 0,07 0,04 1,00 231,00 1881
21 15,24 0,07 0,04 1,00 241,00 1881
22 15,24 0,06 0,03 1,00 251,00 1881
23 15,24 0,06 0,03 1,00 261,00 1881
24 15,24 0,06 0,03 1,00 271,00 1881
25 15,24 0,05 0,03 1,00 281,00 1881
26 15,24 0,05 0,03 1,00 291,00 1881
27 15,24 0,05 0,03 1,00 301,00 1881
28 15,24 0,05 0,03 1,00 311,00 1881
29 15,24 0,05 0,03 1,00 321,00 1881
30 15,24 0,05 0,03 99,00 331,00 1881
31 15,24 4,57 2,56 99,00 340,00 2704
32 15,24 4,45 3,67 99,00 349,00 3431
33 15,24 4,20 2,86 99,00 359,00 3821
34 15,24 4,20 3,06 99,00 369,00 4072
35 15,24 4,20 3,31 99,00 379,00 4286
36 15,24 4,20 3,08 99,00 389,00 4405
37 15,24 4,20 3,21 99,00 399,00 4558
38 15,24 4,20 3,15 99,00 409,00 4625
39 15,24 4,20 3,11 99,00 419,00 4666
40 15,24 4,20 3,06 99,00 429,00 4711
41 15,24 4,20 3,10 99,00 439,00 4762
42 15,24 4,20 3,09 99,00 449,00 4795
43 15,24 4,20 3,01 99,00 459,00 4831
44 15,24 4,20 3,08 99,00 469,00 4863
45 15,24 4,20 3,08 99,00 479,00 4893
46 15,24 4,20 3,08 99,00 489,00 4918
47 15,24 4,20 3,09 99,00 499,00 4938
48 15,24 4,20 3,09 99,00 509,00 4953
49 15,24 4,20 3,09 99,00 519,00 4969
50 15,24 4,20 3,09 99,00 529,00 4978
51 15,24 2,80 2,06 99,00 539,00 4991
52 15,24 2,75 2,02 99,00 549,00 5006
53 15,24 2,75 2,02 99,00 559,00 5016
54 15,24 2,75 2,02 99,00 569,00 5027
55 15,24 2,75 2,02 99,00 579,00 5033
56 15,24 2,75 2,02 99,00 589,00 5043
57 15,24 2,75 2,02 99,00 599,00 5047
58 15,24 2,75 2,02 99,00 609,00 5055
59 15,24 2,44 1,79 99,00 619,00 5061
60 15,24 2,44 1,79 87,00 629,00 5068
61 15,24 2,44 1,79 87,00 639,00 5076
62 15,24 2,04 1,50 87,00 649,00 5097
63 15,24 2,04 1,50 87,00 659,00 5110
64 15,24 2,04 1,50 87,00 669,00 5114
65 15,24 2,04 1,50 87,00 679,00 5115
66 15,24 2,04 1,50 87,00 689,00 5118
67 15,24 2,04 1,50 87,00 699,00 5123
68 15,24 2,04 1,50 87,00 709,00 5124
69 15,24 2,04 1,50 87,00 719,00 5125
70 15,24 2,04 1,50 87,00 729,00 5125
71 15,24 2,04 1,50 87,00 739,00 5125
72 15,24 2,04 1,50 87,00 749,00 5125
73 15,24 2,04 1,50 87,00 759,00 5125
74 15,24 2,04 1,50 87,00 769,00 5126
75 15,24 2,04 1,50 87,00 779,00 5126
76 15,24 2,04 1,50 87,00 789,00 5126
77 15,24 2,04 1,50 87,00 799,00 5126
78 15,24 2,04 1,50 87,00 809,00 5127
79 15,24 2,04 1,50 87,00 819,00 5128
80 15,24 2,04 1,50 87,00 829,00 5128
81 15,24 2,04 1,50 87,00 839,00 5128
82 15,24 2,04 1,50 87,00 849,00 5128
83 15,24 2,04 1,50 87,00 859,00 5128
84 15,24 2,04 1,50 87,00 869,00 5128
85 15,24 2,04 1,50 87,00 879,00 5128
86 15,24 1,49 1,10 87,00 889,00 5128
87 15,24 1,49 1,10 87,00 899,00 5128
88 15,24 1,49 1,10 87,00 909,00 5129
89 15,24 1,49 1,10 87,00 919,00 5133
90 15,24 1,49 1,10 112,00 929,00 5133
91 15,24 1,49 1,10 112,00 939,00 5240
92 15,24 1,49 1,10 112,00 949,00 5280
93 15,24 1,49 1,10 112,00 959,00 5298
94 15,24 1,49 1,10 112,00 969,00 5308
95 15,24 1,49 1,10 112,00 979,00 5318
96 15,24 1,49 1,10 112,00 989,00 5327
97 15,24 1,49 1,10 112,00 999,00 5336
98 15,24 1,49 1,10 112,00 1.009,00 5340
99 15,24 1,49 1,10 112,00 1.019,00 5347
100 15,24 1,49 1,10 112,00 1.029,00 5351
101 15,24 1,49 1,10 112,00 1.039,00 5353
102 15,24 1,49 1,10 112,00 1.049,00 5354
103 15,24 1,49 1,10 112,00 1.059,00 5357
104 15,24 1,49 1,10 112,00 1.069,00 5357
105 15,24 1,49 1,10 112,00 1.079,00 5357
106 15,24 1,49 1,10 112,00 1.089,00 5357
107 15,24 1,49 1,10 112,00 1.099,00 5357
108 15,24 1,49 1,10 112,00 1.109,00 5357
109 15,24 1,49 1,10 112,00 1.119,00 5359
110 15,24 1,49 1,10 112,00 1.129,00 5359
111 15,24 1,49 1,10 112,00 1.139,00 5360
112 15,24 1,49 1,10 112,00 1.149,00 5362
113 15,24 1,49 1,10 112,00 1.159,00 5364
114 15,24 1,49 1,10 112,00 1.169,00 5366
115 15,24 1,49 1,10 112,00 1.179,00 5366
116 15,24 1,44 1,05 112,00 1.189,00 5366
117 15,24 1,44 1,05 112,00 1.199,00 5366
118 15,24 1,44 1,05 112,00 1.209,00 5367
119 15,24 1,44 1,05 112,00 1.219,00 5368
120 15,24 1,44 1,05 77,00 1.229,00 5368
121 15,24 1,44 1,05 77,00 1.239,00 5378
122 15,24 1,44 1,05 77,00 1.249,00 5387
123 15,24 0,93 0,68 77,00 1.259,00 5391
124 15,24 0,93 0,68 77,00 1.269,00 5392
125 15,24 0,93 0,68 77,00 1.279,00 5392
126 15,24 0,91 0,67 77,00 1.289,00 5392
127 15,24 0,91 0,67 77,00 1.299,00 5392
128 15,24 0,90 0,66 77,00 1.309,00 5392
129 15,24 0,90 0,66 77,00 1.319,00 5392
130 15,24 0,90 0,66 77,00 1.329,00 5392
131 15,24 0,90 0,66 77,00 1.339,00 5392
132 15,24 0,90 0,66 77,00 1.349,00 5392
133 15,24 0,90 0,66 77,00 1.359,00 5392
134 15,24 0,90 0,66 77,00 1.369,00 5392
135 15,24 0,90 0,66 77,00 1.379,00 5392
136 15,24 0,90 0,66 77,00 1.389,00 5392
137 15,24 0,90 0,66 77,00 1.399,00 5392
138 15,24 0,90 0,66 77,00 1.409,00 5392
139 15,24 0,90 0,66 77,00 1.419,00 5392
140 15,24 0,90 0,66 77,00 1.429,00 5397
141 15,24 0,82 0,60 77,00 1.439,00 5398
