1000
0 184,44 184,44 184,44 1,00 5,00 0
1 184,44 92,22 92,22 1,00 20,00 1235
2 184,44 10,85 6,04 1,00 35,00 1774
3 184,44 5,42 3,22 1,00 52,00 1865
4 184,44 5,42 3,25 1,00 70,00 1875
5 184,44 5,42 3,25 1,00 88,00 1879
6 184,44 5,42 3,25 1,00 106,00 1881
7 184,44 1,49 0,89 1,00 124,00 1881
8 184,44 1,49 0,89 1,00 142,00 1881
9 184,44 1,49 0,89 1,00 160,00 1881
10 184,44 1,49 0,89 1,00 178,00 1881
11 184,44 1,49 0,89 1,00 196,00 1881
12 184,44 1,49 0,89 1,00 214,00 1881
13 184,44 1,49 0,89 1,00 232,00 1881
14 184,44 1,49 0,89 1,00 250,00 1881
15 184,44 1,49 0,89 1,00 268,00 1881
16 184,44 1,49 0,89 1,00 286,00 1881
17 184,44 1,49 0,89 1,00 304,00 1881
18 184,44 1,49 0,89 1,00 322,00 1881
19 184,44 1,49 0,89 1,00 340,00 1881
20 184,44 1,49 0,89 1,00 358,00 1881
21 184,44 1,49 0,89 1,00 376,00 1881
22 184,44 1,49 0,89 1,00 394,00 1881
23 184,44 1,49 0,89 1,00 412,00 1881
24 184,44 1,49 0,89 1,00 430,00 1881
25 184,44 1,49 0,89 1,00 448,00 1881
26 184,44 0,40 0,24 1,00 466,00 1881
27 184,44 0,40 0,24 1,00 484,00 1881
28 184,44 0,40 0,24 1,00 502,00 1881
29 184,44 0,40 0,24 1,00 520,00 1881
30 184,44 0,40 0,24 99,00 538,00 1881
31 184,44 32,90 19,70 99,00 555,00 2704
32 184,44 32,96 19,28 99,00 572,00 3431
33 184,44 30,95 17,78 99,00 590,00 3821
34 184,44 30,95 18,77 99,00 608,00 4072
35 184,44 30,95 18,99 99,00 626,00 4286
36 184,44 30,95 18,30 99,00 644,00 4405
37 184,44 30,95 18,29 99,00 662,00 4558
38 184,44 30,95 18,79 99,00 680,00 4625
39 184,44 26,16 15,36 99,00 698,00 4666
40 184,44 26,16 15,32 99,00 716,00 4711
41 184,44 26,16 15,47 99,00 734,00 4762
42 184,44 26,16 15,74 99,00 752,00 4795
43 184,44 26,16 15,20 99,00 770,00 4831
44 184,44 26,16 15,62 99,00 788,00 4863
45 184,44 26,16 15,60 99,00 806,00 4893
46 184,44 22,16 13,25 99,00 824,00 4918
47 184,44 22,16 13,17 99,00 842,00 4938
48 184,44 22,16 13,17 99,00 860,00 4953
49 184,44 22,16 13,17 99,00 878,00 4969
50 184,44 22,16 13,15 99,00 896,00 4978
51 184,44 22,16 13,16 99,00 914,00 4991
52 184,44 22,16 13,14 99,00 932,00 5006
53 184,44 22,16 13,13 99,00 950,00 5016
54 184,44 22,16 13,13 99,00 968,00 5027
55 184,44 22,16 13,12 99,00 986,00 5033
56 184,44 22,16 13,12 99,00 1.004,00 5043
57 184,44 22,16 13,10 99,00 1.022,00 5047
58 184,44 22,16 13,10 99,00 1.040,00 5055
59 184,44 22,16 13,10 99,00 1.058,00 5061
60 184,44 22,16 13,10 3,00 1.076,00 5068
61 184,44 22,16 13,10 3,00 1.094,00 5076
62 184,44 22,16 13,06 3,00 1.112,00 5097
63 184,44 22,16 13,05 3,00 1.130,00 5110
64 184,44 22,16 13,05 3,00 1.148,00 5114
65 184,44 22,16 13,04 3,00 1.166,00 5115
66 184,44 22,16 13,03 3,00 1.184,00 5118
67 184,44 22,16 13,04 3,00 1.202,00 5123
68 184,44 22,16 13,04 3,00 1.220,00 5124
69 184,44 0,45 0,26 3,00 1.238,00 5125
70 184,44 0,45 0,26 3,00 1.256,00 5125
71 184,44 0,45 0,26 3,00 1.274,00 5125
72 184,44 0,45 0,26 3,00 1.292,00 5125
73 184,44 0,45 0,26 3,00 1.310,00 5125
74 184,44 0,45 0,26 3,00 1.328,00 5126
75 184,44 0,45 0,26 3,00 1.346,00 5126
76 184,44 0,45 0,26 3,00 1.364,00 5126
77 184,44 0,45 0,26 3,00 1.382,00 5126
78 184,44 0,40 0,23 3,00 1.400,00 5127
79 184,44 0,40 0,23 3,00 1.418,00 5128
80 184,44 0,40 0,23 3,00 1.436,00 5128
81 184,44 0,40 0,23 3,00 1.454,00 5128
82 184,44 0,40 0,23 3,00 1.472,00 5128
83 184,44 0,40 0,23 3,00 1.490,00 5128
84 184,44 0,40 0,23 3,00 1.508,00 5128
85 184,44 0,40 0,23 3,00 1.526,00 5128
86 184,44 0,40 0,23 3,00 1.544,00 5128
87 184,44 0,40 0,23 3,00 1.562,00 5128
88 184,44 0,40 0,23 3,00 1.580,00 5129
89 184,44 0,40 0,23 3,00 1.598,00 5133
90 184,44 0,40 0,23 101,00 1.616,00 5133
91 184,44 11,53 6,79 101,00 1.633,00 5240
92 184,44 11,53 6,68 101,00 1.651,00 5280
93 184,44 11,53 6,68 101,00 1.669,00 5298
94 184,44 11,53 6,68 101,00 1.687,00 5308
95 184,44 10,93 6,32 101,00 1.705,00 5318
96 184,44 10,93 6,31 101,00 1.723,00 5327
97 184,44 10,93 6,31 101,00 1.741,00 5336
98 184,44 10,93 6,31 101,00 1.759,00 5340
99 184,44 10,93 6,31 101,00 1.777,00 5347
100 184,44 10,93 6,31 101,00 1.795,00 5351
101 184,44 10,93 6,31 101,00 1.813,00 5353
102 184,44 10,93 6,31 101,00 1.831,00 5354
103 184,44 10,93 6,31 101,00 1.849,00 5357
