500
0 42.524,09 0,00 42.524,09 0,00 0
98 -41,40 -24.052,27 -7,57 -4.399,85 -34,0607337541053
99 144,52 -22.805,29 26,62 -4.201,35 -64,688249538558
100 71,76 -24.994,75 14,39 -5.013,11 -60,0596485465182
101 0,14 -26.584,56 0,02 -4.485,14 -33,2594839660253
102 2,48 -26.019,26 0,36 -3.824,34 -33,7301627513503
103 2,21 -26.387,25 0,34 -4.015,05 -19,2449647280463
104 32,14 -23.907,68 4,80 -3.573,23 -19,2449647280463
105 165,78 -17.502,33 30,94 -3.266,52 -57,7416193368548
106 99,50 -20.901,61 26,78 -5.624,63 -58,2425873644216
107 41,60 -18.985,56 8,90 -4.063,16 -58,2425873644216
108 59,91 -17.792,23 13,64 -4.050,73 -59,8253615413201
109 46,70 -16.274,36 11,16 -3.889,31 -59,9711982841445
110 22,29 -15.484,59 5,63 -3.913,41 -57,4747458898874
111 57,92 -15.956,29 14,97 -4.124,03 -57,4747458898874
112 69,65 -15.523,62 17,57 -3.914,82 -13,557762552223
113 40,26 -15.715,08 10,29 -4.018,68 48,0558440339376
114 43,00 -15.685,93 10,89 -3.974,15 48,0558440339376
115 125,88 -16.569,70 31,98 -4.209,98 48,0558440339376
116 19,84 -16.319,65 4,84 -3.976,63 48,0558440339376
117 9,62 -16.177,86 2,38 -4.006,01 -49,8270737673646
118 10,21 -16.103,27 2,54 -4.011,18 -10,0228752651554
119 46,55 -15.925,71 11,65 -3.985,50 -10,8957608409832
120 40,65 -16.147,90 10,20 -4.050,62 -10,8957608409832
121 59,32 -15.972,11 14,80 -3.985,58 -9,8982657464521
122 98,67 -16.568,63 24,87 -4.176,81 -9,8982657464521
123 106,25 -16.565,97 26,17 -4.080,91 -9,8982657464521
124 43,30 -16.296,22 10,61 -3.993,34 -9,8982657464521
125 108,39 -16.444,39 26,83 -4.071,14 35,4123463092258
126 171,28 -16.421,42 42,68 -4.091,88 48,7431769859393
127 105,11 -15.660,22 26,26 -3.913,09 70,4960789317773
128 105,73 -15.449,62 27,12 -3.962,89 70,4960789317773
129 150,06 -15.329,33 38,28 -3.910,62 -19,3066215474784
