500
101 -22,46 26.900,85 -21,48 25.725,84 181,538854763723
102 -11,29 26.390,14 -10,79 25.236,32 181,357676448101
103 -27,23 27.327,87 -25,49 25.578,72 194,910806287886
104 -13,31 27.873,31 -12,77 26.732,80 165,436061363081
105 2,68 26.914,05 2,68 26.821,08 -20,4734130639911
106 -8,30 28.809,48 -8,27 28.718,61 -19,1900305313281
107 1,10 27.897,30 1,11 27.990,77 -19,1900305313281
108 18,61 27.595,56 17,97 26.658,87 -19,1900305313281
109 18,32 27.633,29 17,57 26.500,85 78,4464438643063
110 0,05 27.450,97 0,05 26.188,08 126,253692102812
111 27,19 27.310,46 25,65 25.765,80 550,15570625946
112 22,28 27.287,09 20,95 25.661,60 550,15570625946
113 17,53 27.262,55 16,35 25.435,30 552,781000488818
114 13,82 27.240,24 12,89 25.409,78 -14,1397289468803
115 2,21 27.331,98 2,07 25.522,24 -66,2079892667757
116 1,45 27.441,54 1,36 25.737,79 -75,5311960072087
117 1,63 27.521,43 1,54 25.936,28 -75,6531927259999
118 4,33 27.645,20 4,08 26.046,07 -75,6531927259999
119 -0,19 27.661,33 -0,18 26.129,41 -75,6531927259999
120 -0,79 27.666,79 -0,74 25.964,54 -66,2096337038412
121 -0,81 27.681,64 -0,76 26.133,10 -66,2096337038412
122 5,80 27.772,82 5,49 26.255,17 -66,2096337038412
123 1,93 27.871,19 1,84 26.570,10 -66,2096337038412
124 23,91 28.139,49 22,70 26.714,78 -67,9303411133743
125 26,11 28.362,44 24,98 27.132,65 -67,9341656089972
126 28,17 28.187,55 27,41 27.431,22 -61,6388817824802
127 26,24 28.197,00 25,50 27.402,65 -61,225367804565
128 25,20 28.206,33 24,37 27.277,44 -60,896209949834
129 22,08 28.262,28 21,18 27.107,71 -61,0653982724258
130 16,40 28.298,56 15,75 27.188,64 -61,0653982724258
131 0,49 28.327,27 0,47 27.273,74 -61,0653982724258
132 0,45 28.353,19 0,43 27.105,35 -61,0653982724258
133 0,40 28.389,88 0,38 27.300,59 -61,0653982724258
134 0,38 28.435,90 0,36 27.154,79 -66,8902893174213
135 -0,22 28.487,61 -0,21 27.250,14 83,3836048450574
136 -0,27 28.544,01 -0,26 27.326,45 83,3836048450574
137 -0,32 28.576,45 -0,30 26.794,98 83,3836048450574
138 -0,26 28.628,57 -0,25 27.103,40 85,8195995845386
139 -0,35 28.700,60 -0,33 27.219,64 91,5646679608754
140 0,47 28.726,81 0,45 27.573,17 91,5646679608754
141 -0,44 28.805,53 -0,42 27.135,98 91,5646679608754
142 -0,24 28.883,44 -0,23 26.829,69 -71,1599535567517
143 -0,20 28.943,50 -0,18 26.791,70 -71,1599535567517
144 -0,29 29.003,09 -0,27 26.836,99 -71,1599535567517
145 -3,95 29.095,50 -3,62 26.660,32 -71,1599535567517
146 0,40 29.088,19 0,36 26.677,99 -71,1599535567517
147 0,14 29.104,76 0,13 26.595,69 -71,1599535567517
148 -0,09 29.143,18 -0,08 26.677,42 -58,9960384499636
149 -0,23 29.292,35 -0,21 26.927,35 -62,7889540944114
150 -0,27 29.290,16 -0,25 26.955,99 108,640781098933
151 -0,20 29.641,88 -0,18 27.341,67 107,741385509094
152 12,46 29.675,44 11,65 27.738,94 442,507064545748
153 -1,87 29.992,94 -1,77 28.396,33 442,197994910702
154 15,15 29.939,56 14,61 28.875,69 440,297753916769
155 6,49 29.833,68 6,30 28.960,73 -67,6333949882765
156 2,16 29.763,81 2,10 28.894,99 -67,6333949882765
157 6,85 29.830,42 6,63 28.910,18 -67,6333949882765
158 8,45 29.834,41 8,25 29.134,24 -67,6333949882765
159 14,97 29.775,63 14,61 29.045,23 -67,6333949882765
160 -0,88 29.853,67 -0,85 29.103,99 -67,6059730754009
161 0,60 29.898,26 0,58 29.196,33 -67,6059730754009
162 8,06 29.809,95 7,79 28.809,96 -67,6059730754009
163 17,11 29.687,46 16,56 28.736,06 -67,6059730754009
164 -1,52 29.745,93 -1,48 28.841,55 -67,6059730754009
165 -7,86 29.874,50 -7,66 29.101,73 -68,1913867755028
166 -0,38 29.873,83 -0,37 29.226,98 -75,902208666141
167 -1,31 29.918,35 -1,28 29.256,49 -81,5851347558489
168 -0,93 29.956,47 -0,92 29.406,96 -81,5851347558489
169 -0,84 30.016,75 -0,82 29.379,08 -81,5851347558489
170 -1,27 30.046,68 -1,24 29.337,04 -81,0547414078618
171 0,00 30.053,54 0,00 29.354,03 -81,5013364638136
172 6,90 30.005,77 6,74 29.314,40 -79,1386922172586
173 1,51 30.414,10 1,48 29.744,05 -79,7885360382576
174 0,24 30.324,47 0,24 29.867,47 -80,6275543033127
175 6,78 31.008,78 6,65 30.443,44 -80,7313663615217
176 0,05 31.109,07 0,05 30.494,63 -80,7313663615217
177 29,21 31.082,12 28,65 30.487,33 -80,7313663615217
178 39,66 31.422,21 38,88 30.805,45 -80,7328483131072
179 0,58 31.488,18 0,57 30.973,64 -80,7328483131072
180 -2,22 31.094,71 -2,18 30.485,78 -80,7328483131072
181 0,30 30.982,69 0,30 30.258,32 -80,7405393181537
182 1,80 31.097,99 1,77 30.417,40 -80,7405393181537
183 7,85 31.191,87 7,58 30.121,84 -81,3609108839377
184 8,41 31.301,27 8,16 30.387,51 -81,3609108839377
185 40,38 31.739,09 39,41 30.982,57 -81,3609108839377
186 -0,62 32.162,42 -0,61 31.616,93 -59,8521059813639
187 8,10 31.665,51 7,81 30.529,52 -59,8521059813639
188 9,55 31.449,91 9,21 30.304,64 -59,8521059813639
189 -1,49 31.245,85 -1,44 30.121,26 -53,2930616258058
190 -7,27 31.682,07 -7,04 30.684,43 -50,0309532495366
191 -9,30 31.705,78 -9,06 30.881,20 -48,6662009102627
192 -0,46 31.710,38 -0,45 30.900,66 -51,1877729166109
193 -0,57 31.842,99 -0,55 31.043,97 -51,2509012973838
