500
0 3.793,29 0,00 3.793,29 0,00 0
1 1.117,79 43.982,06 1.117,79 43.982,06 0
2 1.228,94 61.505,68 712,19 35.643,43 -17,9984542121387
3 1.351,67 72.687,21 1.096,78 58.980,47 -19,012303766498
4 1.487,30 79.462,80 1.631,05 87.143,14 -22,0711053362283
5 1.635,72 88.346,15 2.006,52 108.373,38 124,236568020718
6 1.799,07 98.225,12 2.885,61 157.547,86 149,509910926854
7 1.979,08 107.296,31 3.826,19 207.437,94 240,026093373717
8 2.177,29 112.167,45 4.954,70 255.251,43 1863,19762812667
9 2.394,81 117.625,26 6.574,17 322.901,31 1929,58313313016
10 2.634,10 119.904,27 7.014,28 319.290,58 2089,85144186447
11 2.897,47 127.330,97 8.247,57 362.444,30 598,092951499123
12 3.187,40 132.223,18 8.633,09 358.126,71 1216,30486306614
13 3.506,31 136.770,27 10.090,00 393.579,25 1129,37483526682
14 3.856,56 135.911,76 13.871,33 488.849,62 2959,29951128074
15 4.242,36 142.169,63 7.230,48 242.307,14 1016,09381979118
16 4.507,51 147.137,42 14.093,61 460.053,43 1324,07168128971
17 5.133,19 149.167,12 13.906,99 404.128,01 351,8469498706
18 5.646,27 148.075,12 13.340,28 349.853,04 351,894112494329
19 6.210,87 151.879,47 12.310,84 301.046,92 401,319712679325
20 6.832,24 154.388,26 13.805,87 311.971,50 406,47499904329
21 7.516,46 158.322,99 13.050,67 274.892,84 196,054217524548
22 8.268,10 161.792,45 11.396,19 223.003,75 24,8130351699325
23 9.099,12 167.267,52 13.717,56 252.167,45 31,19167285916
24 10.003,77 167.896,01 14.186,24 238.091,59 57,3846418799821
25 1,17 167.286,19 1,48 211.509,32 95,8614930490598
26 2,29 166.017,92 2,47 179.067,08 114,747239378564
27 1,09 165.167,09 0,99 149.645,73 55,0113039101146
28 0,27 166.782,81 0,22 136.082,54 51,8173580793431
29 -143,90 173.081,95 -149,77 180.133,86 -3,24839357982711
30 0,32 171.673,84 0,40 209.891,37 28,132524652531
31 0,44 170.901,84 0,49 193.369,21 -32,5415047689225
32 1,45 173.038,79 1,41 167.593,82 -27,1835944476241
33 1,76 173.510,36 1,72 168.962,31 -56,4753786994436
34 0,20 174.570,41 0,20 179.035,59 -56,0230032154931
35 1,55 175.840,73 1,67 189.320,78 -67,6418810467426
36 0,00 175.118,82 0,00 188.873,66 -74,8915942956929
37 0,78 178.108,05 0,83 189.462,91 -75,4238033047026
38 0,45 178.389,13 0,48 191.833,03 -64,5455939189361
39 0,43 179.000,82 0,46 188.289,84 -67,5304967369493
40 0,29 178.975,43 0,29 181.513,03 -88,211130857093
41 0,36 178.821,66 0,28 140.056,74 -88,0138429383477
42 0,35 179.505,00 0,35 182.017,75 -59,8776393327187
