500
0 10.335,85 0,00 10.335,85 0,00 0
103 -1,32 50.763,29 -1,35 51.845,42 290,389748500069
104 0,70 52.644,66 0,74 56.031,60 317,152412255558
105 21,31 52.286,19 24,04 58.983,21 453,862529476208
106 1,01 51.994,15 1,15 59.378,04 546,871265333541
107 24,10 52.732,01 26,96 58.984,65 546,871265333541
108 20,52 52.994,88 22,79 58.851,06 565,929991412756
109 12,48 52.600,43 13,88 58.525,26 918,721575755803
110 10,14 53.044,85 11,15 58.340,17 453,609921651719
111 45,65 53.296,94 50,17 58.581,94 589,81750901958
112 0,02 53.498,38 0,02 58.963,68 236,774576273313
113 22,89 53.576,10 25,07 58.695,29 19,5430095634472
114 35,92 53.505,74 39,39 58.684,44 20,6169515647993
115 41,36 53.421,71 45,36 58.597,91 5,33627380658649
116 26,34 53.331,24 28,93 58.580,00 1,41244344156532
117 38,75 53.252,52 42,62 58.571,00 24,1875176692482
118 34,35 52.943,19 37,67 58.063,00 34,3207425537223
119 52,39 52.734,44 57,21 57.585,48 -60,2627422105418
120 28,04 52.742,55 30,29 56.974,74 -60,2627422105418
121 18,40 52.553,70 19,98 57.051,73 -56,5966723793599
122 2,31 52.316,23 2,51 56.665,53 -56,4723534270878
123 0,43 52.313,96 0,47 56.855,94 -58,4371604986087
124 0,17 52.164,39 0,18 56.377,53 -58,4837540345919
125 5,43 51.858,61 5,87 56.128,54 -76,741597227694
126 5,83 52.087,88 6,36 56.879,67 -67,0089962230325
127 30,04 51.854,64 32,97 56.907,63 -66,9874539143381
128 22,58 51.698,44 24,54 56.192,39 -66,9874539143381
129 11,43 51.669,01 12,29 55.532,24 -68,4256312951789
130 25,40 51.879,10 27,30 55.759,72 -71,6894842163874
131 0,35 52.538,21 0,38 56.734,61 -77,5367068692645
132 29,98 52.057,34 32,43 56.306,84 -75,6773168159179
133 17,60 52.408,04 18,95 56.446,78 -64,5129555204317
134 11,86 52.397,81 12,74 56.299,69 -54,8255904323782
135 5,21 52.571,17 5,60 56.505,23 -6,43878618788517
136 0,57 52.353,59 0,62 56.315,00 -6,77207133208123
137 0,28 52.165,82 0,29 54.696,96 -24,4163592315554
138 11,60 52.409,52 12,23 55.266,17 -20,8482099665928
139 2,49 52.356,25 2,63 55.397,53 15,4343108335415
140 7,69 52.318,21 8,22 55.907,86 -74,4073579587263
141 9,11 52.662,32 9,54 55.154,17 -71,1955002757694
142 28,88 52.530,21 29,92 54.430,89 46,0298284964517
143 23,64 52.499,86 24,33 54.027,64 46,0298284964517
144 33,78 52.504,68 34,70 53.939,51 46,4833731943686
145 0,30 52.230,78 0,31 53.091,56 47,4728658549162
146 0,52 52.308,58 0,53 52.877,34 -46,8861493532918
147 0,42 52.329,59 0,42 52.769,37 -17,2979733834645
148 3,27 52.452,72 3,30 52.988,54 13,7160728677869
149 0,15 52.254,38 0,15 53.085,10 20,6869256785307
150 0,23 52.299,72 0,23 52.854,44 20,5831880861263
151 0,31 52.430,69 0,31 53.140,89 38,5342831528415
152 -1,77 52.716,01 -1,81 54.033,50 31,9595850365983
153 0,01 52.471,30 0,01 54.761,26 31,9595850365983
154 0,01 52.565,64 0,01 55.424,59 -44,1954742223738
155 -12,02 52.828,20 -12,80 56.269,28 -43,1705869347845
156 -7,85 52.854,68 -8,41 56.655,28 -48,356835603366
157 0,24 52.714,25 0,26 56.491,98 -48,356835603366
158 0,15 52.884,36 0,16 56.909,61 -22,7719590391381
159 0,57 52.805,26 0,61 56.917,59 -22,7719590391381
160 1,29 52.442,72 1,39 56.463,04 -21,8386551304199
161 9,44 52.555,08 10,11 56.289,89 -12,9895318896049
162 0,05 52.808,94 0,06 56.044,12 -13,0181167250282
163 5,55 52.907,59 5,93 56.569,65 17,7540717194811
164 15,97 53.067,85 17,17 57.035,28 17,7540717194811
165 6,09 53.059,66 6,60 57.421,86 22,6087185184988
166 0,77 53.051,32 0,84 57.555,55 22,6087185184988
167 0,23 53.179,37 0,25 57.683,63 25,4455730502187
168 0,26 53.299,95 0,29 58.095,52 21,7535151466947
169 0,23 53.273,91 0,25 57.995,19 -10,2388133015648
170 0,79 53.272,28 0,86 57.771,19 -10,2388133015648
171 6,40 53.268,62 6,94 57.765,60 -10,5674092681018
172 0,35 53.244,99 0,37 57.736,93 -4,15773501782091
173 4,31 53.241,53 4,67 57.758,36 10,5824753805959
174 0,30 52.870,21 0,32 57.422,39 10,5824753805959
175 11,12 52.923,97 11,99 57.067,04 13,389918298154
176 1,76 53.067,31 1,88 56.937,79 13,389918298154
177 63,16 53.136,80 67,89 57.122,78 13,389918298154
178 0,94 52.796,78 1,02 56.811,56 23,7961420306477
179 28,16 52.993,58 30,09 56.623,53 19,2965778109922
180 0,80 53.100,86 0,86 56.876,55 27,8656747060704
181 10,57 53.668,09 11,37 57.727,91 26,7777350554645
182 5,64 54.140,15 6,14 58.967,87 35,0392023304975
183 0,73 54.341,12 0,79 58.450,48 -45,8086846460395
184 1,46 55.166,47 1,58 59.482,73 -48,5513594976608
185 35,58 54.498,73 38,82 59.459,53 -24,6578893455698
186 23,98 54.628,50 25,85 58.881,09 -19,8615525783115
187 21,79 54.612,95 22,94 57.491,25 -10,4786664849275
188 41,79 54.742,40 44,34 58.082,37 -11,0382894971629
189 -0,74 55.080,24 -0,79 58.791,16 -17,070941292969
190 -3,53 55.171,28 -3,81 59.488,84 -21,9704260899741
191 25,25 56.167,94 27,17 60.444,46 -22,1243467532665
192 0,33 56.200,55 0,36 61.352,04 -16,567380605621
193 11,63 56.572,57 12,63 61.447,01 -14,976993703107
194 14,43 57.524,28 15,76 62.839,42 78,5626974153269
195 0,50 56.659,15 0,55 62.485,70 224,180673809197
196 36,32 56.759,01 39,23 61.320,99 224,180673809197
197 53,28 57.165,21 57,38 61.564,27 226,468632408349
198 -2,08 57.135,24 -2,24 61.542,75 227,057193830231
199 8,99 57.694,44 9,72 62.382,03 228,052378090601
200 44,87 57.643,82 48,60 62.442,65 225,018899926367
201 9,67 57.435,87 10,43 61.957,98 249,406535854484
202 24,35 57.378,53 26,26 61.897,97 249,581458626076
203 25,16 57.403,80 27,17 61.979,11 249,581458626076
204 32,85 57.387,27 34,89 60.938,80 334,72699870849
205 44,92 57.578,53 48,52 62.195,86 307,343828037157
206 3,57 57.701,01 3,87 62.682,29 370,93761771604
207 15,91 57.683,92 17,31 62.725,56 369,979026581796
208 26,26 57.687,58 28,58 62.770,98 394,882376790198
209 47,57 57.841,98 50,95 61.948,13 431,170617940752
210 55,20 57.975,22 60,28 63.311,62 -54,4668481917094
211 3,93 57.658,47 4,30 63.135,14 -60,4505392044272
212 17,49 57.774,15 19,06 62.953,47 -60,4505392044272
213 58,89 58.120,68 64,33 63.487,35 -60,4978744368691
214 27,82 58.043,73 30,58 63.798,96 -55,8289372894681
215 47,72 57.842,95 52,30 63.392,39 -58,03347618232
216 36,36 57.931,22 39,70 63.241,42 -57,3306063108182
217 0,25 57.781,68 0,27 63.144,77 77,2872731414626
218 0,63 57.786,68 0,68 62.595,25 77,824671002231
219 3,41 57.931,64 3,67 62.411,44 83,2675080152825
220 12,05 58.118,86 13,10 63.144,78 6,36279607218676
221 15,35 58.148,39 16,76 63.463,75 5,85787292985098
222 0,01 58.034,07 0,01 63.398,18 6,10763773705475
223 0,24 58.045,36 0,27 63.103,18 5,92368652870636
224 0,32 58.150,52 0,35 63.048,89 -53,2202339578418
225 0,47 58.162,11 0,51 63.111,31 -53,508405729181
226 0,15 58.237,12 0,17 62.947,15 -32,7071847659022
227 0,75 58.441,95 0,81 63.405,24 -37,6226993031223
228 -1,17 58.500,19 -1,28 63.578,54 -37,6090700841823
229 0,42 58.769,80 0,46 63.838,60 -37,6071540482664
230 16,31 58.892,35 17,77 64.180,07 -45,683648196039
231 29,94 58.712,43 32,71 64.150,51 -12,9914260636221
232 8,50 58.703,33 9,27 63.964,44 -12,9914260636221
233 6,54 58.886,36 7,13 64.160,81 -12,9914260636221
234 10,29 58.874,70 11,23 64.256,74 -12,9914260636221
235 14,76 58.812,58 16,11 64.188,20 -12,7568056332691
236 0,34 58.727,40 0,38 64.024,58 -11,6979312342228
237 0,10 58.838,58 0,10 64.023,22 -11,6979312342228
238 7,92 58.876,14 8,63 64.137,19 -4,54811899354876
239 14,80 58.911,57 16,14 64.218,48 9,02540882909544
240 2,70 58.928,04 2,95 64.272,27 8,72074596947014
241 14,57 58.854,05 15,89 64.200,71 8,72074596947014
242 7,58 59.062,67 8,25 64.334,70 8,38252270697432
243 1,39 59.065,73 1,51 64.530,01 19,3696860114197
244 2,65 58.857,58 2,89 64.287,75 33,9787886495996
245 -6,45 59.161,54 -7,02 64.383,74 2,54587648614892
246 14,93 59.108,28 16,33 64.626,04 2,83985363461596
247 3,61 59.090,69 3,94 64.515,56 14,4674877816358
248 0,28 59.094,76 0,30 64.374,60 14,1964734620944
249 3,64 59.290,19 3,97 64.580,22 12,1512175616443
250 0,04 59.362,90 0,04 64.896,62 5,08351094396335
251 3,37 59.267,10 3,67 64.492,69 -1,49375147880706
252 3,96 59.514,61 4,29 64.565,51 4,04301330824506
253 5,15 59.852,49 5,62 65.318,14 5,29263405311691
254 8,82 59.864,38 9,59 65.054,46 -14,5490859020904
255 4,49 59.875,83 4,91 65.463,95 -14,5490859020904
256 1,44 59.881,38 1,57 65.354,38 -14,6435166545876
257 33,83 60.168,03 36,79 65.427,92 -15,1401436979128
258 0,78 59.985,64 0,85 65.448,41 11,7924843177439
259 -0,28 60.097,73 -0,31 65.137,54 13,7179321419021
260 7,24 60.188,23 7,80 64.867,77 13,2713739617421
261 -0,44 60.090,84 -0,47 64.558,61 13,2250771407268
262 0,66 60.134,74 0,71 65.237,29 13,2250771407268
263 -1,99 60.364,79 -2,15 65.395,35 13,9056203335982
264 0,64 60.225,47 0,70 65.614,67 13,9056203335982
265 -1,43 60.247,07 -1,54 65.106,18 16,3836925080079
266 -4,86 60.452,74 -5,27 65.533,15 15,7086762234004
